date,cash_operations_ttm
"Dec. 31, 2019",8.155B
"Sept. 30, 2019",7.605B
"June 30, 2019",6.938B
"March 31, 2019",6.899B
"Dec. 31, 2018",6.593B
"Sept. 30, 2018",6.36B
"June 30, 2018",6.143B
"March 31, 2018",6.491B
"Dec. 31, 2017",6.458B
"Sept. 30, 2017",6.404B
"June 30, 2017",6.35B
"March 31, 2017",6.082B
"Dec. 31, 2016",6.369B
"Sept. 30, 2016",6.87B
"June 30, 2016",6.425B
"March 31, 2016",6.453B
"Dec. 31, 2015",6.089B
"Sept. 30, 2015",6.045B
"June 30, 2015",5.986B
"March 31, 2015",5.664B
"Dec. 31, 2014",5.50B
"Sept. 30, 2014",5.68B
"June 30, 2014",5.30B
"March 31, 2014",5.037B
"Dec. 31, 2013",5.102B
"Sept. 30, 2013",4.225B
"June 30, 2013",4.314B
"March 31, 2013",4.239B
"Dec. 31, 2012",3.992B
"Sept. 30, 2012",4.114B
"June 30, 2012",4.011B
"March 31, 2012",3.926B
"Dec. 31, 2011",4.074B
"Sept. 30, 2011",4.182B
"June 30, 2011",4.077B
"March 31, 2011",3.921B
"Dec. 31, 2010",3.834B
"Sept. 30, 2010",3.906B
"June 30, 2010",4.067B
"March 31, 2010",4.316B
"Dec. 31, 2009",4.463B
"Sept. 30, 2009",4.37B
"June 30, 2009",3.479B
"March 31, 2009",3.129B
"Dec. 31, 2008",3.403B
"Sept. 30, 2008",3.206B
"June 30, 2008",3.811B
"March 31, 2008",3.691B
"Dec. 31, 2007",3.593B
"Sept. 30, 2007",3.824B
"June 30, 2007",3.874B
"March 31, 2007",3.834B
"Dec. 31, 2006",2.498B
"Sept. 30, 2006",451.00M
"June 30, 2006",1.227B
"March 31, 2006",1.216B
"Dec. 31, 2005",1.547B
"Sept. 30, 2005",2.854B
"June 30, 2005",1.713B
"March 31, 2005",1.917B
"Dec. 31, 2004",2.65B
"Sept. 30, 2004",2.957B
"June 30, 2004",2.953B
"March 31, 2004",2.515B
"Dec. 31, 2003",2.254B
"Sept. 30, 2003",1.719B
"June 30, 2003",1.943B
"March 31, 2003",2.334B
"Dec. 31, 2002",2.338B
"Sept. 30, 2002",2.507B
"June 30, 2002",2.52B
"March 31, 2002",2.13B
"Dec. 31, 2001",1.942B
"Sept. 30, 2001",1.584B
"June 30, 2001",1.077B
"March 31, 2001",962.00M
"Dec. 31, 2000",976.00M
"Sept. 30, 2000",1.10B
"June 30, 2000",1.221B
"March 31, 2000",1.399B
"Dec. 31, 1999",1.563B
"Sept. 30, 1999",1.729B
"June 30, 1999",1.836B
"March 31, 1999",1.969B
"Dec. 31, 1998",1.743B
"Sept. 30, 1998",1.632B
"June 30, 1998",1.641B
"March 31, 1998",1.54B
"Dec. 31, 1997",1.597B
"Sept. 30, 1997",1.774B
"June 30, 1997",1.721B
"March 31, 1997",1.616B
"Dec. 31, 1996",1.592B
"Sept. 30, 1996",1.526B
"June 30, 1996",1.458B
"March 31, 1996",1.580B
"Dec. 31, 1995",1.510B
"Sept. 30, 1995",1.590B
"June 30, 1995",1.622B
"March 31, 1995",1.457B
"Dec. 31, 1994",1.382B
