date,one_year_return
"March 19, 2020",9.87%
"March 18, 2020",10.36%
"March 17, 2020",15.96%
"March 16, 2020",5.30%
"March 13, 2020",16.02%
"March 12, 2020",9.43%
"March 11, 2020",27.31%
"March 10, 2020",35.52%
"March 9, 2020",38.46%
"March 6, 2020",44.92%
"March 5, 2020",46.64%
"March 4, 2020",49.93%
"March 3, 2020",41.37%
"March 2, 2020",43.07%
"Feb. 28, 2020",34.65%
"Feb. 27, 2020",36.96%
"Feb. 26, 2020",43.16%
"Feb. 25, 2020",43.88%
"Feb. 24, 2020",45.61%
"Feb. 21, 2020",48.79%
"Feb. 20, 2020",49.23%
"Feb. 19, 2020",48.17%
"Feb. 18, 2020",53.25%
"Feb. 14, 2020",52.52%
"Feb. 13, 2020",50.65%
"Feb. 12, 2020",47.47%
"Feb. 11, 2020",48.71%
"Feb. 10, 2020",48.48%
"Feb. 7, 2020",48.63%
"Feb. 6, 2020",50.66%
"Feb. 5, 2020",49.69%
"Feb. 4, 2020",48.53%
"Feb. 3, 2020",50.04%
"Jan. 31, 2020",49.85%
"Jan. 30, 2020",55.50%
"Jan. 29, 2020",53.74%
"Jan. 28, 2020",54.12%
"Jan. 27, 2020",53.12%
"Jan. 24, 2020",46.28%
"Jan. 23, 2020",44.99%
"Jan. 22, 2020",46.52%
"Jan. 21, 2020",45.89%
"Jan. 17, 2020",44.40%
"Jan. 16, 2020",44.42%
"Jan. 15, 2020",43.99%
"Jan. 14, 2020",44.68%
"Jan. 13, 2020",40.23%
"Jan. 10, 2020",38.86%
"Jan. 9, 2020",40.69%
"Jan. 8, 2020",38.99%
"Jan. 7, 2020",40.07%
"Jan. 6, 2020",39.99%
"Jan. 3, 2020",41.86%
"Jan. 2, 2020",40.51%
"Dec. 31, 2019",39.32%
"Dec. 30, 2019",39.70%
"Dec. 27, 2019",40.86%
"Dec. 26, 2019",42.05%
"Dec. 24, 2019",43.09%
"Dec. 23, 2019",37.14%
"Dec. 20, 2019",38.76%
"Dec. 19, 2019",37.89%
"Dec. 18, 2019",36.53%
"Dec. 17, 2019",36.53%
"Dec. 16, 2019",32.13%
"Dec. 13, 2019",30.05%
"Dec. 12, 2019",29.01%
"Dec. 11, 2019",28.86%
"Dec. 10, 2019",28.39%
"Dec. 9, 2019",28.11%
"Dec. 6, 2019",28.32%
"Dec. 5, 2019",28.76%
"Dec. 4, 2019",28.59%
"Dec. 3, 2019",27.26%
"Dec. 2, 2019",27.26%
"Nov. 29, 2019",32.01%
"Nov. 27, 2019",30.94%
"Nov. 26, 2019",32.70%
"Nov. 25, 2019",31.15%
"Nov. 22, 2019",32.47%
"Nov. 21, 2019",33.47%
"Nov. 20, 2019",31.58%
"Nov. 19, 2019",27.83%
"Nov. 18, 2019",28.70%
"Nov. 15, 2019",29.16%
"Nov. 14, 2019",30.00%
"Nov. 13, 2019",27.57%
"Nov. 12, 2019",25.06%
"Nov. 11, 2019",25.86%
"Nov. 8, 2019",27.66%
"Nov. 7, 2019",28.55%
"Nov. 6, 2019",32.68%
"Nov. 5, 2019",33.04%
"Nov. 4, 2019",36.54%
"Nov. 1, 2019",38.27%
"Oct. 31, 2019",38.17%
"Oct. 30, 2019",35.67%
"Oct. 29, 2019",34.62%
"Oct. 28, 2019",37.28%
"Oct. 25, 2019",36.77%
"Oct. 24, 2019",35.28%
"Oct. 23, 2019",38.31%
"Oct. 22, 2019",36.82%
"Oct. 21, 2019",34.21%
"Oct. 18, 2019",35.50%
"Oct. 17, 2019",35.28%
"Oct. 16, 2019",34.22%
"Oct. 15, 2019",34.13%
"Oct. 14, 2019",35.16%
"Oct. 11, 2019",35.75%
"Oct. 10, 2019",34.30%
"Oct. 9, 2019",34.32%
"Oct. 8, 2019",32.69%
"Oct. 7, 2019",34.91%
"Oct. 4, 2019",38.01%
"Oct. 3, 2019",36.81%
"Oct. 2, 2019",35.30%
"Oct. 1, 2019",38.95%
"Sept. 30, 2019",39.02%
"Sept. 27, 2019",39.66%
"Sept. 26, 2019",40.91%
"Sept. 25, 2019",37.47%
"Sept. 24, 2019",35.37%
"Sept. 23, 2019",31.93%
"Sept. 20, 2019",33.35%
"Sept. 19, 2019",32.94%
"Sept. 18, 2019",29.09%
"Sept. 17, 2019",27.82%
"Sept. 16, 2019",25.72%
"Sept. 13, 2019",25.14%
"Sept. 12, 2019",27.97%
"Sept. 11, 2019",27.83%
"Sept. 10, 2019",26.79%
"Sept. 9, 2019",27.77%
"Sept. 6, 2019",26.65%
"Sept. 5, 2019",28.08%
"Sept. 4, 2019",31.81%
"Sept. 3, 2019",32.60%
"Aug. 30, 2019",28.24%
"Aug. 29, 2019",29.67%
"Aug. 28, 2019",29.68%
"Aug. 27, 2019",30.65%
"Aug. 26, 2019",29.48%
"Aug. 23, 2019",29.29%
"Aug. 22, 2019",29.07%
"Aug. 21, 2019",28.17%
"Aug. 20, 2019",25.72%
"Aug. 19, 2019",25.00%
"Aug. 16, 2019",24.45%
"Aug. 15, 2019",25.69%
"Aug. 14, 2019",25.02%
"Aug. 13, 2019",25.87%
"Aug. 12, 2019",26.05%
"Aug. 9, 2019",26.71%
"Aug. 8, 2019",26.54%
"Aug. 7, 2019",24.76%
"Aug. 6, 2019",23.62%
"Aug. 5, 2019",21.56%
"Aug. 2, 2019",24.76%
"Aug. 1, 2019",25.23%
"July 31, 2019",23.65%
"July 30, 2019",25.96%
"July 29, 2019",26.59%
"July 26, 2019",24.39%
"July 25, 2019",23.77%
"July 24, 2019",23.41%
"July 23, 2019",22.79%
"July 22, 2019",23.17%
"July 19, 2019",23.19%
"July 18, 2019",25.35%
"July 17, 2019",23.32%
"July 16, 2019",22.64%
"July 15, 2019",23.20%
"July 12, 2019",23.88%
"July 11, 2019",24.93%
"July 10, 2019",25.11%
"July 9, 2019",25.91%
"July 8, 2019",22.79%
"July 5, 2019",23.48%
"July 3, 2019",23.83%
