date,cash_on_hand
"Dec. 31, 2019",600.00M
"Sept. 30, 2019",1.131B
"June 30, 2019",1.019B
"March 31, 2019",972.00M
"Dec. 31, 2018",638.00M
"Sept. 30, 2018",497.00M
"June 30, 2018",478.00M
"March 31, 2018",550.00M
"Dec. 31, 2017",1.714B
"Sept. 30, 2017",1.381B
"June 30, 2017",642.00M
"March 31, 2017",600.00M
"Dec. 31, 2016",1.292B
"Sept. 30, 2016",681.00M
"June 30, 2016",730.00M
"March 31, 2016",628.00M
"Dec. 31, 2015",571.00M
"Sept. 30, 2015",1.181B
"June 30, 2015",551.00M
"March 31, 2015",469.00M
"Dec. 31, 2014",577.00M
"Sept. 30, 2014",485.00M
"June 30, 2014",622.00M
"March 31, 2014",488.00M
"Dec. 31, 2013",438.00M
"Sept. 30, 2013",558.00M
"June 30, 2013",411.00M
"March 31, 2013",215.00M
"Dec. 31, 2012",329.00M
"Sept. 30, 2012",246.00M
"June 30, 2012",295.00M
"March 31, 2012",275.00M
"Dec. 31, 2011",377.00M
"Sept. 30, 2011",640.00M
"June 30, 2011",287.00M
"March 31, 2011",425.00M
"Dec. 31, 2010",302.00M
"Sept. 30, 2010",791.00M
"June 30, 2010",829.00M
"March 31, 2010",1.215B
"Dec. 31, 2009",238.00M
"Sept. 30, 2009",164.00M
"June 30, 2009",276.00M
"March 31, 2009",276.00M
"Dec. 31, 2008",535.00M
"Sept. 30, 2008",1.592B
"June 30, 2008",424.00M
"March 31, 2008",603.00M
"Dec. 31, 2007",290.00M
"Sept. 30, 2007",350.00M
"June 30, 2007",723.00M
"March 31, 2007",226.00M
"Dec. 31, 2006",620.00M
"Sept. 30, 2006",159.00M
"June 30, 2006",134.00M
"March 31, 2006",148.00M
"Dec. 31, 2005",530.00M
"Sept. 30, 2005",1.102B
"June 30, 2005",154.00M
"March 31, 2005",241.00M
"Dec. 31, 2004",225.00M
"Sept. 30, 2004",451.00M
"June 30, 2004",222.00M
"March 31, 2004",232.00M
"Dec. 31, 2003",129.00M
"Sept. 30, 2003",935.00M
"June 30, 2003",281.00M
"March 31, 2003",332.00M
"Dec. 31, 2002",266.00M
"Sept. 30, 2002",696.00M
"June 30, 2002",384.00M
"March 31, 2002",117.00M
"Dec. 31, 2001",82.00M
"Sept. 30, 2001",299.00M
"June 30, 2001",72.00M
"March 31, 2001",109.00M
"Dec. 31, 2000",129.00M
"Sept. 30, 2000",377.00M
"June 30, 2000",234.00M
"March 31, 2000",104.00M
"Dec. 31, 1999",361.00M
"Sept. 30, 1999",370.00M
"June 30, 1999",595.00M
"March 31, 1999",548.00M
"Dec. 31, 1998",187.00M
"Sept. 30, 1998",447.00M
"June 30, 1998",428.00M
"March 31, 1998",72.00M
"Dec. 31, 1997",54.00M
"Sept. 30, 1997",460.30M
"June 30, 1997",337.60M
"March 31, 1997",394.70M
"Dec. 31, 1996",196.00M
"Sept. 30, 1996",91.70M
"June 30, 1996",78.90M
"March 31, 1996",28.30M
"Dec. 31, 1995",46.20M
"Sept. 30, 1995",103.50M
"June 30, 1995",124.70M
"March 31, 1995",159.50M
"Dec. 31, 1994",85.80M
"Sept. 30, 1994",210.40M
"June 30, 1994",66.10M
"March 31, 1994",88.90M
