date,book_value_of_equity_per_share
"Dec. 31, 2019",75.67
"Sept. 30, 2019",74.86
"June 30, 2019",72.87
"March 31, 2019",71.46
"Dec. 31, 2018",71.43
"Sept. 30, 2018",71.67
"June 30, 2018",70.02
"March 31, 2018",69.38
"Dec. 31, 2017",59.95
"Sept. 30, 2017",56.12
"June 30, 2017",55.25
"March 31, 2017",54.46
"Dec. 31, 2016",52.01
"Sept. 30, 2016",51.16
"June 30, 2016",50.16
"March 31, 2016",49.65
"Dec. 31, 2015",48.97
"Sept. 30, 2015",48.46
"June 30, 2015",47.20
"March 31, 2015",45.56
"Dec. 31, 2014",44.96
"Sept. 30, 2014",43.09
"June 30, 2014",42.23
"March 31, 2014",41.64
"Dec. 31, 2013",41.47
"Sept. 30, 2013",40.42
"June 30, 2013",39.09
"March 31, 2013",38.15
"Dec. 31, 2012",37.90
"Sept. 30, 2012",37.54
"June 30, 2012",37.35
"March 31, 2012",36.50
"Dec. 31, 2011",35.92
"Sept. 30, 2011",35.23
"June 30, 2011",35.29
"March 31, 2011",34.60
"Dec. 31, 2010",34.35
"Sept. 30, 2010",33.82
"June 30, 2010",32.53
"March 31, 2010",32.16
"Dec. 31, 2009",31.32
"Sept. 30, 2009",30.80
"June 30, 2009",29.76
"March 31, 2009",29.21
"Dec. 31, 2008",28.58
"Sept. 30, 2008",28.22
"June 30, 2008",25.98
"March 31, 2008",26.25
"Dec. 31, 2007",26.35
"Sept. 30, 2007",26.08
"June 30, 2007",25.07
"March 31, 2007",24.29
"Dec. 31, 2006",24.49
"Sept. 30, 2006",23.67
"June 30, 2006",22.44
"March 31, 2006",22.12
"Dec. 31, 2005",21.52
"Sept. 30, 2005",21.27
"June 30, 2005",20.95
"March 31, 2005",20.64
"Dec. 31, 2004",20.24
"Sept. 30, 2004",20.01
"June 30, 2004",19.48
"March 31, 2004",18.97
"Dec. 31, 2003",18.90
"Sept. 30, 2003",18.80
"June 30, 2003",18.18
"March 31, 2003",17.72
"Dec. 31, 2002",17.48
"Sept. 30, 2002",17.34
"June 30, 2002",17.15
"March 31, 2002",16.51
"Dec. 31, 2001",17.10
"Sept. 30, 2001",17.00
"June 30, 2001",16.34
"March 31, 2001",15.99
"Dec. 31, 2000",15.91
"Sept. 30, 2000",16.05
"June 30, 2000",15.47
"March 31, 2000",15.13
"Dec. 31, 1999",14.99
"Sept. 30, 1999",14.95
"June 30, 1999",14.38
"March 31, 1999",14.46
"Dec. 31, 1998",14.18
"Sept. 30, 1998",14.16
"June 30, 1998",13.62
"March 31, 1998",13.38
"Dec. 31, 1997",13.33
"Sept. 30, 1997",13.32
"June 30, 1997",12.82
"March 31, 1997",12.60
"Dec. 31, 1996",12.58
"Sept. 30, 1996",12.56
"June 30, 1996",12.08
"March 31, 1996",11.89
"Dec. 31, 1995",11.90
"Sept. 30, 1995",11.87
"June 30, 1995",11.43
"March 31, 1995",11.31
"Dec. 31, 1994",11.26
"Sept. 30, 1994",11.86
"June 30, 1994",11.44
"March 31, 1994",11.45
