date,fulmer_h_score
"Dec. 31, 2019",3.063
"Sept. 30, 2019",2.844
"June 30, 2019",2.979
"March 31, 2019",2.952
"Dec. 31, 2018",3.734
"Sept. 30, 2018",4.075
"June 30, 2018",3.905
"March 31, 2018",3.918
"Dec. 31, 2017",3.244
"Sept. 30, 2017",3.901
"June 30, 2017",3.905
"March 31, 2017",3.658
"Dec. 31, 2016",3.344
"Sept. 30, 2016",2.853
"June 30, 2016",2.854
"March 31, 2016",3.052
"Dec. 31, 2015",3.158
"Sept. 30, 2015",3.235
"June 30, 2015",3.153
"March 31, 2015",3.085
"Dec. 31, 2014",3.026
"Sept. 30, 2014",2.782
"June 30, 2014",2.793
"March 31, 2014",2.806
"Dec. 31, 2013",2.731
"Sept. 30, 2013",2.754
"June 30, 2013",2.624
"March 31, 2013",2.586
"Dec. 31, 2012",2.728
"Sept. 30, 2012",2.794
"June 30, 2012",2.818
"March 31, 2012",2.776
"Dec. 31, 2011",2.708
"Sept. 30, 2011",2.553
"June 30, 2011",2.643
"March 31, 2011",2.543
"Dec. 31, 2010",2.735
"Sept. 30, 2010",2.829
"June 30, 2010",2.733
"March 31, 2010",2.734
"Dec. 31, 2009",2.630
"Sept. 30, 2009",2.951
"June 30, 2009",3.390
"March 31, 2009",3.928
