date,days_inventory_outstanding
"Dec. 31, 2019",59.84
"Sept. 30, 2019",61.68
"June 30, 2019",65.57
"March 31, 2019",67.41
"Dec. 31, 2018",57.87
"Sept. 30, 2018",53.47
"June 30, 2018",61.92
"March 31, 2018",71.11
"Dec. 31, 2017",61.89
"Sept. 30, 2017",61.01
"June 30, 2017",64.10
"March 31, 2017",68.08
"Dec. 31, 2016",61.04
"Sept. 30, 2016",57.04
"June 30, 2016",64.30
"March 31, 2016",67.26
"Dec. 31, 2015",56.77
"Sept. 30, 2015",52.22
"June 30, 2015",54.49
"March 31, 2015",55.26
"Dec. 31, 2014",55.17
"Sept. 30, 2014",47.75
"June 30, 2014",49.57
"March 31, 2014",48.76
"Dec. 31, 2013",51.13
"Sept. 30, 2013",45.75
"June 30, 2013",49.95
"March 31, 2013",54.39
"Dec. 31, 2012",48.89
"Sept. 30, 2012",42.35
"June 30, 2012",48.84
"March 31, 2012",50.50
"Dec. 31, 2011",22.04
"Sept. 30, 2011",50.54
"June 30, 2011",57.05
"March 31, 2011",56.28
"Dec. 31, 2010",18.49
"Sept. 30, 2010",39.44
"June 30, 2010",52.62
"March 31, 2010",58.48
"Dec. 31, 2009",49.23
"Sept. 30, 2009",37.74
"June 30, 2009",45.12
"March 31, 2009",46.33
"Dec. 31, 2008",45.46
"Sept. 30, 2008",35.37
"June 30, 2008",44.88
"March 31, 2008",44.75
"Dec. 31, 2007",39.93
"Sept. 30, 2007",31.41
"June 30, 2007",33.21
"March 31, 2007",41.04
"Dec. 31, 2006",34.48
"Sept. 30, 2006",26.61
"June 30, 2006",31.98
"March 31, 2006",29.20
"Dec. 31, 2005",27.54
"Sept. 30, 2005",23.54
"June 30, 2005",30.03
"March 31, 2005",30.81
"Dec. 31, 2004",26.49
"Sept. 30, 2004",23.09
"June 30, 2004",28.85
"March 31, 2004",34.17
"Dec. 31, 2003",33.07
"Sept. 30, 2003",28.73
"June 30, 2003",31.46
"March 31, 2003",41.32
"Dec. 31, 2002",43.61
"Sept. 30, 2002",28.17
"June 30, 2002",30.18
"March 31, 2002",35.86
"Dec. 31, 2001",61.49
"Sept. 30, 2001",26.23
"June 30, 2001",30.86
"March 31, 2001",34.06
"Dec. 31, 2000",36.51
"Sept. 30, 2000",35.15
"June 30, 2000",47.66
"March 31, 2000",55.14
"Dec. 31, 1999",51.48
"Sept. 30, 1999",40.09
"June 30, 1999",44.69
"March 31, 1999",50.22
"Dec. 31, 1998",43.16
"Sept. 30, 1998",38.77
"June 30, 1998",46.69
"March 31, 1998",61.84
"Dec. 31, 1997",55.33
"Sept. 30, 1997",38.29
"June 30, 1997",47.43
"March 31, 1997",47.15
"Dec. 31, 1996",44.81
"Sept. 30, 1996",38.86
"June 30, 1996",45.52
"March 31, 1996",49.29
"Dec. 31, 1995",53.05
"Sept. 30, 1995",53.17
"June 30, 1995",60.18
"March 31, 1995",81.38
"Dec. 31, 1994",69.59
"Sept. 30, 1994",60.15
"June 30, 1994",59.76
