date,revenue_per_employee_annual
"Dec. 31, 2019",1.320M
"Dec. 31, 2018",1.455M
"Dec. 31, 2017",1.951M
"Dec. 31, 2016",1.824M
"Dec. 31, 2015",1.575M
"Dec. 31, 2014",1.270M
"Dec. 31, 2013",1.089M
"Dec. 31, 2012",986574.4
"Dec. 31, 2011",1.051M
"Dec. 31, 2010",1.216M
"Dec. 31, 2009",1.476M
"Dec. 31, 2008",1.548M
"Dec. 31, 2007",1.283M
"Dec. 31, 2006",1.337M
"Dec. 31, 2005",1.173M
"Dec. 31, 2004",1.074M
"Dec. 31, 2003",1.002M
"Dec. 31, 2002",793341.1
"Dec. 31, 2001",788958.2
"Dec. 31, 2000",689078.1
"Dec. 31, 1999",626203.7
"Dec. 31, 1998",685534.9
"Dec. 31, 1997",649931.1
"Dec. 31, 1996",571929.3
"Dec. 31, 1995",482069.0
"Dec. 31, 1994",407721.8
"Dec. 31, 1993",359209.5
"Dec. 31, 1992",343426.8
"Dec. 31, 1991",306248.2
"Dec. 31, 1990",329802.3
