date,accruals
"Dec. 31, 2019",-937.00M
"Sept. 30, 2019",-2.083B
"June 30, 2019",-450.00M
"March 31, 2019",-917.00M
"Dec. 31, 2018",-940.00M
"Sept. 30, 2018",-1.29B
"June 30, 2018",-864.00M
"March 31, 2018",3.14B
"Dec. 31, 2017",1.028B
"Sept. 30, 2017",-1.231B
"June 30, 2017",-1.20B
"March 31, 2017",325.00M
"Dec. 31, 2016",-115.00M
"Sept. 30, 2016",-1.271B
"June 30, 2016",-1.185B
"March 31, 2016",-892.00M
"Dec. 31, 2015",-1.069B
"Sept. 30, 2015",-700.00M
"June 30, 2015",-1.037B
"March 31, 2015",-531.00M
"Dec. 31, 2014",-648.00M
"Sept. 30, 2014",-860.00M
"June 30, 2014",-939.00M
"March 31, 2014",-587.00M
"Dec. 31, 2013",-1.385B
"Sept. 30, 2013",-442.00M
"June 30, 2013",-558.00M
"March 31, 2013",-810.00M
"Dec. 31, 2012",-406.00M
"Sept. 30, 2012",-814.00M
"June 30, 2012",-486.00M
"March 31, 2012",-374.00M
"Dec. 31, 2011",-290.00M
"Sept. 30, 2011",-719.00M
"June 30, 2011",-428.00M
"March 31, 2011",-715.00M
"Dec. 31, 2010",-802.00M
"Sept. 30, 2010",-301.00M
"June 30, 2010",-435.00M
"March 31, 2010",-340.00M
"Dec. 31, 2009",-789.00M
"Sept. 30, 2009",-649.00M
"June 30, 2009",-731.00M
"March 31, 2009",-679.00M
"Dec. 31, 2008",-637.00M
"Sept. 30, 2008",483.00M
"June 30, 2008",-542.00M
"March 31, 2008",-1.068B
"Dec. 31, 2007",-623.00M
"Sept. 30, 2007",-363.00M
"June 30, 2007",-226.00M
"March 31, 2007",-1.069B
"Dec. 31, 2006",-810.00M
"Sept. 30, 2006",-419.00M
"June 30, 2006",-355.00M
"March 31, 2006",368.00M
"Dec. 31, 2005",1.191B
"Sept. 30, 2005",-1.383B
"June 30, 2005",-377.00M
"March 31, 2005",-77.00M
"Dec. 31, 2004",-157.00M
"Sept. 30, 2004",-261.00M
"June 30, 2004",-527.00M
"March 31, 2004",-809.00M
"Dec. 31, 2003",-500.00M
"Sept. 30, 2003",-246.00M
"June 30, 2003",-107.00M
"March 31, 2003",-511.00M
"Dec. 31, 2002",19.00M
"Sept. 30, 2002",-651.00M
"June 30, 2002",-487.00M
"March 31, 2002",-746.00M
"Dec. 31, 2001",-161.00M
"Sept. 30, 2001",-480.00M
"June 30, 2001",-128.00M
"March 31, 2001",-392.00M
"Dec. 31, 2000",144.00M
"Sept. 30, 2000",7.00M
"June 30, 2000",-28.00M
"March 31, 2000",-395.00M
"Dec. 31, 1999",75.00M
"Sept. 30, 1999",-137.00M
"June 30, 1999",-333.00M
"March 31, 1999",-471.00M
"Dec. 31, 1998",-118.00M
"Sept. 30, 1998",-248.00M
"June 30, 1998",-367.00M
"March 31, 1998",-346.00M
"Dec. 31, 1997",-10.00M
"Sept. 30, 1997",-282.00M
"June 30, 1997",-278.00M
"March 31, 1997",-410.00M
"Dec. 31, 1996",-191.90M
"Sept. 30, 1996",-241.00M
"June 30, 1996",-187.10M
"March 31, 1996",-393.00M
"Dec. 31, 1995",-136.50M
"Sept. 30, 1995",-182.50M
"June 30, 1995",-321.40M
"March 31, 1995",-316.80M
"Dec. 31, 1994",-214.10M
"Sept. 30, 1994",-232.90M
"June 30, 1994",-169.60M
"March 31, 1994",-246.80M
