date,total_employee_number
"Dec. 31, 2019",14800
"Dec. 31, 2018",14300
"Dec. 31, 2017",8700
"Dec. 31, 2016",8900
"Dec. 31, 2015",8800
"Dec. 31, 2014",13400
"Dec. 31, 2013",13400
"Dec. 31, 2012",14400
"Dec. 31, 2011",14500
"Dec. 31, 2010",14690
"Dec. 31, 2009",10500
"Dec. 31, 2008",10700
"Dec. 31, 2007",10500
"Dec. 31, 2006",13300
"Dec. 31, 2005",10200
"Dec. 31, 2004",10000
"Dec. 31, 2003",9600
"Dec. 31, 2002",9612
"Dec. 31, 2001",10992
"Dec. 31, 2000",9838
"Dec. 31, 1999",10717
"Dec. 31, 1998",9845
"Dec. 31, 1997",9588
"Dec. 31, 1996",10011
"Dec. 31, 1995",11100
"Dec. 31, 1994",12100
"Dec. 31, 1993",14500
"Dec. 31, 1992",15100
"Dec. 31, 1991",15144
"Dec. 31, 1990",19138
"Dec. 31, 1989",19000
