date,cash_on_hand
"Dec. 31, 2019",4.072B
"Sept. 30, 2019",4.016B
"June 30, 2019",3.986B
"March 31, 2019",3.861B
"Dec. 31, 2018",3.689B
"Sept. 30, 2018",3.82B
"June 30, 2018",3.686B
"March 31, 2018",3.243B
"Dec. 31, 2017",3.273B
"Sept. 30, 2017",3.04B
"June 30, 2017",3.152B
"March 31, 2017",3.482B
"Dec. 31, 2016",3.305B
"Sept. 30, 2016",3.446B
"June 30, 2016",3.415B
"March 31, 2016",3.582B
"Dec. 31, 2015",3.051B
"Sept. 30, 2015",3.096B
"June 30, 2015",3.132B
"March 31, 2015",3.438B
"Dec. 31, 2014",2.988B
"Sept. 30, 2014",3.56B
"June 30, 2014",3.994B
"March 31, 2014",3.498B
"Dec. 31, 2013",3.152B
"Sept. 30, 2013",3.328B
"June 30, 2013",3.393B
"March 31, 2013",3.135B
"Dec. 31, 2012",2.97B
"Sept. 30, 2012",3.235B
"June 30, 2012",3.256B
"March 31, 2012",3.784B
"Dec. 31, 2011",3.144B
"Sept. 30, 2011",3.656B
"June 30, 2011",4.374B
"March 31, 2011",4.465B
"Dec. 31, 2010",3.538B
"Sept. 30, 2010",3.379B
"June 30, 2010",3.124B
"March 31, 2010",2.773B
"Dec. 31, 2009",2.593B
"Sept. 30, 2009",2.254B
"June 30, 2009",2.198B
"March 31, 2009",2.134B
"Dec. 31, 2008",1.803B
"Sept. 30, 2008",3.431B
"June 30, 2008",5.838B
"March 31, 2008",3.122B
"Dec. 31, 2007",2.779B
"Sept. 30, 2007",1.557B
"June 30, 2007",2.114B
"March 31, 2007",1.933B
"Dec. 31, 2006",1.759B
"Sept. 30, 2006",2.301B
"June 30, 2006",2.988B
"March 31, 2006",2.92B
"Dec. 31, 2005",2.531B
"Sept. 30, 2005",2.613B
"June 30, 2005",2.269B
"March 31, 2005",1.908B
"Dec. 31, 2004",1.305B
"Sept. 30, 2004",1.876B
"June 30, 2004",1.768B
"March 31, 2004",1.824B
"Dec. 31, 2003",
"Sept. 30, 2003",2.034B
"June 30, 2003",2.204B
"March 31, 2003",1.889B
"Dec. 31, 2002",1.815B
"Sept. 30, 2002",1.944B
"June 30, 2002",2.118B
"March 31, 2002",2.114B
"Dec. 31, 2001",2.280B
"Sept. 30, 2001",1.489B
"June 30, 2001",968.35M
"March 31, 2001",684.68M
"Dec. 31, 2000",
"Sept. 30, 2000",580.61M
"June 30, 2000",636.65M
"March 31, 2000",542.56M
"Dec. 31, 1999",418.82M
"Sept. 30, 1999",266.70M
"June 30, 1999",487.60M
"March 31, 1999",405.60M
"Dec. 31, 1998",378.51M
"Sept. 30, 1998",452.20M
"June 30, 1998",567.20M
"March 31, 1998",506.90M
"Dec. 31, 1997",623.34M
"Sept. 30, 1997",554.10M
"June 30, 1997",577.80M
"March 31, 1997",652.40M
"Dec. 31, 1996",581.84M
"Sept. 30, 1996",594.00M
"June 30, 1996",478.30M
"March 31, 1996",324.70M
"Dec. 31, 1995",317.40M
"Sept. 30, 1995",365.80M
"June 30, 1995",400.90M
"March 31, 1995",172.70M
"Dec. 31, 1994",174.50M
"Sept. 30, 1994",270.90M
"June 30, 1994",116.60M
"March 31, 1994",240.20M
"Dec. 31, 1993",295.60M
"Sept. 30, 1993",249.00M
"June 30, 1993",334.60M
"March 31, 1993",346.80M
"Dec. 31, 1992",411.00M
"Sept. 30, 1992",261.20M
"June 30, 1992",194.80M
"March 31, 1992",303.10M
"Dec. 31, 1991",260.90M
"Sept. 30, 1991",211.10M
"June 30, 1991",128.70M
"March 31, 1991",152.80M
"Dec. 31, 1990",87.50M
"Sept. 30, 1990",124.50M
"June 30, 1990",56.80M
"March 31, 1990",85.70M
"Dec. 31, 1989",146.40M
"Sept. 30, 1989",175.10M
"June 30, 1989",153.30M
"March 31, 1989",184.90M
"Dec. 31, 1988",210.00M
"Dec. 31, 1987",142.70M
"Dec. 31, 1986",74.90M
"Dec. 31, 1985",69.30M
"Dec. 31, 1984",26.50M
