date,kz_index
"Dec. 31, 2019",0.2021
"Dec. 31, 2018",0.3037
"Dec. 31, 2017",0.778
"Dec. 31, 2016",0.7552
"Dec. 31, 2015",0.9219
"Dec. 31, 2014",1.112
"Dec. 31, 2013",0.5963
"Dec. 31, 2012",0.6637
"Dec. 31, 2011",0.7468
"Dec. 31, 2010",0.842
"Dec. 31, 2009",
"Dec. 31, 2008",1.253
"Dec. 31, 2007",0.4529
"Dec. 31, 2006",0.6641
"Dec. 31, 2005",0.6511
"Dec. 31, 2004",
"Dec. 31, 2003",
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",
"Dec. 31, 1999",1.066
"Dec. 31, 1998",1.028
"Dec. 31, 1997",1.021
"Dec. 31, 1996",0.8833
"Dec. 31, 1995",1.218
"Dec. 31, 1994",1.156
"Dec. 31, 1993",2.092
"Dec. 31, 1992",1.661
"Dec. 31, 1991",1.688
"Dec. 31, 1990",1.089
"Dec. 31, 1989",1.009
"Dec. 31, 1988",1.118
"Dec. 31, 1987",1.014
"Dec. 31, 1986",1.414
"Dec. 31, 1985",1.663
