date,cash_operations_ttm
"Dec. 31, 2019",3.987B
"Sept. 30, 2019",4.152B
"June 30, 2019",4.332B
"March 31, 2019",4.996B
"Dec. 31, 2018",4.893B
"Sept. 30, 2018",4.467B
"June 30, 2018",4.191B
"March 31, 2018",3.306B
"Dec. 31, 2017",3.929B
"Sept. 30, 2017",4.075B
"June 30, 2017",3.935B
"March 31, 2017",4.302B
"Dec. 31, 2016",4.293B
"Sept. 30, 2016",3.908B
"June 30, 2016",3.887B
"March 31, 2016",3.402B
"Dec. 31, 2015",3.238B
"Sept. 30, 2015",3.118B
"June 30, 2015",2.523B
"March 31, 2015",3.235B
"Dec. 31, 2014",2.902B
"Sept. 30, 2014",2.987B
"June 30, 2014",3.175B
"March 31, 2014",2.613B
"Dec. 31, 2013",2.477B
"Sept. 30, 2013",2.419B
"June 30, 2013",2.454B
"March 31, 2013",1.822B
"Dec. 31, 2012",2.064B
"Sept. 30, 2012",2.204B
"June 30, 2012",1.524B
"March 31, 2012",1.616B
"Dec. 31, 2011",1.356B
"Sept. 30, 2011",1.254B
"June 30, 2011",1.85B
"March 31, 2011",2.153B
"Dec. 31, 2010",1.561B
"Sept. 30, 2010",1.784B
"June 30, 2010",1.478B
"March 31, 2010",1.072B
"Dec. 31, 2009",985.00M
"Sept. 30, 2009",-2.052B
"June 30, 2009",-4.401B
"March 31, 2009",-2.199B
"Dec. 31, 2008",-1.521B
"Sept. 30, 2008",2.118B
"June 30, 2008",4.548B
"March 31, 2008",3.192B
"Dec. 31, 2007",2.845B
"Sept. 30, 2007",1.894B
"June 30, 2007",1.42B
"March 31, 2007",1.272B
"Dec. 31, 2006",1.406B
"Sept. 30, 2006",1.294B
"June 30, 2006",2.191B
"March 31, 2006",2.005B
"Dec. 31, 2005",2.118B
"Sept. 30, 2005",2.038B
"June 30, 2005",1.82B
"March 31, 2005",1.604B
"Dec. 31, 2004",1.157B
"Sept. 30, 2004",1.496B
"June 30, 2004",1.278B
"March 31, 2004",1.486B
"Dec. 31, 2003",1.336B
"Sept. 30, 2003",1.16B
"June 30, 2003",1.039B
"March 31, 2003",694.00M
"Dec. 31, 2002",520.00M
"Sept. 30, 2002",640.45M
"June 30, 2002",965.79M
"March 31, 2002",1.157B
"Dec. 31, 2001",1.485B
"Sept. 30, 2001",1.505B
"June 30, 2001",1.392B
"March 31, 2001",1.303B
"Dec. 31, 2000",1.298B
"Sept. 30, 2000",1.262B
"June 30, 2000",1.140B
"March 31, 2000",1.107B
"Dec. 31, 1999",1.002B
"Sept. 30, 1999",976.34M
"June 30, 1999",1.051B
"March 31, 1999",981.54M
"Dec. 31, 1998",886.14M
"Sept. 30, 1998",861.99M
"June 30, 1998",804.89M
"March 31, 1998",732.39M
"Dec. 31, 1997",610.59M
"Sept. 30, 1997",610.23M
"June 30, 1997",565.43M
"March 31, 1997",567.03M
"Dec. 31, 1996",615.23M
"Sept. 30, 1996",554.40M
"June 30, 1996",522.10M
"March 31, 1996",493.70M
"Dec. 31, 1995",456.40M
"Sept. 30, 1995",426.30M
"June 30, 1995",458.70M
"March 31, 1995",394.50M
"Dec. 31, 1994",412.70M
"Sept. 30, 1994",475.80M
"June 30, 1994",539.30M
"March 31, 1994",457.10M
"Dec. 31, 1993",392.70M
"Sept. 30, 1993",357.90M
"June 30, 1993",261.10M
"March 31, 1993",282.60M
"Dec. 31, 1992",264.50M
"Sept. 30, 1992",191.20M
"June 30, 1992",175.10M
"March 31, 1992",153.30M
"Dec. 31, 1991",103.20M
"Sept. 30, 1991",72.40M
"June 30, 1991",66.00M
"March 31, 1991",89.50M
"Dec. 31, 1990",111.90M
"Sept. 30, 1990",150.40M
"June 30, 1990",167.90M
"March 31, 1990",143.40M
"Dec. 31, 1989",168.00M
