date,sales_est_0q
"March 16, 2020",5.162B
"March 13, 2020",5.210B
"March 11, 2020",5.231B
"March 9, 2020",5.235B
"March 6, 2020",5.248B
"March 5, 2020",5.262B
"March 3, 2020",5.296B
"March 2, 2020",5.302B
"Feb. 25, 2020",5.299B
"Feb. 11, 2020",5.297B
"Feb. 3, 2020",5.297B
"Jan. 29, 2020",5.299B
"Jan. 28, 2020",5.301B
"Jan. 27, 2020",5.304B
"Jan. 24, 2020",5.311B
"Jan. 23, 2020",5.241B
"Jan. 22, 2020",5.232B
"Jan. 21, 2020",5.236B
"Jan. 13, 2020",5.253B
"Jan. 8, 2020",5.267B
"Jan. 6, 2020",5.298B
"Jan. 2, 2020",5.315B
"Dec. 31, 2019",5.741B
"Dec. 20, 2019",5.745B
"Dec. 19, 2019",5.746B
"Dec. 17, 2019",5.746B
"Nov. 13, 2019",5.748B
"Oct. 31, 2019",5.745B
"Oct. 28, 2019",5.749B
"Oct. 25, 2019",5.748B
"Oct. 24, 2019",5.716B
"Oct. 9, 2019",5.776B
"Oct. 7, 2019",5.778B
"Oct. 2, 2019",5.774B
"Oct. 1, 2019",5.769B
"Sept. 30, 2019",5.655B
"Sept. 29, 2019",5.667B
"Sept. 23, 2019",5.667B
"Sept. 19, 2019",5.671B
"Sept. 18, 2019",5.674B
"Sept. 13, 2019",5.676B
"Aug. 19, 2019",5.680B
"Aug. 13, 2019",5.678B
"July 30, 2019",5.662B
"July 29, 2019",5.661B
"July 26, 2019",5.659B
"July 25, 2019",5.675B
"July 17, 2019",5.752B
"July 16, 2019",5.769B
"July 10, 2019",5.777B
"July 9, 2019",5.811B
"July 8, 2019",5.835B
"June 30, 2019",5.939B
"June 27, 2019",5.945B
"June 21, 2019",5.944B
"June 20, 2019",5.947B
"June 19, 2019",5.954B
"June 17, 2019",5.961B
"May 6, 2019",5.961B
"April 30, 2019",5.961B
"April 29, 2019",5.958B
"April 26, 2019",5.965B
"April 25, 2019",6.059B
"April 17, 2019",6.081B
"April 16, 2019",6.085B
"April 8, 2019",6.097B
"April 4, 2019",6.108B
"April 3, 2019",6.133B
"April 1, 2019",6.170B
"March 31, 2019",5.135B
"March 29, 2019",5.176B
"March 28, 2019",5.192B
"March 27, 2019",5.256B
"March 25, 2019",5.313B
"March 22, 2019",5.322B
"March 20, 2019",5.331B
"March 7, 2019",5.329B
"March 1, 2019",5.333B
"Feb. 27, 2019",5.335B
"Feb. 25, 2019",5.341B
"Feb. 22, 2019",5.345B
"Feb. 21, 2019",5.351B
"Feb. 20, 2019",5.355B
"Jan. 28, 2019",5.358B
"Jan. 25, 2019",5.336B
"Jan. 24, 2019",5.310B
"Jan. 23, 2019",5.291B
"Jan. 14, 2019",5.306B
"Jan. 11, 2019",5.313B
"Jan. 9, 2019",5.326B
"Dec. 31, 2018",5.668B
"Dec. 14, 2018",5.672B
"Dec. 12, 2018",5.676B
"Dec. 10, 2018",5.677B
"Dec. 6, 2018",5.677B
"Dec. 4, 2018",5.676B
"Dec. 3, 2018",5.675B
"Nov. 27, 2018",5.674B
"Nov. 19, 2018",5.678B
"Nov. 12, 2018",5.678B
"Oct. 30, 2018",5.679B
"Oct. 26, 2018",5.680B
"Oct. 25, 2018",5.695B
"Oct. 16, 2018",5.712B
"Oct. 10, 2018",5.713B
"Oct. 4, 2018",5.710B
"Oct. 1, 2018",5.713B
"Sept. 30, 2018",5.583B
"Sept. 27, 2018",5.586B
"Sept. 26, 2018",5.592B
"Sept. 17, 2018",5.587B
"Sept. 12, 2018",5.585B
"Sept. 7, 2018",5.584B
"Sept. 6, 2018",5.574B
"Sept. 4, 2018",5.570B
"July 31, 2018",5.562B
"July 30, 2018",5.563B
"July 27, 2018",5.569B
"July 26, 2018",5.642B
"July 25, 2018",5.643B
"July 13, 2018",5.656B
"July 11, 2018",5.654B
"July 6, 2018",5.655B
"June 30, 2018",5.754B
"June 20, 2018",5.765B
"June 15, 2018",5.771B
"June 13, 2018",5.778B
"June 8, 2018",5.777B
"June 5, 2018",5.795B
"June 4, 2018",5.811B
"May 21, 2018",5.846B
"May 14, 2018",5.843B
"May 8, 2018",5.841B
"May 3, 2018",5.840B
"May 2, 2018",5.843B
"April 30, 2018",5.845B
"April 28, 2018",5.842B
"April 27, 2018",5.843B
"April 26, 2018",5.906B
"April 16, 2018",5.922B
"April 10, 2018",5.919B
"April 3, 2018",5.932B
"March 31, 2018",4.999B
"March 29, 2018",5.010B
"March 28, 2018",5.018B
"March 26, 2018",5.028B
"March 23, 2018",5.039B
"March 22, 2018",5.056B
"March 21, 2018",5.084B
"March 19, 2018",5.110B
"March 9, 2018",5.114B
"Feb. 16, 2018",5.112B
"Feb. 15, 2018",5.109B
"Feb. 14, 2018",5.102B
"Jan. 31, 2018",5.109B
"Jan. 30, 2018",5.108B
"Jan. 26, 2018",5.108B
"Jan. 25, 2018",5.121B
"Jan. 22, 2018",5.121B
"Jan. 11, 2018",5.119B
"Jan. 10, 2018",5.122B
"Jan. 9, 2018",5.124B
"Jan. 8, 2018",5.125B
