date,ni_per_employee_annual
"Dec. 31, 2019",38461.54
"Dec. 31, 2018",42906.88
"Dec. 31, 2017",61259.12
"Dec. 31, 2016",42347.24
"Dec. 31, 2015",45495.32
"Dec. 31, 2014",24937.16
"Dec. 31, 2013",16627.71
"Dec. 31, 2012",9227.09
"Dec. 31, 2011",4433.76
"Dec. 31, 2010",13184.54
"Dec. 31, 2009",2819.51
"Dec. 31, 2008",5094.67
"Dec. 31, 2007",19241.67
"Dec. 31, 2006",15498.58
"Dec. 31, 2005",15428.75
"Dec. 31, 2004",9803.00
"Dec. 31, 2003",11179.23
"Dec. 31, 2002",7383.01
"Dec. 31, 2001",16799.13
"Dec. 31, 2000",21993.08
"Dec. 31, 1999",17758.01
"Dec. 31, 1998",17400.58
"Dec. 31, 1997",13545.85
"Dec. 31, 1996",9671.25
"Dec. 31, 1995",10402.19
"Dec. 31, 1994",11815.49
"Dec. 31, 1993",12482.06
"Dec. 31, 1992",9505.01
"Dec. 31, 1991",2924.23
"Dec. 31, 1990",5496.24
