date,cash_investing_ttm
"Dec. 31, 2019",-303.00M
"Sept. 30, 2019",-1.115B
"June 30, 2019",-1.359B
"March 31, 2019",-1.801B
"Dec. 31, 2018",-2.038B
"Sept. 30, 2018",-2.105B
"June 30, 2018",-2.121B
"March 31, 2018",-2.011B
"Dec. 31, 2017",-2.408B
"Sept. 30, 2017",-2.512B
"June 30, 2017",-2.476B
"March 31, 2017",-2.567B
"Dec. 31, 2016",-2.272B
"Sept. 30, 2016",-2.379B
"June 30, 2016",-2.054B
"March 31, 2016",-1.786B
"Dec. 31, 2015",-1.913B
"Sept. 30, 2015",-1.435B
"June 30, 2015",-1.22B
"March 31, 2015",-1.671B
"Dec. 31, 2014",-1.727B
"Sept. 30, 2014",-1.513B
"June 30, 2014",-1.828B
"March 31, 2014",-1.27B
"Dec. 31, 2013",-1.384B
"Sept. 30, 2013",-1.319B
"June 30, 2013",-1.236B
"March 31, 2013",-1.293B
"Dec. 31, 2012",-833.00M
"Sept. 30, 2012",-709.00M
"June 30, 2012",-570.00M
"March 31, 2012",-803.00M
"Dec. 31, 2011",-1.022B
"Sept. 30, 2011",-977.00M
"June 30, 2011",-1.153B
"March 31, 2011",-1.174B
"Dec. 31, 2010",-1.265B
"Sept. 30, 2010",-1.502B
"June 30, 2010",-1.487B
"March 31, 2010",-1.253B
"Dec. 31, 2009",-1.569B
"Sept. 30, 2009",-854.00M
"June 30, 2009",-603.00M
"March 31, 2009",-1.49B
"Dec. 31, 2008",-978.00M
"Sept. 30, 2008",-1.846B
"June 30, 2008",-2.114B
"March 31, 2008",-1.384B
"Dec. 31, 2007",-1.529B
"Sept. 30, 2007",-1.486B
"June 30, 2007",-1.51B
"March 31, 2007",-1.457B
"Dec. 31, 2006",-1.495B
"Sept. 30, 2006",-1.398B
"June 30, 2006",-1.499B
"March 31, 2006",-1.299B
"Dec. 31, 2005",-1.146B
"Sept. 30, 2005",-1.396B
"June 30, 2005",-1.436B
"March 31, 2005",-1.685B
"Dec. 31, 2004",-1.85B
"Sept. 30, 2004",-1.713B
"June 30, 2004",-1.57B
"March 31, 2004",-1.366B
"Dec. 31, 2003",-1.238B
"Sept. 30, 2003",-1.086B
"June 30, 2003",-868.00M
"March 31, 2003",-687.00M
"Dec. 31, 2002",-603.00M
"Sept. 30, 2002",-703.05M
"June 30, 2002",-790.08M
"March 31, 2002",-852.52M
"Dec. 31, 2001",-997.84M
"Sept. 30, 2001",-1.002B
"June 30, 2001",-1.099B
"March 31, 2001",-1.197B
"Dec. 31, 2000",-1.135B
"Sept. 30, 2000",-1.065B
"June 30, 2000",-1.095B
"March 31, 2000",-1.071B
"Dec. 31, 1999",-1.168B
"Sept. 30, 1999",-1.176B
"June 30, 1999",-1.044B
"March 31, 1999",-1.000B
"Dec. 31, 1998",-947.10M
"Sept. 30, 1998",-784.43M
"June 30, 1998",-748.23M
"March 31, 1998",-809.03M
"Dec. 31, 1997",-688.93M
"Sept. 30, 1997",-759.63M
"June 30, 1997",-756.23M
"March 31, 1997",-660.93M
"Dec. 31, 1996",-677.43M
"Sept. 30, 1996",-651.80M
"June 30, 1996",-704.00M
"March 31, 1996",-659.70M
"Dec. 31, 1995",-728.60M
"Sept. 30, 1995",-746.80M
"June 30, 1995",-773.40M
"March 31, 1995",-868.60M
"Dec. 31, 1994",-788.60M
"Sept. 30, 1994",-741.90M
"June 30, 1994",-782.40M
"March 31, 1994",-535.60M
"Dec. 31, 1993",-524.20M
"Sept. 30, 1993",-470.10M
"June 30, 1993",-267.20M
"March 31, 1993",-436.00M
"Dec. 31, 1992",-408.90M
"Sept. 30, 1992",-415.00M
"June 30, 1992",-483.70M
"March 31, 1992",-387.60M
"Dec. 31, 1991",-341.00M
"Sept. 30, 1991",-369.70M
"June 30, 1991",-283.10M
"March 31, 1991",-294.70M
"Dec. 31, 1990",-315.30M
"Sept. 30, 1990",-256.10M
"June 30, 1990",-261.00M
"March 31, 1990",-246.80M
"Dec. 31, 1989",-261.30M
