date,gross_profit_margin
"Dec. 31, 2019",24.97%
"Sept. 30, 2019",28.04%
"June 30, 2019",29.38%
"March 31, 2019",23.99%
"Dec. 31, 2018",27.63%
"Sept. 30, 2018",27.57%
"June 30, 2018",29.66%
"March 31, 2018",25.10%
"Dec. 31, 2017",27.25%
"Sept. 30, 2017",29.91%
"June 30, 2017",33.89%
"March 31, 2017",26.66%
"Dec. 31, 2016",29.48%
"Sept. 30, 2016",26.33%
"June 30, 2016",35.20%
"March 31, 2016",31.54%
"Dec. 31, 2015",33.01%
"Sept. 30, 2015",33.90%
"June 30, 2015",32.30%
"March 31, 2015",29.45%
"Dec. 31, 2014",26.90%
"Sept. 30, 2014",25.10%
"June 30, 2014",26.86%
"March 31, 2014",18.22%
"Dec. 31, 2013",22.04%
"Sept. 30, 2013",20.90%
"June 30, 2013",21.06%
"March 31, 2013",14.30%
"Dec. 31, 2012",15.34%
"Sept. 30, 2012",16.36%
"June 30, 2012",21.10%
"March 31, 2012",13.15%
"Dec. 31, 2011",-74.44%
"Sept. 30, 2011",48.85%
"June 30, 2011",49.25%
"March 31, 2011",52.18%
"Dec. 31, 2010",-83.43%
"Sept. 30, 2010",56.92%
"June 30, 2010",56.50%
"March 31, 2010",53.46%
"Dec. 31, 2009",6.45%
"Sept. 30, 2009",71.08%
"June 30, 2009",73.62%
"March 31, 2009",71.53%
"Dec. 31, 2008",66.64%
"Sept. 30, 2008",64.16%
"June 30, 2008",67.27%
"March 31, 2008",70.99%
"Dec. 31, 2007",66.01%
"Sept. 30, 2007",75.39%
"June 30, 2007",77.51%
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",39.76%
"Dec. 31, 2003",
"Sept. 30, 2003",45.46%
"June 30, 2003",46.07%
"March 31, 2003",
"Dec. 31, 2002",41.33%
"Sept. 30, 2002",41.12%
"June 30, 2002",44.54%
"March 31, 2002",38.03%
"Dec. 31, 2001",
"Sept. 30, 2001",40.01%
"June 30, 2001",48.09%
"March 31, 2001",45.34%
"Dec. 31, 2000",
"Sept. 30, 2000",49.42%
"June 30, 2000",50.16%
"March 31, 2000",42.36%
"Dec. 31, 1999",44.07%
"Sept. 30, 1999",46.38%
"June 30, 1999",50.15%
"March 31, 1999",46.36%
"Dec. 31, 1998",46.85%
"Sept. 30, 1998",48.68%
"June 30, 1998",48.20%
"March 31, 1998",42.35%
"Dec. 31, 1997",42.69%
"Sept. 30, 1997",43.33%
"June 30, 1997",44.42%
"March 31, 1997",38.23%
"Dec. 31, 1996",33.93%
"Sept. 30, 1996",38.55%
"June 30, 1996",43.14%
"March 31, 1996",36.27%
"Dec. 31, 1995",37.30%
"Sept. 30, 1995",42.13%
"June 30, 1995",41.80%
"March 31, 1995",34.61%
"Dec. 31, 1994",35.47%
"Sept. 30, 1994",43.31%
"June 30, 1994",44.26%
"March 31, 1994",51.82%
"Dec. 31, 1993",47.58%
"Sept. 30, 1993",55.66%
"June 30, 1993",54.95%
"March 31, 1993",52.45%
"Dec. 31, 1992",53.60%
"Sept. 30, 1992",53.32%
"June 30, 1992",52.47%
"March 31, 1992",52.21%
"Dec. 31, 1991",49.64%
"Sept. 30, 1991",51.34%
"June 30, 1991",49.12%
"March 31, 1991",43.25%
"Dec. 31, 1990",40.45%
"Sept. 30, 1990",53.32%
"June 30, 1990",56.10%
"March 31, 1990",48.81%
"Dec. 31, 1989",48.81%
"Sept. 30, 1989",54.28%
"June 30, 1989",52.39%
"March 31, 1989",54.45%
