date,graham_number
"Dec. 31, 2019",42.71
"Sept. 30, 2019",43.11
"June 30, 2019",42.18
"March 31, 2019",41.24
"Dec. 31, 2018",41.58
"Sept. 30, 2018",50.20
"June 30, 2018",48.73
"March 31, 2018",47.55
"Dec. 31, 2017",46.39
"Sept. 30, 2017",34.14
"June 30, 2017",32.07
"March 31, 2017",31.69
"Dec. 31, 2016",33.01
"Sept. 30, 2016",32.01
"June 30, 2016",32.23
"March 31, 2016",29.92
"Dec. 31, 2015",28.87
"Sept. 30, 2015",25.43
"June 30, 2015",23.65
"March 31, 2015",22.01
"Dec. 31, 2014",19.30
"Sept. 30, 2014",20.18
"June 30, 2014",19.53
"March 31, 2014",16.76
"Dec. 31, 2013",15.80
"Sept. 30, 2013",13.94
"June 30, 2013",10.48
"March 31, 2013",10.52
"Dec. 31, 2012",10.98
"Sept. 30, 2012",11.74
"June 30, 2012",9.498
"March 31, 2012",8.655
"Dec. 31, 2011",6.933
"Sept. 30, 2011",6.174
"June 30, 2011",11.96
"March 31, 2011",10.90
"Dec. 31, 2010",10.61
"Sept. 30, 2010",10.20
"June 30, 2010",6.973
"March 31, 2010",6.599
"Dec. 31, 2009",4.639
"Sept. 30, 2009",
"June 30, 2009",
"March 31, 2009",3.462
"Dec. 31, 2008",6.137
"Sept. 30, 2008",10.20
"June 30, 2008",15.17
"March 31, 2008",13.13
"Dec. 31, 2007",13.44
"Sept. 30, 2007",12.16
"June 30, 2007",10.86
"March 31, 2007",11.08
"Dec. 31, 2006",10.54
"Sept. 30, 2006",10.72
"June 30, 2006",12.70
"March 31, 2006",10.58
"Dec. 31, 2005",10.55
"Sept. 30, 2005",10.45
"June 30, 2005",9.113
"March 31, 2005",8.581
"Dec. 31, 2004",7.757
"Sept. 30, 2004",7.130
"June 30, 2004",6.699
"March 31, 2004",8.113
"Dec. 31, 2003",8.120
"Sept. 30, 2003",7.824
"June 30, 2003",7.379
"March 31, 2003",5.443
"Dec. 31, 2002",5.399
"Sept. 30, 2002",6.437
"June 30, 2002",7.271
"March 31, 2002",7.895
"Dec. 31, 2001",8.682
"Sept. 30, 2001",9.537
"June 30, 2001",9.649
"March 31, 2001",9.573
"Dec. 31, 2000",9.006
"Sept. 30, 2000",8.117
"June 30, 2000",7.452
"March 31, 2000",6.921
"Dec. 31, 1999",7.089
"Sept. 30, 1999",7.050
"June 30, 1999",6.945
"March 31, 1999",6.624
"Dec. 31, 1998",6.338
"Sept. 30, 1998",6.009
"June 30, 1998",5.679
"March 31, 1998",5.218
"Dec. 31, 1997",5.012
"Sept. 30, 1997",4.494
"June 30, 1997",4.122
"March 31, 1997",3.950
"Dec. 31, 1996",3.764
"Sept. 30, 1996",3.853
"June 30, 1996",3.844
"March 31, 1996",3.551
"Dec. 31, 1995",3.251
"Sept. 30, 1995",2.994
"June 30, 1995",2.849
"March 31, 1995",2.755
"Dec. 31, 1994",3.103
"Sept. 30, 1994",3.207
"June 30, 1994",3.014
"March 31, 1994",2.864
"Dec. 31, 1993",2.75
"Sept. 30, 1993",2.566
"June 30, 1993",2.385
"March 31, 1993",2.140
"Dec. 31, 1992",2.029
"Sept. 30, 1992",1.786
"June 30, 1992",1.683
"March 31, 1992",1.582
"Dec. 31, 1991",1.051
"Sept. 30, 1991",0.8092
"June 30, 1991",0.7996
"March 31, 1991",1.024
"Dec. 31, 1990",1.221
"Sept. 30, 1990",1.391
"June 30, 1990",1.366
"March 31, 1990",1.266
"Dec. 31, 1989",1.411
"Sept. 30, 1989",1.475
"June 30, 1989",1.510
"March 31, 1989",1.422
"Dec. 31, 1988",1.270
"Sept. 30, 1988",1.160
"June 30, 1988",1.087
"March 31, 1988",0.9948
"Dec. 31, 1987",0.8332
"Sept. 30, 1987",0.793
"June 30, 1987",0.793
"March 31, 1987",0.8866
"Dec. 31, 1986",1.049
"Sept. 30, 1986",1.001
"June 30, 1986",0.9267
"March 31, 1986",1.001
"Dec. 31, 1985",1.002
"Sept. 30, 1985",0.9082
"June 30, 1985",0.9217
"March 31, 1985",0.8533
"Dec. 31, 1984",0.8539
