date,historical_monthly_var_5_all
"Feb. 29, 2020",14.45%
"Jan. 31, 2020",14.45%
"Dec. 31, 2019",14.45%
"Nov. 30, 2019",14.47%
"Oct. 31, 2019",14.48%
"Sept. 30, 2019",14.48%
"Aug. 31, 2019",14.49%
"July 31, 2019",14.50%
"June 30, 2019",14.52%
"May 31, 2019",14.54%
"April 30, 2019",14.55%
"March 31, 2019",14.55%
"Feb. 28, 2019",14.56%
"Jan. 31, 2019",14.57%
"Dec. 31, 2018",14.56%
"Nov. 30, 2018",14.55%
"Oct. 31, 2018",14.51%
"Sept. 30, 2018",14.48%
"Aug. 31, 2018",14.48%
"July 31, 2018",14.49%
"June 30, 2018",14.50%
"May 31, 2018",14.52%
"April 30, 2018",14.54%
"March 31, 2018",14.55%
"Feb. 28, 2018",14.55%
"Jan. 31, 2018",14.56%
"Dec. 31, 2017",14.58%
"Nov. 30, 2017",14.58%
"Oct. 31, 2017",14.59%
"Sept. 30, 2017",14.59%
"Aug. 31, 2017",14.60%
"July 31, 2017",14.59%
"June 30, 2017",14.59%
"May 31, 2017",14.60%
"April 30, 2017",14.61%
"March 31, 2017",14.61%
"Feb. 28, 2017",14.66%
"Jan. 31, 2017",14.68%
"Dec. 31, 2016",14.69%
"Nov. 30, 2016",14.71%
"Oct. 31, 2016",14.73%
"Sept. 30, 2016",14.74%
"Aug. 31, 2016",14.75%
"July 31, 2016",14.74%
"June 30, 2016",14.75%
"May 31, 2016",14.77%
"April 30, 2016",14.78%
"March 31, 2016",14.78%
"Feb. 29, 2016",14.78%
"Jan. 31, 2016",14.73%
"Dec. 31, 2015",14.66%
"Nov. 30, 2015",14.69%
"Oct. 31, 2015",14.71%
"Sept. 30, 2015",14.73%
"Aug. 31, 2015",14.74%
"July 31, 2015",14.75%
"June 30, 2015",14.77%
"May 31, 2015",14.61%
"April 30, 2015",14.60%
"March 31, 2015",14.61%
"Feb. 28, 2015",14.61%
"Jan. 31, 2015",14.66%
"Dec. 31, 2014",14.69%
"Nov. 30, 2014",14.71%
"Oct. 31, 2014",14.73%
"Sept. 30, 2014",14.74%
"Aug. 31, 2014",14.75%
"July 31, 2014",14.77%
"June 30, 2014",14.78%
"May 31, 2014",14.78%
"April 30, 2014",14.78%
"March 31, 2014",14.80%
"Feb. 28, 2014",14.82%
"Jan. 31, 2014",14.84%
"Dec. 31, 2013",14.85%
"Nov. 30, 2013",14.86%
"Oct. 31, 2013",14.86%
"Sept. 30, 2013",14.87%
"Aug. 31, 2013",14.91%
"July 31, 2013",14.93%
"June 30, 2013",14.94%
"May 31, 2013",14.95%
"April 30, 2013",14.95%
"March 31, 2013",14.97%
"Feb. 28, 2013",15.00%
"Jan. 31, 2013",15.03%
"Dec. 31, 2012",15.04%
"Nov. 30, 2012",15.05%
"Oct. 31, 2012",15.06%
"Sept. 30, 2012",15.08%
"Aug. 31, 2012",15.10%
"July 31, 2012",15.11%
"June 30, 2012",15.12%
"May 31, 2012",15.15%
"April 30, 2012",15.19%
"March 31, 2012",15.23%
"Feb. 29, 2012",15.28%
"Jan. 31, 2012",15.30%
"Dec. 31, 2011",15.30%
"Nov. 30, 2011",15.30%
"Oct. 31, 2011",15.30%
"Sept. 30, 2011",15.30%
"Aug. 31, 2011",15.30%
"July 31, 2011",14.96%
"June 30, 2011",14.99%
"May 31, 2011",15.03%
"April 30, 2011",15.04%
"March 31, 2011",15.05%
"Feb. 28, 2011",15.06%
"Jan. 31, 2011",15.07%
"Dec. 31, 2010",15.10%
"Nov. 30, 2010",15.11%
"Oct. 31, 2010",15.12%
"Sept. 30, 2010",15.14%
"Aug. 31, 2010",15.18%
"July 31, 2010",15.22%
"June 30, 2010",15.28%
"May 31, 2010",15.30%
"April 30, 2010",15.30%
"March 31, 2010",15.30%
"Feb. 28, 2010",15.30%
"Jan. 31, 2010",15.30%
"Dec. 31, 2009",15.30%
"Nov. 30, 2009",15.30%
"Oct. 31, 2009",15.31%
"Sept. 30, 2009",15.31%
"Aug. 31, 2009",15.32%
"July 31, 2009",15.32%
"June 30, 2009",15.32%
"May 31, 2009",15.32%
"April 30, 2009",15.33%
"March 31, 2009",15.35%
"Feb. 28, 2009",15.30%
"Jan. 31, 2009",14.97%
"Dec. 31, 2008",14.97%
"Nov. 30, 2008",14.79%
"Oct. 31, 2008",14.59%
"Sept. 30, 2008",14.39%
"Aug. 31, 2008",14.40%
"July 31, 2008",14.43%
"June 30, 2008",14.43%
"May 31, 2008",14.44%
"April 30, 2008",14.44%
"March 31, 2008",14.45%
"Feb. 29, 2008",14.48%
"Jan. 31, 2008",14.48%
"Dec. 31, 2007",14.43%
"Nov. 30, 2007",14.43%
"Oct. 31, 2007",14.44%
"Sept. 30, 2007",14.45%
"Aug. 31, 2007",14.47%
"July 31, 2007",14.48%
"June 30, 2007",14.48%
"May 31, 2007",14.51%
"April 30, 2007",14.54%
"March 31, 2007",14.55%
"Feb. 28, 2007",14.56%
"Jan. 31, 2007",14.58%
"Dec. 31, 2006",14.58%
"Nov. 30, 2006",14.59%
"Oct. 31, 2006",14.59%
"Sept. 30, 2006",14.60%
"Aug. 31, 2006",14.61%
"July 31, 2006",14.61%
"June 30, 2006",14.69%
"May 31, 2006",14.71%
"April 30, 2006",14.73%
"March 31, 2006",14.75%
"Feb. 28, 2006",14.76%
"Jan. 31, 2006",14.78%
"Dec. 31, 2005",14.78%
"Nov. 30, 2005",14.79%
"Oct. 31, 2005",14.82%
"Sept. 30, 2005",14.84%
"Aug. 31, 2005",14.85%
"July 31, 2005",14.86%
"June 30, 2005",14.86%
"May 31, 2005",14.86%
"April 30, 2005",14.90%
"March 31, 2005",14.92%
"Feb. 28, 2005",14.94%
"Jan. 31, 2005",14.95%
"Dec. 31, 2004",14.95%
"Nov. 30, 2004",14.99%
"Oct. 31, 2004",15.02%
"Sept. 30, 2004",15.03%
"Aug. 31, 2004",15.05%
"July 31, 2004",15.06%
"June 30, 2004",15.05%
"May 31, 2004",15.07%
"April 30, 2004",15.10%
"March 31, 2004",15.11%
"Feb. 29, 2004",15.14%
"Jan. 31, 2004",15.17%
"Dec. 31, 2003",15.21%
"Nov. 30, 2003",15.06%
"Oct. 31, 2003",15.09%
"Sept. 30, 2003",15.11%
"Aug. 31, 2003",15.12%
"July 31, 2003",15.15%
"June 30, 2003",15.21%
"May 31, 2003",15.29%
"April 30, 2003",15.30%
"March 31, 2003",15.30%
"Feb. 28, 2003",15.30%
"Jan. 31, 2003",15.30%
"Dec. 31, 2002",15.30%
"Nov. 30, 2002",15.30%
"Oct. 31, 2002",15.30%
"Sept. 30, 2002",15.30%
"Aug. 31, 2002",15.30%
"July 31, 2002",15.30%
"June 30, 2002",15.04%
"May 31, 2002",15.05%
"April 30, 2002",15.08%
"March 31, 2002",15.10%
"Feb. 28, 2002",15.11%
