date,net_income_cs_rev
"Dec. 31, 2019",8.95%
"Sept. 30, 2019",11.69%
"June 30, 2019",12.54%
"March 31, 2019",7.52%
"Dec. 31, 2018",11.47%
"Sept. 30, 2018",11.03%
"June 30, 2018",12.77%
"March 31, 2018",9.36%
"Dec. 31, 2017",33.23%
"Sept. 30, 2017",9.96%
"June 30, 2017",12.96%
"March 31, 2017",6.98%
"Dec. 31, 2016",9.33%
"Sept. 30, 2016",7.55%
"June 30, 2016",15.23%
"March 31, 2016",10.63%
"Dec. 31, 2015",10.77%
"Sept. 30, 2015",10.98%
"June 30, 2015",11.90%
"March 31, 2015",10.26%
"Dec. 31, 2014",4.11%
"Sept. 30, 2014",6.85%
"June 30, 2014",9.28%
"March 31, 2014",3.65%
"Dec. 31, 2013",4.79%
"Sept. 30, 2013",5.70%
"June 30, 2013",4.82%
"March 31, 2013",1.44%
"Dec. 31, 2012",1.87%
"Sept. 30, 2012",0.37%
"June 30, 2012",4.94%
"March 31, 2012",2.46%
"Dec. 31, 2011",3.70%
"Sept. 30, 2011",-3.25%
"June 30, 2011",3.89%
"March 31, 2011",0.16%
"Dec. 31, 2010",4.21%
"Sept. 30, 2010",6.42%
"June 30, 2010",3.54%
"March 31, 2010",0.42%
"Dec. 31, 2009",4.24%
"Sept. 30, 2009",-0.60%
"June 30, 2009",3.48%
"March 31, 2009",-3.86%
"Dec. 31, 2008",-2.05%
"Sept. 30, 2008",-4.15%
"June 30, 2008",11.19%
"March 31, 2008",1.34%
"Dec. 31, 2007",4.49%
"Sept. 30, 2007",6.26%
"June 30, 2007",10.76%
"March 31, 2007",4.23%
"Dec. 31, 2006",2.50%
"Sept. 30, 2006",2.05%
"June 30, 2006",13.60%
"March 31, 2006",3.02%
"Dec. 31, 2005",3.52%
"Sept. 30, 2005",10.56%
"June 30, 2005",7.41%
"March 31, 2005",3.55%
"Dec. 31, 2004",3.32%
"Sept. 30, 2004",7.11%
"June 30, 2004",6.59%
"March 31, 2004",1.75%
"Dec. 31, 2003",-0.26%
"Sept. 30, 2003",6.83%
"June 30, 2003",16.24%
"March 31, 2003",1.78%
"Dec. 31, 2002",3.00%
"Sept. 30, 2002",5.39%
"June 30, 2002",6.92%
"March 31, 2002",1.67%
"Dec. 31, 2001",5.13%
"Sept. 30, 2001",11.31%
"June 30, 2001",11.30%
"March 31, 2001",8.47%
"Dec. 31, 2000",12.10%
"Sept. 30, 2000",12.46%
"June 30, 2000",13.05%
"March 31, 2000",5.92%
"Dec. 31, 1999",7.84%
"Sept. 30, 1999",10.28%
"June 30, 1999",12.93%
"March 31, 1999",8.91%
"Dec. 31, 1998",9.59%
"Sept. 30, 1998",11.84%
"June 30, 1998",12.37%
"March 31, 1998",7.43%
"Dec. 31, 1997",8.26%
"Sept. 30, 1997",9.28%
"June 30, 1997",9.80%
"March 31, 1997",5.74%
"Dec. 31, 1996",3.38%
"Sept. 30, 1996",6.83%
"June 30, 1996",9.37%
"March 31, 1996",4.27%
"Dec. 31, 1995",5.78%
"Sept. 30, 1995",8.85%
"June 30, 1995",8.09%
"March 31, 1995",1.90%
"Dec. 31, 1994",3.24%
"Sept. 30, 1994",8.55%
"June 30, 1994",8.85%
"March 31, 1994",6.75%
"Dec. 31, 1993",5.96%
"Sept. 30, 1993",7.92%
"June 30, 1993",8.05%
"March 31, 1993",8.37%
"Dec. 31, 1992",6.06%
"Sept. 30, 1992",6.01%
"June 30, 1992",5.64%
"March 31, 1992",6.95%
"Dec. 31, 1991",2.51%
"Sept. 30, 1991",4.42%
"June 30, 1991",3.26%
"March 31, 1991",-2.90%
"Dec. 31, 1990",-1.53%
"Sept. 30, 1990",7.27%
"June 30, 1990",7.62%
"March 31, 1990",1.96%
"Dec. 31, 1989",3.21%
"Sept. 30, 1989",9.23%
"June 30, 1989",7.28%
"March 31, 1989",8.54%
"Dec. 31, 1988",7.13%
"Sept. 30, 1988",11.13%
"June 30, 1988",6.96%
"March 31, 1988",0.11%
"Dec. 31, 1987",4.98%
"Sept. 30, 1987",10.16%
"June 30, 1987",0.29%
"March 31, 1987",-5.49%
"Dec. 31, 1986",4.97%
"Sept. 30, 1986",10.21%
"June 30, 1986",8.82%
"March 31, 1986",1.56%
"Dec. 31, 1985",3.36%
"Sept. 30, 1985",8.42%
"June 30, 1985",11.31%
"March 31, 1985",3.91%
"Dec. 31, 1984",8.54%
"Sept. 30, 1984",10.16%
"June 30, 1984",10.10%
"March 31, 1984",8.15%
