date,return_on_assets
"Dec. 31, 2019",8.75%
"Sept. 30, 2019",9.22%
"June 30, 2019",9.05%
"March 31, 2019",9.08%
"Dec. 31, 2018",9.47%
"Sept. 30, 2018",13.88%
"June 30, 2018",13.86%
"March 31, 2018",14.20%
"Dec. 31, 2017",13.95%
"Sept. 30, 2017",8.76%
"June 30, 2017",8.29%
"March 31, 2017",8.75%
"Dec. 31, 2016",9.71%
"Sept. 30, 2016",10.24%
"June 30, 2016",11.33%
"March 31, 2016",10.48%
"Dec. 31, 2015",10.44%
"Sept. 30, 2015",8.85%
"June 30, 2015",7.64%
"March 31, 2015",7.02%
"Dec. 31, 2014",5.65%
"Sept. 30, 2014",5.78%
"June 30, 2014",5.50%
"March 31, 2014",4.35%
"Dec. 31, 2013",3.93%
"Sept. 30, 2013",3.25%
"June 30, 2013",1.99%
"March 31, 2013",2.03%
"Dec. 31, 2012",2.26%
"Sept. 30, 2012",2.68%
"June 30, 2012",1.83%
"March 31, 2012",1.50%
"Dec. 31, 2011",1.03%
"Sept. 30, 2011",0.94%
"June 30, 2011",3.10%
"March 31, 2011",2.96%
"Dec. 31, 2010",3.08%
"Sept. 30, 2010",3.03%
"June 30, 2010",1.54%
"March 31, 2010",1.41%
"Dec. 31, 2009",0.70%
"Sept. 30, 2009",-0.48%
"June 30, 2009",-1.05%
"March 31, 2009",0.31%
"Dec. 31, 2008",0.99%
"Sept. 30, 2008",1.91%
"June 30, 2008",3.60%
"March 31, 2008",3.74%
"Dec. 31, 2007",4.37%
"Sept. 30, 2007",4.15%
"June 30, 2007",3.31%
"March 31, 2007",3.70%
"Dec. 31, 2006",3.48%
"Sept. 30, 2006",3.51%
"June 30, 2006",4.64%
"March 31, 2006",3.44%
"Dec. 31, 2005",3.60%
"Sept. 30, 2005",3.61%
"June 30, 2005",3.09%
"March 31, 2005",3.01%
"Dec. 31, 2004",2.91%
"Sept. 30, 2004",2.43%
"June 30, 2004",2.40%
"March 31, 2004",3.86%
"Dec. 31, 2003",3.95%
"Sept. 30, 2003",4.51%
"June 30, 2003",4.23%
"March 31, 2003",2.70%
"Dec. 31, 2002",2.67%
"Sept. 30, 2002",2.97%
"June 30, 2002",3.97%
"March 31, 2002",5.08%
"Dec. 31, 2001",6.69%
"Sept. 30, 2001",8.77%
"June 30, 2001",9.71%
"March 31, 2001",10.40%
"Dec. 31, 2000",10.11%
"Sept. 30, 2000",9.16%
"June 30, 2000",8.53%
"March 31, 2000",8.33%
"Dec. 31, 1999",9.16%
"Sept. 30, 1999",9.67%
"June 30, 1999",10.02%
"March 31, 1999",9.91%
"Dec. 31, 1998",9.65%
"Sept. 30, 1998",9.45%
"June 30, 1998",8.82%
"March 31, 1998",8.17%
"Dec. 31, 1997",7.94%
"Sept. 30, 1997",6.85%
"June 30, 1997",6.21%
"March 31, 1997",6.21%
"Dec. 31, 1996",5.91%
"Sept. 30, 1996",6.52%
"June 30, 1996",6.89%
"March 31, 1996",6.34%
"Dec. 31, 1995",5.88%
"Sept. 30, 1995",5.28%
"June 30, 1995",5.16%
"March 31, 1995",5.33%
"Dec. 31, 1994",6.60%
"Sept. 30, 1994",7.79%
"June 30, 1994",7.51%
"March 31, 1994",7.10%
"Dec. 31, 1993",7.14%
"Sept. 30, 1993",6.55%
"June 30, 1993",5.96%
"March 31, 1993",5.29%
"Dec. 31, 1992",4.93%
"Sept. 30, 1992",4.29%
"June 30, 1992",3.98%
"March 31, 1992",3.49%
"Dec. 31, 1991",1.64%
"Sept. 30, 1991",0.86%
"June 30, 1991",1.38%
"March 31, 1991",2.28%
"Dec. 31, 1990",3.25%
"Sept. 30, 1990",4.16%
"June 30, 1990",4.34%
"March 31, 1990",4.10%
"Dec. 31, 1989",5.23%
"Sept. 30, 1989",5.85%
"June 30, 1989",6.09%
