date,total_employee_number
"Dec. 31, 2019",60800
"Sept. 30, 2019",60590
"June 30, 2019",59793
"March 31, 2019",59436
"Dec. 31, 2018",58800
"Sept. 30, 2018",58559
"June 30, 2018",57674
"March 31, 2018",57112
"Dec. 31, 2017",56100
"Sept. 30, 2017",55671
"June 30, 2017",55347
"March 31, 2017",54652
"Dec. 31, 2016",53500
"Sept. 30, 2016",53072
"June 30, 2016",52301
"March 31, 2016",50911
"Dec. 31, 2015",49600
"Sept. 30, 2015",48642
"June 30, 2015",47645
"March 31, 2015",47005
"Dec. 31, 2014",46278
"Sept. 30, 2014",45750
"June 30, 2014",45508
"March 31, 2014",45163
"Dec. 31, 2013",44831
"Sept. 30, 2013",45148
"June 30, 2013",45216
"March 31, 2013",45791
"Dec. 31, 2012",45861
"Sept. 30, 2012",46048
"June 30, 2012",46128
"March 31, 2012",46227
"Dec. 31, 2011",45392
"Dec. 31, 2010",34901
"Dec. 31, 2009",34726
"Sept. 30, 2009",35351
"Dec. 31, 2008",35499
"Dec. 31, 2007",34378
"Dec. 31, 2006",32664
"Dec. 31, 2005",31729
"Dec. 31, 2004",31011
"Dec. 31, 2003",32847
"Dec. 31, 2002",33705
"Dec. 31, 2001",31580
"Dec. 31, 2000",29274
"Dec. 31, 1999",27653
"Dec. 31, 1998",25844
"Dec. 31, 1997",23974
"Dec. 31, 1996",22944
"Dec. 31, 1995",19933
"Dec. 31, 1994",15175
"Dec. 31, 1993",15175
"Dec. 31, 1992",12000
"Dec. 31, 1991",9778
"Dec. 31, 1990",8620
"Dec. 31, 1989",8519
