date,market_cap
"March 19, 2020",15.96B
"March 18, 2020",18.18B
"March 17, 2020",19.79B
"March 16, 2020",19.41B
"March 13, 2020",21.35B
"March 12, 2020",18.66B
"March 11, 2020",21.98B
"March 10, 2020",23.57B
"March 9, 2020",22.56B
"March 6, 2020",23.66B
"March 5, 2020",23.41B
"March 4, 2020",24.28B
"March 3, 2020",23.39B
"March 2, 2020",24.29B
"Feb. 28, 2020",23.89B
"Feb. 27, 2020",24.12B
"Feb. 26, 2020",25.30B
"Feb. 25, 2020",25.69B
"Feb. 24, 2020",27.99B
"Feb. 21, 2020",29.24B
"Feb. 20, 2020",29.45B
"Feb. 19, 2020",29.54B
"Feb. 18, 2020",29.80B
"Feb. 14, 2020",29.99B
"Feb. 13, 2020",30.28B
"Feb. 12, 2020",30.25B
"Feb. 11, 2020",29.97B
"Feb. 10, 2020",29.70B
"Feb. 7, 2020",29.62B
"Feb. 6, 2020",29.86B
"Feb. 5, 2020",29.46B
"Feb. 4, 2020",28.80B
"Feb. 3, 2020",28.57B
"Jan. 31, 2020",28.44B
"Jan. 30, 2020",28.88B
"Jan. 29, 2020",29.53B
"Jan. 28, 2020",29.90B
"Jan. 27, 2020",29.20B
"Jan. 24, 2020",29.35B
"Jan. 23, 2020",28.76B
"Jan. 22, 2020",27.76B
"Jan. 21, 2020",27.79B
"Jan. 17, 2020",28.55B
"Jan. 16, 2020",28.70B
"Jan. 15, 2020",28.56B
"Jan. 14, 2020",28.28B
"Jan. 13, 2020",28.02B
"Jan. 10, 2020",28.00B
"Jan. 9, 2020",28.19B
"Jan. 8, 2020",28.22B
"Jan. 7, 2020",28.18B
"Jan. 6, 2020",28.10B
"Jan. 3, 2020",28.21B
"Jan. 2, 2020",28.47B
"Dec. 31, 2019",28.02B
"Dec. 30, 2019",28.07B
"Dec. 27, 2019",28.19B
"Dec. 26, 2019",28.49B
"Dec. 24, 2019",28.51B
"Dec. 23, 2019",28.67B
"Dec. 20, 2019",28.35B
"Dec. 19, 2019",28.07B
"Dec. 18, 2019",27.82B
"Dec. 17, 2019",28.12B
"Dec. 16, 2019",28.60B
"Dec. 13, 2019",28.50B
"Dec. 12, 2019",28.68B
"Dec. 11, 2019",28.42B
"Dec. 10, 2019",28.90B
"Dec. 9, 2019",29.19B
"Dec. 6, 2019",29.44B
"Dec. 5, 2019",29.22B
"Dec. 4, 2019",29.36B
"Dec. 3, 2019",29.43B
"Dec. 2, 2019",29.85B
"Nov. 29, 2019",30.33B
"Nov. 27, 2019",30.39B
"Nov. 26, 2019",30.31B
"Nov. 25, 2019",30.29B
"Nov. 22, 2019",30.00B
"Nov. 21, 2019",29.78B
"Nov. 20, 2019",29.91B
"Nov. 19, 2019",30.29B
"Nov. 18, 2019",30.41B
"Nov. 15, 2019",30.41B
"Nov. 14, 2019",30.33B
"Nov. 13, 2019",30.31B
"Nov. 12, 2019",30.45B
"Nov. 11, 2019",30.66B
"Nov. 8, 2019",30.62B
"Nov. 7, 2019",30.65B
"Nov. 6, 2019",30.45B
"Nov. 5, 2019",31.11B
"Nov. 4, 2019",30.63B
"Nov. 1, 2019",30.24B
"Oct. 31, 2019",30.17B
"Oct. 30, 2019",30.66B
"Oct. 29, 2019",30.75B
"Oct. 28, 2019",30.98B
"Oct. 25, 2019",30.50B
"Oct. 24, 2019",30.26B
"Oct. 23, 2019",28.62B
"Oct. 22, 2019",28.45B
"Oct. 21, 2019",28.61B
"Oct. 18, 2019",28.75B
"Oct. 17, 2019",28.95B
"Oct. 16, 2019",28.85B
"Oct. 15, 2019",29.11B
"Oct. 14, 2019",29.04B
"Oct. 11, 2019",28.98B
"Oct. 10, 2019",28.85B
"Oct. 9, 2019",28.75B
"Oct. 8, 2019",28.50B
"Oct. 7, 2019",28.51B
"Oct. 4, 2019",28.38B
"Oct. 3, 2019",28.09B
"Oct. 2, 2019",27.97B
"Oct. 1, 2019",28.69B
"Sept. 30, 2019",29.03B
"Sept. 27, 2019",29.21B
"Sept. 26, 2019",29.34B
"Sept. 25, 2019",29.47B
"Sept. 24, 2019",29.42B
"Sept. 23, 2019",29.28B
"Sept. 20, 2019",29.29B
"Sept. 19, 2019",29.61B
"Sept. 18, 2019",30.22B
"Sept. 17, 2019",29.96B
"Sept. 16, 2019",30.00B
"Sept. 13, 2019",29.99B
"Sept. 12, 2019",29.55B
"Sept. 11, 2019",29.41B
"Sept. 10, 2019",28.69B
"Sept. 9, 2019",28.53B
"Sept. 6, 2019",28.03B
"Sept. 5, 2019",28.23B
"Sept. 4, 2019",28.00B
"Sept. 3, 2019",27.62B
"Aug. 30, 2019",28.12B
"Aug. 29, 2019",28.11B
"Aug. 28, 2019",27.50B
"Aug. 27, 2019",27.14B
"Aug. 26, 2019",27.25B
"Aug. 23, 2019",27.18B
"Aug. 22, 2019",27.52B
"Aug. 21, 2019",27.19B
"Aug. 20, 2019",26.89B
"Aug. 19, 2019",27.22B
"Aug. 16, 2019",26.76B
"Aug. 15, 2019",25.91B
"Aug. 14, 2019",26.21B
"Aug. 13, 2019",26.83B
"Aug. 12, 2019",26.90B
"Aug. 9, 2019",27.12B
"Aug. 8, 2019",27.14B
"Aug. 7, 2019",26.84B
"Aug. 6, 2019",26.72B
"Aug. 5, 2019",26.32B
"Aug. 2, 2019",27.21B
"Aug. 1, 2019",27.39B
"July 31, 2019",27.70B
"July 30, 2019",28.25B
"July 29, 2019",28.42B
"July 26, 2019",28.62B
"July 25, 2019",29.82B
"July 24, 2019",29.72B
"July 23, 2019",29.39B
"July 22, 2019",28.61B
"July 19, 2019",28.25B
"July 18, 2019",28.48B
"July 17, 2019",28.40B
"July 16, 2019",28.93B
"July 15, 2019",28.38B
"July 12, 2019",28.52B
"July 11, 2019",28.15B
"July 10, 2019",28.16B
"July 9, 2019",28.07B
"July 8, 2019",28.28B
"July 5, 2019",28.17B
"July 3, 2019",28.18B
"July 2, 2019",27.93B
"July 1, 2019",27.99B
"June 28, 2019",27.58B
"June 27, 2019",27.56B
"June 26, 2019",27.53B
"June 25, 2019",27.70B
"June 24, 2019",27.82B
"June 21, 2019",27.83B
"June 20, 2019",27.98B
"June 19, 2019",27.97B
"June 18, 2019",28.08B
"June 17, 2019",27.79B
"June 14, 2019",28.14B
