date,net_income_annual_cs_rev
"Dec. 31, 2019",10.26%
"Dec. 31, 2018",11.22%
"Dec. 31, 2017",15.88%
"Dec. 31, 2016",10.76%
"Dec. 31, 2015",11.00%
"Dec. 31, 2014",6.11%
"Dec. 31, 2013",4.26%
"Dec. 31, 2012",2.46%
"Dec. 31, 2011",1.14%
"Dec. 31, 2010",3.79%
"Dec. 31, 2009",0.96%
"Dec. 31, 2008",1.61%
"Dec. 31, 2007",6.54%
"Dec. 31, 2006",5.49%
"Dec. 31, 2005",6.38%
"Dec. 31, 2004",4.79%
"Dec. 31, 2003",6.27%
"Dec. 31, 2002",4.36%
"Dec. 31, 2001",9.20%
"Dec. 31, 2000",11.08%
"Dec. 31, 1999",10.03%
"Dec. 31, 1998",10.41%
"Dec. 31, 1997",8.33%
"Dec. 31, 1996",6.09%
"Dec. 31, 1995",6.36%
"Dec. 31, 1994",6.92%
"Dec. 31, 1993",7.38%
"Dec. 31, 1992",6.14%
"Dec. 31, 1991",2.05%
"Dec. 31, 1990",3.97%
"Dec. 31, 1989",7.05%
"Dec. 31, 1988",6.74%
"Dec. 31, 1987",2.64%
"Dec. 31, 1986",6.61%
"Dec. 31, 1985",6.96%
"Dec. 31, 1984",9.27%
