date,max_drawdown_all
"Feb. 29, 2020",78.25%
"Jan. 31, 2020",78.25%
"Dec. 31, 2019",78.25%
"Nov. 30, 2019",78.25%
"Oct. 31, 2019",78.25%
"Sept. 30, 2019",78.25%
"Aug. 31, 2019",78.25%
"July 31, 2019",78.25%
"June 30, 2019",78.25%
"May 31, 2019",78.25%
"April 30, 2019",78.25%
"March 31, 2019",78.25%
"Feb. 28, 2019",78.25%
"Jan. 31, 2019",78.25%
"Dec. 31, 2018",78.25%
"Nov. 30, 2018",78.25%
"Oct. 31, 2018",78.25%
"Sept. 30, 2018",78.25%
"Aug. 31, 2018",78.25%
"July 31, 2018",78.25%
"June 30, 2018",78.25%
"May 31, 2018",78.25%
"April 30, 2018",78.25%
"March 31, 2018",78.25%
"Feb. 28, 2018",78.25%
"Jan. 31, 2018",78.25%
"Dec. 31, 2017",78.25%
"Nov. 30, 2017",78.25%
"Oct. 31, 2017",78.25%
"Sept. 30, 2017",78.25%
"Aug. 31, 2017",78.25%
"July 31, 2017",78.25%
"June 30, 2017",78.25%
"May 31, 2017",78.25%
"April 30, 2017",78.25%
"March 31, 2017",78.25%
"Feb. 28, 2017",78.25%
"Jan. 31, 2017",78.25%
"Dec. 31, 2016",78.25%
"Nov. 30, 2016",78.25%
"Oct. 31, 2016",78.25%
"Sept. 30, 2016",78.25%
"Aug. 31, 2016",78.25%
"July 31, 2016",78.25%
"June 30, 2016",78.25%
"May 31, 2016",78.25%
"April 30, 2016",78.25%
"March 31, 2016",78.25%
"Feb. 29, 2016",78.25%
"Jan. 31, 2016",78.25%
"Dec. 31, 2015",78.25%
"Nov. 30, 2015",78.25%
"Oct. 31, 2015",78.25%
"Sept. 30, 2015",78.25%
"Aug. 31, 2015",78.25%
"July 31, 2015",78.25%
"June 30, 2015",78.25%
"May 31, 2015",78.25%
"April 30, 2015",78.25%
"March 31, 2015",78.25%
"Feb. 28, 2015",78.25%
"Jan. 31, 2015",78.25%
"Dec. 31, 2014",78.25%
"Nov. 30, 2014",78.25%
"Oct. 31, 2014",78.25%
"Sept. 30, 2014",78.25%
"Aug. 31, 2014",78.25%
"July 31, 2014",78.25%
"June 30, 2014",78.25%
"May 31, 2014",78.25%
"April 30, 2014",78.25%
"March 31, 2014",78.25%
"Feb. 28, 2014",78.25%
"Jan. 31, 2014",78.25%
"Dec. 31, 2013",78.25%
"Nov. 30, 2013",78.25%
"Oct. 31, 2013",78.25%
"Sept. 30, 2013",78.25%
"Aug. 31, 2013",78.25%
"July 31, 2013",78.25%
"June 30, 2013",78.25%
"May 31, 2013",78.25%
"April 30, 2013",78.25%
"March 31, 2013",78.25%
"Feb. 28, 2013",78.25%
"Jan. 31, 2013",78.25%
"Dec. 31, 2012",78.25%
"Nov. 30, 2012",78.25%
"Oct. 31, 2012",78.25%
"Sept. 30, 2012",78.25%
"Aug. 31, 2012",78.25%
"July 31, 2012",78.25%
"June 30, 2012",78.25%
"May 31, 2012",78.25%
"April 30, 2012",78.25%
"March 31, 2012",78.25%
"Feb. 29, 2012",78.25%
"Jan. 31, 2012",78.25%
"Dec. 31, 2011",78.25%
"Nov. 30, 2011",78.25%
"Oct. 31, 2011",78.25%
"Sept. 30, 2011",78.25%
"Aug. 31, 2011",78.25%
"July 31, 2011",78.25%
"June 30, 2011",78.25%
"May 31, 2011",78.25%
"April 30, 2011",78.25%
"March 31, 2011",78.25%
"Feb. 28, 2011",78.25%
"Jan. 31, 2011",78.25%
"Dec. 31, 2010",78.25%
"Nov. 30, 2010",78.25%
"Oct. 31, 2010",78.25%
"Sept. 30, 2010",78.25%
"Aug. 31, 2010",78.25%
"July 31, 2010",78.25%
"June 30, 2010",78.25%
"May 31, 2010",78.25%
"April 30, 2010",78.25%
"March 31, 2010",78.25%
"Feb. 28, 2010",78.25%
"Jan. 31, 2010",78.25%
"Dec. 31, 2009",78.25%
"Nov. 30, 2009",78.25%
"Oct. 31, 2009",78.25%
"Sept. 30, 2009",78.25%
"Aug. 31, 2009",78.25%
"July 31, 2009",78.25%
"June 30, 2009",78.25%
"May 31, 2009",78.25%
"April 30, 2009",78.25%
"March 31, 2009",78.25%
"Feb. 28, 2009",74.43%
"Jan. 31, 2009",74.39%
"Dec. 31, 2008",74.39%
"Nov. 30, 2008",74.39%
"Oct. 31, 2008",74.39%
"Sept. 30, 2008",74.39%
"Aug. 31, 2008",74.39%
"July 31, 2008",74.39%
"June 30, 2008",74.39%
"May 31, 2008",74.39%
"April 30, 2008",74.39%
"March 31, 2008",74.39%
"Feb. 29, 2008",74.39%
"Jan. 31, 2008",74.39%
"Dec. 31, 2007",74.39%
"Nov. 30, 2007",74.39%
"Oct. 31, 2007",74.39%
"Sept. 30, 2007",74.39%
"Aug. 31, 2007",74.39%
"July 31, 2007",74.39%
"June 30, 2007",74.39%
"May 31, 2007",74.39%
"April 30, 2007",74.39%
"March 31, 2007",74.39%
"Feb. 28, 2007",74.39%
"Jan. 31, 2007",74.39%
"Dec. 31, 2006",74.39%
"Nov. 30, 2006",74.39%
"Oct. 31, 2006",74.39%
"Sept. 30, 2006",74.39%
"Aug. 31, 2006",74.39%
"July 31, 2006",74.39%
"June 30, 2006",74.39%
"May 31, 2006",74.39%
"April 30, 2006",74.39%
"March 31, 2006",74.39%
"Feb. 28, 2006",74.39%
"Jan. 31, 2006",74.39%
"Dec. 31, 2005",74.39%
"Nov. 30, 2005",74.39%
"Oct. 31, 2005",74.39%
"Sept. 30, 2005",74.39%
"Aug. 31, 2005",74.39%
"July 31, 2005",74.39%
"June 30, 2005",74.39%
"May 31, 2005",74.39%
"April 30, 2005",74.39%
"March 31, 2005",74.39%
"Feb. 28, 2005",74.39%
"Jan. 31, 2005",74.39%
"Dec. 31, 2004",74.39%
"Nov. 30, 2004",74.39%
"Oct. 31, 2004",74.39%
"Sept. 30, 2004",74.39%
"Aug. 31, 2004",74.39%
"July 31, 2004",74.39%
"June 30, 2004",74.39%
"May 31, 2004",74.39%
"April 30, 2004",74.39%
"March 31, 2004",74.39%
"Feb. 29, 2004",74.39%
"Jan. 31, 2004",74.39%
"Dec. 31, 2003",74.39%
"Nov. 30, 2003",74.39%
"Oct. 31, 2003",74.39%
"Sept. 30, 2003",74.39%
"Aug. 31, 2003",74.39%
"July 31, 2003",74.39%
"June 30, 2003",74.39%
"May 31, 2003",74.39%
"April 30, 2003",74.39%
"March 31, 2003",74.39%
"Feb. 28, 2003",74.39%
"Jan. 31, 2003",74.39%
"Dec. 31, 2002",74.39%
"Nov. 30, 2002",74.39%
"Oct. 31, 2002",74.39%
"Sept. 30, 2002",74.39%
"Aug. 31, 2002",74.39%
"July 31, 2002",74.39%
"June 30, 2002",74.39%
"May 31, 2002",74.39%
"April 30, 2002",74.39%
"March 31, 2002",74.39%
"Feb. 28, 2002",74.39%
"Jan. 31, 2002",74.39%
"Dec. 31, 2001",74.39%
"Nov. 30, 2001",74.39%
"Oct. 31, 2001",74.39%
"Sept. 30, 2001",74.39%
"Aug. 31, 2001",74.39%
"July 31, 2001",74.39%
"June 30, 2001",74.39%
"May 31, 2001",74.39%
"April 30, 2001",74.39%
"March 31, 2001",74.39%
"Feb. 28, 2001",74.39%
"Jan. 31, 2001",74.39%
"Dec. 31, 2000",74.39%
"Nov. 30, 2000",74.39%
"Oct. 31, 2000",74.39%
"Sept. 30, 2000",74.39%
"Aug. 31, 2000",74.39%
"July 31, 2000",74.39%
"June 30, 2000",74.39%
"May 31, 2000",74.39%
"April 30, 2000",74.39%
"March 31, 2000",74.39%
"Feb. 29, 2000",74.39%
"Jan. 31, 2000",74.39%
"Dec. 31, 1999",74.39%
"Nov. 30, 1999",74.39%
"Oct. 31, 1999",74.39%
"Sept. 30, 1999",74.39%
"Aug. 31, 1999",74.39%
"July 31, 1999",74.39%
"June 30, 1999",74.39%
"May 31, 1999",74.39%
"April 30, 1999",74.39%
"March 31, 1999",74.39%
"Feb. 28, 1999",74.39%
"Jan. 31, 1999",74.39%
"Dec. 31, 1998",74.39%
"Nov. 30, 1998",74.39%
"Oct. 31, 1998",74.39%
"Sept. 30, 1998",74.39%
"Aug. 31, 1998",74.39%
"July 31, 1998",74.39%
"June 30, 1998",74.39%
"May 31, 1998",74.39%
"April 30, 1998",74.39%
"March 31, 1998",74.39%
"Feb. 28, 1998",74.39%
"Jan. 31, 1998",74.39%
"Dec. 31, 1997",74.39%
"Nov. 30, 1997",74.39%
"Oct. 31, 1997",74.39%
"Sept. 30, 1997",74.39%
"Aug. 31, 1997",74.39%
"July 31, 1997",74.39%
"June 30, 1997",74.39%
"May 31, 1997",74.39%
"April 30, 1997",74.39%
"March 31, 1997",74.39%
"Feb. 28, 1997",74.39%
"Jan. 31, 1997",74.39%
"Dec. 31, 1996",74.39%
"Nov. 30, 1996",74.39%
"Oct. 31, 1996",74.39%
"Sept. 30, 1996",74.39%
"Aug. 31, 1996",74.39%
"July 31, 1996",74.39%
"June 30, 1996",74.39%
"May 31, 1996",74.39%
"April 30, 1996",74.39%
"March 31, 1996",74.39%
"Feb. 29, 1996",74.39%
"Jan. 31, 1996",74.39%
"Dec. 31, 1995",74.39%
"Nov. 30, 1995",74.39%
"Oct. 31, 1995",74.39%
"Sept. 30, 1995",74.39%
"Aug. 31, 1995",74.39%
"July 31, 1995",74.39%
"June 30, 1995",74.39%
"May 31, 1995",74.39%
"April 30, 1995",74.39%
"March 31, 1995",74.39%
"Feb. 28, 1995",74.39%
"Jan. 31, 1995",74.39%
"Dec. 31, 1994",74.39%
"Nov. 30, 1994",74.39%
"Oct. 31, 1994",74.39%
"Sept. 30, 1994",74.39%
"Aug. 31, 1994",74.39%
"July 31, 1994",74.39%
"June 30, 1994",74.39%
"May 31, 1994",74.39%
"April 30, 1994",74.39%
"March 31, 1994",74.39%
"Feb. 28, 1994",74.39%
"Jan. 31, 1994",74.39%
"Dec. 31, 1993",74.39%
"Nov. 30, 1993",74.39%
"Oct. 31, 1993",74.39%
"Sept. 30, 1993",74.39%
"Aug. 31, 1993",74.39%
"July 31, 1993",74.39%
"June 30, 1993",74.39%
"May 31, 1993",74.39%
"April 30, 1993",74.39%
"March 31, 1993",74.39%
"Feb. 28, 1993",74.39%
"Jan. 31, 1993",74.39%
"Dec. 31, 1992",74.39%
"Nov. 30, 1992",74.39%
"Oct. 31, 1992",74.39%
"Sept. 30, 1992",74.39%
"Aug. 31, 1992",74.39%
"July 31, 1992",74.39%
"June 30, 1992",74.39%
"May 31, 1992",74.39%
"April 30, 1992",74.39%
"March 31, 1992",74.39%
"Feb. 29, 1992",74.39%
"Jan. 31, 1992",74.39%
"Dec. 31, 1991",74.39%
"Nov. 30, 1991",74.39%
"Oct. 31, 1991",74.39%
"Sept. 30, 1991",74.39%
"Aug. 31, 1991",74.39%
"July 31, 1991",74.39%
"June 30, 1991",74.39%
"May 31, 1991",74.39%
"April 30, 1991",74.39%
"March 31, 1991",74.39%
"Feb. 28, 1991",74.39%
"Jan. 31, 1991",74.39%
"Dec. 31, 1990",74.39%
"Nov. 30, 1990",74.39%
"Oct. 31, 1990",74.39%
"Sept. 30, 1990",74.39%
"Aug. 31, 1990",74.39%
"July 31, 1990",74.39%
"June 30, 1990",74.39%
"May 31, 1990",74.39%
"April 30, 1990",74.39%
"March 31, 1990",74.39%
"Feb. 28, 1990",74.39%
"Jan. 31, 1990",74.39%
"Dec. 31, 1989",74.39%
"Nov. 30, 1989",74.39%
"Oct. 31, 1989",74.39%
"Sept. 30, 1989",74.39%
"Aug. 31, 1989",74.39%
"July 31, 1989",74.39%
"June 30, 1989",74.39%
"May 31, 1989",74.39%
"April 30, 1989",74.39%
"March 31, 1989",74.39%
"Feb. 28, 1989",74.39%
"Jan. 31, 1989",74.39%
"Dec. 31, 1988",74.39%
"Nov. 30, 1988",74.39%
"Oct. 31, 1988",74.39%
"Sept. 30, 1988",74.39%
"Aug. 31, 1988",74.39%
"July 31, 1988",74.39%
"June 30, 1988",74.39%
"May 31, 1988",74.39%
"April 30, 1988",74.39%
"March 31, 1988",74.39%
"Feb. 29, 1988",74.39%
"Jan. 31, 1988",74.39%
"Dec. 31, 1987",74.39%
"Nov. 30, 1987",74.39%
"Oct. 31, 1987",74.39%
"Sept. 30, 1987",74.39%
"Aug. 31, 1987",74.39%
"July 31, 1987",74.39%
"June 30, 1987",74.39%
"May 31, 1987",74.39%
"April 30, 1987",74.39%
"March 31, 1987",74.39%
"Feb. 28, 1987",74.39%
"Jan. 31, 1987",74.39%
"Dec. 31, 1986",74.39%
"Nov. 30, 1986",74.39%
"Oct. 31, 1986",74.39%
"Sept. 30, 1986",74.39%
"Aug. 31, 1986",74.39%
"July 31, 1986",74.39%
"June 30, 1986",74.39%
"May 31, 1986",74.39%
"April 30, 1986",74.39%
"March 31, 1986",74.39%
"Feb. 28, 1986",74.39%
"Jan. 31, 1986",74.39%
"Dec. 31, 1985",74.39%
"Nov. 30, 1985",74.39%
"Oct. 31, 1985",74.39%
"Sept. 30, 1985",74.39%
"Aug. 31, 1985",74.39%
"July 31, 1985",74.39%
"June 30, 1985",74.39%
"May 31, 1985",74.39%
"April 30, 1985",74.39%
"March 31, 1985",74.39%
"Feb. 28, 1985",74.39%
"Jan. 31, 1985",74.39%
"Dec. 31, 1984",74.39%
"Nov. 30, 1984",74.39%
"Oct. 31, 1984",74.39%
"Sept. 30, 1984",74.39%
"Aug. 31, 1984",74.39%
"July 31, 1984",74.39%
"June 30, 1984",74.39%
"May 31, 1984",74.39%
"April 30, 1984",74.39%
"March 31, 1984",74.39%
"Feb. 29, 1984",74.39%
"Jan. 31, 1984",74.39%
"Dec. 31, 1983",74.39%
"Nov. 30, 1983",74.39%
"Oct. 31, 1983",74.39%
"Sept. 30, 1983",74.39%
"Aug. 31, 1983",74.39%
"July 31, 1983",74.39%
"June 30, 1983",74.39%
"May 31, 1983",74.39%
"April 30, 1983",74.39%
"March 31, 1983",74.39%
"Feb. 28, 1983",74.39%
"Jan. 31, 1983",74.39%
"Dec. 31, 1982",74.39%
"Nov. 30, 1982",74.39%
"Oct. 31, 1982",74.39%
"Sept. 30, 1982",74.39%
"Aug. 31, 1982",74.39%
"July 31, 1982",74.39%
"June 30, 1982",74.39%
"May 31, 1982",74.39%
"April 30, 1982",74.39%
"March 31, 1982",74.39%
"Feb. 28, 1982",74.39%
"Jan. 31, 1982",74.39%
"Dec. 31, 1981",74.39%
"Nov. 30, 1981",74.39%
"Oct. 31, 1981",74.39%
"Sept. 30, 1981",74.39%
"Aug. 31, 1981",74.39%
"July 31, 1981",74.39%
"June 30, 1981",74.39%
"May 31, 1981",74.39%
"April 30, 1981",74.39%
"March 31, 1981",74.39%
"Feb. 28, 1981",74.39%
"Jan. 31, 1981",74.39%
"Dec. 31, 1980",74.39%
"Nov. 30, 1980",74.39%
"Oct. 31, 1980",74.39%
