date,liabilities
"Dec. 31, 2019",16.06B
"Sept. 30, 2019",16.54B
"June 30, 2019",16.43B
"March 31, 2019",16.67B
"Dec. 31, 2018",16.39B
"Sept. 30, 2018",16.73B
"June 30, 2018",16.47B
"March 31, 2018",15.88B
"Dec. 31, 2017",15.47B
"Sept. 30, 2017",15.45B
"June 30, 2017",15.39B
"March 31, 2017",15.56B
"Dec. 31, 2016",14.84B
"Sept. 30, 2016",15.00B
"June 30, 2016",14.63B
"March 31, 2016",14.74B
"Dec. 31, 2015",13.95B
"Sept. 30, 2015",14.19B
"June 30, 2015",13.92B
"March 31, 2015",14.26B
"Dec. 31, 2014",12.95B
"Sept. 30, 2014",13.11B
"June 30, 2014",13.38B
"March 31, 2014",12.79B
"Dec. 31, 2013",12.01B
"Sept. 30, 2013",12.35B
"June 30, 2013",12.60B
"March 31, 2013",12.24B
"Dec. 31, 2012",11.60B
"Sept. 30, 2012",11.81B
"June 30, 2012",11.68B
"March 31, 2012",11.73B
"Dec. 31, 2011",11.19B
"Sept. 30, 2011",11.40B
"June 30, 2011",11.74B
"March 31, 2011",9.827B
"Dec. 31, 2010",9.226B
"Sept. 30, 2010",9.193B
"June 30, 2010",9.439B
"March 31, 2010",8.993B
"Dec. 31, 2009",8.803B
"Sept. 30, 2009",8.883B
"June 30, 2009",8.881B
"March 31, 2009",9.251B
"Dec. 31, 2008",9.115B
"Sept. 30, 2008",11.11B
"June 30, 2008",14.53B
"March 31, 2008",10.85B
"Dec. 31, 2007",9.831B
"Sept. 30, 2007",8.255B
"June 30, 2007",8.426B
"March 31, 2007",7.684B
"Dec. 31, 2006",7.011B
"Sept. 30, 2006",7.463B
"June 30, 2006",8.391B
"March 31, 2006",7.958B
"Dec. 31, 2005",7.328B
"Sept. 30, 2005",7.991B
"June 30, 2005",7.462B
"March 31, 2005",7.139B
"Dec. 31, 2004",5.813B
"Sept. 30, 2004",6.227B
"June 30, 2004",5.559B
"March 31, 2004",5.246B
"Dec. 31, 2003",4.664B
"Sept. 30, 2003",4.831B
"June 30, 2003",4.901B
"March 31, 2003",4.645B
"Dec. 31, 2002",4.532B
"Sept. 30, 2002",4.631B
"June 30, 2002",4.824B
"March 31, 2002",4.858B
"Dec. 31, 2001",4.983B
"Sept. 30, 2001",4.045B
"June 30, 2001",3.647B
"March 31, 2001",3.424B
"Dec. 31, 2000",3.219B
"Sept. 30, 2000",3.237B
"June 30, 2000",3.250B
"March 31, 2000",3.127B
"Dec. 31, 1999",2.818B
"Sept. 30, 1999",2.516B
"June 30, 1999",2.609B
"March 31, 1999",2.459B
"Dec. 31, 1998",2.318B
"Sept. 30, 1998",2.316B
"June 30, 1998",2.335B
"March 31, 1998",2.244B
"Dec. 31, 1997",2.237B
"Sept. 30, 1997",2.234B
"June 30, 1997",2.239B
"March 31, 1997",2.157B
"Dec. 31, 1996",2.075B
"Sept. 30, 1996",2.004B
"June 30, 1996",2.018B
"March 31, 1996",1.903B
"Dec. 31, 1995",1.829B
"Sept. 30, 1995",1.866B
"June 30, 1995",1.880B
"March 31, 1995",1.756B
"Dec. 31, 1994",1.584B
"Sept. 30, 1994",1.608B
"June 30, 1994",1.557B
"March 31, 1994",1.532B
"Dec. 31, 1993",1.522B
"Sept. 30, 1993",1.410B
"June 30, 1993",1.414B
"March 31, 1993",1.379B
"Dec. 31, 1992",1.439B
"Sept. 30, 1992",1.395B
"June 30, 1992",1.300B
"March 31, 1992",1.262B
"Dec. 31, 1991",1.209B
"Sept. 30, 1991",1.116B
"June 30, 1991",989.50M
"March 31, 1991",956.40M
"Dec. 31, 1990",866.20M
"Sept. 30, 1990",877.30M
"June 30, 1990",854.90M
"March 31, 1990",837.40M
"Dec. 31, 1989",827.80M
"Sept. 30, 1989",820.90M
"June 30, 1989",797.80M
"March 31, 1989",780.30M
"Dec. 31, 1988",741.00M
"Dec. 31, 1987",528.30M
"Dec. 31, 1986",566.30M
"Dec. 31, 1985",556.40M
"Dec. 31, 1984",284.40M
