date,zmijewski_score
"Dec. 31, 2019",-1.205
"Sept. 30, 2019",-1.201
"June 30, 2019",-1.203
"March 31, 2019",-1.166
"Dec. 31, 2018",-1.214
"Sept. 30, 2018",-1.425
"June 30, 2018",-1.425
"March 31, 2018",-1.437
"Dec. 31, 2017",-1.464
"Sept. 30, 2017",-1.111
"June 30, 2017",-1.054
"March 31, 2017",-1.010
"Dec. 31, 2016",-1.151
"Sept. 30, 2016",-1.100
"June 30, 2016",-1.145
"March 31, 2016",-1.042
"Dec. 31, 2015",-1.087
"Sept. 30, 2015",-0.9241
"June 30, 2015",-0.928
"March 31, 2015",-0.8232
"Dec. 31, 2014",-0.8603
"Sept. 30, 2014",-0.969
"June 30, 2014",-0.9452
"March 31, 2014",-0.8946
"Dec. 31, 2013",-0.9849
"Sept. 30, 2013",-0.857
"June 30, 2013",-0.7305
"March 31, 2013",-0.8044
"Dec. 31, 2012",-0.8907
"Sept. 30, 2012",-0.8879
"June 30, 2012",-0.8339
"March 31, 2012",-0.8616
"Dec. 31, 2011",-0.861
"Sept. 30, 2011",-0.755
"June 30, 2011",-0.9517
"March 31, 2011",-1.065
"Dec. 31, 2010",-1.082
"Sept. 30, 2010",-1.020
"June 30, 2010",-0.8242
"March 31, 2010",-0.8799
"Dec. 31, 2009",-0.859
"Sept. 30, 2009",-0.7323
"June 30, 2009",-0.689
"March 31, 2009",-0.6408
"Dec. 31, 2008",-0.6974
"Sept. 30, 2008",-0.9467
"June 30, 2008",-0.9463
"March 31, 2008",-1.085
"Dec. 31, 2007",-1.201
"Sept. 30, 2007",-1.292
"June 30, 2007",-1.260
"March 31, 2007",-1.434
"Dec. 31, 2006",-1.532
"Sept. 30, 2006",-1.482
"June 30, 2006",-1.436
"March 31, 2006",-1.418
"Dec. 31, 2005",-1.523
"Sept. 30, 2005",-1.417
"June 30, 2005",-1.396
"March 31, 2005",-1.409
"Dec. 31, 2004",-1.551
"Sept. 30, 2004",-1.426
"June 30, 2004",-1.521
"March 31, 2004",-1.605
"Dec. 31, 2003",
"Sept. 30, 2003",-1.705
"June 30, 2003",-1.633
"March 31, 2003",-1.554
"Dec. 31, 2002",-1.576
"Sept. 30, 2002",-1.526
"June 30, 2002",-1.481
"March 31, 2002",-1.484
"Dec. 31, 2001",-1.488
"Sept. 30, 2001",-1.855
"June 30, 2001",-1.998
"March 31, 2001",-2.051
"Dec. 31, 2000",
"Sept. 30, 2000",-1.896
"June 30, 2000",-1.770
"March 31, 2000",-1.720
"Dec. 31, 1999",-1.916
"Sept. 30, 1999",-2.083
"June 30, 1999",-1.981
"March 31, 1999",-1.970
"Dec. 31, 1998",-1.977
"Sept. 30, 1998",-1.892
"June 30, 1998",-1.829
"March 31, 1998",-1.765
"Dec. 31, 1997",-1.699
"Sept. 30, 1997",-1.578
"June 30, 1997",-1.462
"March 31, 1997",-1.436
"Dec. 31, 1996",-1.434
"Sept. 30, 1996",-1.481
"June 30, 1996",-1.435
"March 31, 1996",-1.412
"Dec. 31, 1995",-1.408
"Sept. 30, 1995",-1.308
"June 30, 1995",-1.222
"March 31, 1995",-1.258
"Dec. 31, 1994",-1.444
"Sept. 30, 1994",-1.450
"June 30, 1994",-1.414
"March 31, 1994",-1.344
"Dec. 31, 1993",-1.299
"Sept. 30, 1993",-1.276
"June 30, 1993",-1.182
"March 31, 1993",-1.122
"Dec. 31, 1992",-0.9899
"Sept. 30, 1992",-0.9597
"June 30, 1992",-0.9979
"March 31, 1992",-0.9738
"Dec. 31, 1991",-0.6686
"Sept. 30, 1991",-0.7198
"June 30, 1991",-0.8706
"March 31, 1991",-0.9352
"Dec. 31, 1990",-1.136
"Sept. 30, 1990",-1.171
"June 30, 1990",-1.174
"March 31, 1990",-1.164
"Dec. 31, 1989",-1.246
"Sept. 30, 1989",-1.309
"June 30, 1989",-1.304
