date,times_interest_earned
"June 30, 2019",1583.00
"March 31, 2019",263.25
"Dec. 31, 2018",141.61
"Sept. 30, 2018",105.70
"June 30, 2018",106.87
"March 31, 2018",121.50
"Dec. 31, 2017",114.76
"Sept. 30, 2017",110.07
"June 30, 2017",79.33
"March 31, 2017",67.50
"Dec. 31, 2016",69.12
"Sept. 30, 2016",62.12
"June 30, 2016",60.35
"March 31, 2016",51.51
"Dec. 31, 2015",43.55
"Sept. 30, 2015",33.32
"June 30, 2015",27.95
"March 31, 2015",24.02
"Dec. 31, 2014",19.42
"Sept. 30, 2014",19.74
"June 30, 2014",17.49
"March 31, 2014",14.25
"Dec. 31, 2013",13.03
"Sept. 30, 2013",10.79
"June 30, 2013",7.168
"March 31, 2013",6.815
"Dec. 31, 2012",6.824
"Sept. 30, 2012",7.052
"June 30, 2012",4.656
"March 31, 2012",3.793
"Dec. 31, 2011",2.919
"Sept. 30, 2011",2.785
"June 30, 2011",6.556
"March 31, 2011",6.383
"Dec. 31, 2010",6.533
"Sept. 30, 2010",6.163
"June 30, 2010",3.60
"March 31, 2010",3.013
"Dec. 31, 2009",2.191
"Sept. 30, 2009",0.4074
"June 30, 2009",-1.231
"March 31, 2009",2.596
"Dec. 31, 2008",5.013
"Sept. 30, 2008",9.443
"June 30, 2008",21.15
"March 31, 2008",31.26
"Dec. 31, 2007",51.52
"Sept. 30, 2007",148.43
"June 30, 2007",995.00
