date,accruals
"Dec. 31, 2019",-311.00M
"Sept. 30, 2019",-433.00M
"June 30, 2019",-225.00M
"March 31, 2019",-718.00M
"Dec. 31, 2018",-335.00M
"Sept. 30, 2018",-657.00M
"June 30, 2018",-897.00M
"March 31, 2018",-539.00M
"Dec. 31, 2017",1.184B
"Sept. 30, 2017",-468.00M
"June 30, 2017",-2.00M
"March 31, 2017",-1.286B
"Dec. 31, 2016",-248.00M
"Sept. 30, 2016",-468.00M
"June 30, 2016",-292.00M
"March 31, 2016",-1.103B
"Dec. 31, 2015",212.00M
"Sept. 30, 2015",-251.00M
"June 30, 2015",-19.00M
"March 31, 2015",-999.00M
"Dec. 31, 2014",-14.00M
"Sept. 30, 2014",89.00M
"June 30, 2014",-874.00M
"March 31, 2014",-967.00M
"Dec. 31, 2013",-77.00M
"Sept. 30, 2013",-169.00M
"June 30, 2013",-553.00M
"March 31, 2013",-924.00M
"Dec. 31, 2012",-153.00M
"Sept. 30, 2012",-447.00M
"June 30, 2012",83.00M
"March 31, 2012",-1.127B
"Dec. 31, 2011",-219.00M
"Sept. 30, 2011",77.00M
"June 30, 2011",-76.00M
"March 31, 2011",-960.00M
"Dec. 31, 2010",-138.00M
"Sept. 30, 2010",-174.00M
"June 30, 2010",-428.00M
"March 31, 2010",-362.00M
"Dec. 31, 2009",-377.00M
"Sept. 30, 2009",-89.00M
"June 30, 2009",-43.00M
"March 31, 2009",-377.00M
"Dec. 31, 2008",2.489B
"Sept. 30, 2008",2.156B
"June 30, 2008",-2.015B
"March 31, 2008",-930.00M
"Dec. 31, 2007",-982.00M
"Sept. 30, 2007",8.00M
"June 30, 2007",-702.00M
"March 31, 2007",-524.00M
"Dec. 31, 2006",-86.00M
"Sept. 30, 2006",368.00M
"June 30, 2006",-499.00M
"March 31, 2006",-690.00M
"Dec. 31, 2005",39.00M
"Sept. 30, 2005",-367.00M
"June 30, 2005",-502.00M
"March 31, 2005",-805.00M
"Dec. 31, 2004",104.00M
"Sept. 30, 2004",-240.00M
"June 30, 2004",-317.00M
"March 31, 2004",-391.00M
"Dec. 31, 2003",-294.00M
"Sept. 30, 2003",-35.00M
"June 30, 2003",-392.00M
"March 31, 2003",-243.00M
"Dec. 31, 2002",-72.00M
"Sept. 30, 2002",55.00M
"June 30, 2002",-191.00M
"March 31, 2002",-72.00M
"Dec. 31, 2001",-170.94M
"Sept. 30, 2001",-194.38M
"June 30, 2001",-308.59M
"March 31, 2001",-299.55M
"Dec. 31, 2000",-77.58M
"Sept. 30, 2000",-47.30M
"June 30, 2000",-205.35M
"March 31, 2000",-342.05M
"Dec. 31, 1999",-124.80M
"Sept. 30, 1999",17.60M
"June 30, 1999",-204.60M
"March 31, 1999",-214.90M
"Dec. 31, 1998",-93.40M
"Sept. 30, 1998",-54.30M
"June 30, 1998",-159.70M
"March 31, 1998",-145.30M
"Dec. 31, 1997",-89.12M
"Sept. 30, 1997",-34.30M
"June 30, 1997",-126.80M
"March 31, 1997",-42.60M
"Dec. 31, 1996",-141.19M
"Sept. 30, 1996",-21.10M
"June 30, 1996",-136.90M
"March 31, 1996",-108.70M
"Dec. 31, 1995",-65.20M
"Sept. 30, 1995",18.00M
"June 30, 1995",-134.10M
"March 31, 1995",-92.60M
"Dec. 31, 1994",-58.10M
"Sept. 30, 1994",-23.50M
"June 30, 1994",-71.10M
"March 31, 1994",-80.80M
"Dec. 31, 1993",-95.70M
"Sept. 30, 1993",-101.70M
"June 30, 1993",-5.50M
"March 31, 1993",-20.20M
"Dec. 31, 1992",-79.60M
"Sept. 30, 1992",-21.90M
"June 30, 1992",-45.40M
"March 31, 1992",-14.10M
"Dec. 31, 1991",-24.60M
"Sept. 30, 1991",-17.00M
"June 30, 1991",-36.50M
"March 31, 1991",1.80M
"Dec. 31, 1990",-7.20M
"Sept. 30, 1990",-3.30M
"June 30, 1990",-47.10M
"March 31, 1990",-7.30M
"Dec. 31, 1989",-32.90M
"Sept. 30, 1989",-19.20M
"June 30, 1989",-26.90M
"March 31, 1989",-17.40M
