date,fulmer_h_score
"June 30, 2019",11.54
"March 31, 2019",9.981
"Dec. 31, 2018",9.330
"Sept. 30, 2018",8.889
"June 30, 2018",8.690
"March 31, 2018",8.396
"Dec. 31, 2017",8.578
"Sept. 30, 2017",8.408
"June 30, 2017",7.986
"March 31, 2017",7.882
"Dec. 31, 2016",7.901
"Sept. 30, 2016",7.495
"June 30, 2016",7.329
"March 31, 2016",6.784
"Dec. 31, 2015",6.580
"Sept. 30, 2015",6.519
"June 30, 2015",6.010
"March 31, 2015",6.197
"Dec. 31, 2014",5.759
"Sept. 30, 2014",5.947
"June 30, 2014",5.771
"March 31, 2014",5.254
"Dec. 31, 2013",5.208
"Sept. 30, 2013",5.091
"June 30, 2013",4.626
"March 31, 2013",4.223
"Dec. 31, 2012",4.396
"Sept. 30, 2012",4.496
"June 30, 2012",3.864
"March 31, 2012",3.762
"Dec. 31, 2011",3.252
"Sept. 30, 2011",3.061
"June 30, 2011",4.172
"March 31, 2011",4.876
"Dec. 31, 2010",4.615
"Sept. 30, 2010",4.557
"June 30, 2010",3.854
"March 31, 2010",3.513
"Dec. 31, 2009",3.169
"Sept. 30, 2009",0.4184
"June 30, 2009",
"March 31, 2009",1.899
"Dec. 31, 2008",2.749
"Sept. 30, 2008",4.802
"June 30, 2008",6.991
"March 31, 2008",6.519
"Dec. 31, 2007",6.940
"Sept. 30, 2007",7.305
"June 30, 2007",8.661
