date,cash_dividend_payout_ratio
"Dec. 31, 2019",12.57%
"Sept. 30, 2019",13.08%
"June 30, 2019",12.53%
"March 31, 2019",10.99%
"Dec. 31, 2018",11.38%
"Sept. 30, 2018",13.27%
"June 30, 2018",15.49%
"March 31, 2018",27.51%
"Dec. 31, 2017",16.31%
"Sept. 30, 2017",16.65%
"June 30, 2017",15.69%
"March 31, 2017",11.63%
"Dec. 31, 2016",10.34%
"Sept. 30, 2016",13.55%
"June 30, 2016",11.29%
"March 31, 2016",13.88%
"Dec. 31, 2015",16.44%
"Sept. 30, 2015",13.68%
"June 30, 2015",31.06%
"March 31, 2015",13.45%
"Dec. 31, 2014",12.94%
"Sept. 30, 2014",11.55%
"June 30, 2014",8.07%
"March 31, 2014",8.66%
"Dec. 31, 2013",6.89%
"Sept. 30, 2013",6.93%
"June 30, 2013",5.53%
"March 31, 2013",44.78%
"Dec. 31, 2012",3.07%
"Sept. 30, 2012",2.63%
"June 30, 2012",6.32%
"March 31, 2012",2.42%
"Dec. 31, 2011",3.61%
"Sept. 30, 2011",2.29%
"June 30, 2011",0.94%
"March 31, 2011",0.75%
"Dec. 31, 2010",1.22%
"Sept. 30, 2010",1.02%
"June 30, 2010",1.50%
"March 31, 2010",3.00%
"Dec. 31, 2009",3.25%
"Sept. 30, 2009",-0.48%
"June 30, 2009",-0.26%
"March 31, 2009",-0.46%
"Dec. 31, 2008",-0.53%
"Sept. 30, 2008",1.30%
"June 30, 2008",0.39%
"March 31, 2008",0.77%
"Dec. 31, 2007",0.92%
"Sept. 30, 2007",2.50%
"June 30, 2007",60.87%
"March 31, 2007",-7.37%
"Dec. 31, 2006",200.0%
"Sept. 30, 2006",31.82%
"June 30, 2006",1.31%
"March 31, 2006",1.39%
"Dec. 31, 2005",1.44%
"Sept. 30, 2005",2.04%
"June 30, 2005",6.14%
"March 31, 2005",-6.42%
"Dec. 31, 2004",-2.27%
"Sept. 30, 2004",-5.53%
"June 30, 2004",-4.49%
"March 31, 2004",17.28%
"Dec. 31, 2003",14.29%
"Sept. 30, 2003",18.92%
"June 30, 2003",8.77%
"March 31, 2003",200.0%
"Dec. 31, 2002",-16.87%
"Sept. 30, 2002",-22.36%
"June 30, 2002",7.65%
"March 31, 2002",4.56%
"Dec. 31, 2001",2.76%
"Sept. 30, 2001",2.67%
"June 30, 2001",4.36%
"March 31, 2001",11.34%
"Dec. 31, 2000",6.71%
"Sept. 30, 2000",5.56%
"June 30, 2000",18.94%
"March 31, 2000",31.37%
"Dec. 31, 1999",-6.50%
"Sept. 30, 1999",-5.39%
"June 30, 1999",194.2%
"March 31, 1999",-52.97%
"Dec. 31, 1998",-15.23%
"Sept. 30, 1998",11.98%
"June 30, 1998",14.81%
"March 31, 1998",-10.17%
"Dec. 31, 1997",-8.42%
"Sept. 30, 1997",-4.43%
"June 30, 1997",-3.42%
"March 31, 1997",-6.83%
"Dec. 31, 1996",-9.99%
"Sept. 30, 1996",-6.37%
"June 30, 1996",-3.30%
"March 31, 1996",-3.49%
"Dec. 31, 1995",-2.09%
"Sept. 30, 1995",-2.22%
"June 30, 1995",-2.26%
"March 31, 1995",-1.52%
"Dec. 31, 1994",-1.52%
"Sept. 30, 1994",-2.14%
"June 30, 1994",-2.88%
"March 31, 1994",-7.01%
"Dec. 31, 1993",-4.11%
"Sept. 30, 1993",-4.71%
"June 30, 1993",-60.94%
"March 31, 1993",-3.32%
"Dec. 31, 1992",-3.39%
"Sept. 30, 1992",-2.05%
"June 30, 1992",-1.43%
"March 31, 1992",-1.79%
"Dec. 31, 1991",-1.77%
"Sept. 30, 1991",-1.40%
"June 30, 1991",-1.91%
"March 31, 1991",-2.02%
"Dec. 31, 1990",-1.99%
"Sept. 30, 1990",-3.86%
"June 30, 1990",-4.38%
"March 31, 1990",-3.94%
"Dec. 31, 1989",-4.47%
