date,cash_financing_ttm
"Dec. 31, 2019",-2.99B
"Sept. 30, 2019",-2.653B
"June 30, 2019",-2.641B
"March 31, 2019",-2.673B
"Dec. 31, 2018",-2.496B
"Sept. 30, 2018",-1.718B
"June 30, 2018",-1.493B
"March 31, 2018",-1.324B
"Dec. 31, 2017",-1.706B
"Sept. 30, 2017",-2.069B
"June 30, 2017",-1.962B
"March 31, 2017",-2.272B
"Dec. 31, 2016",-1.924B
"Sept. 30, 2016",-1.303B
"June 30, 2016",-1.565B
"March 31, 2016",-1.253B
"Dec. 31, 2015",-1.024B
"Sept. 30, 2015",-1.775B
"June 30, 2015",-1.413B
"March 31, 2015",-1.28B
"Dec. 31, 2014",-1.248B
"Sept. 30, 2014",-975.00M
"June 30, 2014",-954.00M
"March 31, 2014",-940.00M
"Dec. 31, 2013",-851.00M
"Sept. 30, 2013",-935.00M
"June 30, 2013",-812.00M
"March 31, 2013",-749.00M
"Dec. 31, 2012",-947.00M
"Sept. 30, 2012",-1.343B
"June 30, 2012",-1.466B
"March 31, 2012",-1.294B
"Dec. 31, 2011",-766.00M
"Sept. 30, 2011",-292.00M
"June 30, 2011",-91.00M
"March 31, 2011",-50.00M
"Dec. 31, 2010",-149.00M
"Sept. 30, 2010",-153.00M
"June 30, 2010",52.00M
"March 31, 2010",146.00M
"Dec. 31, 2009",330.00M
"Sept. 30, 2009",1.418B
"June 30, 2009",1.297B
"March 31, 2009",1.852B
"Dec. 31, 2008",1.654B
"Sept. 30, 2008",1.068B
"June 30, 2008",614.00M
"March 31, 2008",-444.00M
"Dec. 31, 2007",-493.00M
"Sept. 30, 2007",-1.305B
"June 30, 2007",-897.00M
"March 31, 2007",-797.00M
"Dec. 31, 2006",-801.00M
"Sept. 30, 2006",-377.00M
"June 30, 2006",-369.00M
"March 31, 2006",-14.00M
"Dec. 31, 2005",260.00M
"Sept. 30, 2005",131.00M
"June 30, 2005",354.00M
"March 31, 2005",383.00M
"Dec. 31, 2004",133.00M
"Sept. 30, 2004",95.00M
"June 30, 2004",-124.00M
"March 31, 2004",-146.00M
"Dec. 31, 2003",-48.00M
"Sept. 30, 2003",16.00M
"June 30, 2003",-85.00M
"March 31, 2003",-232.00M
"Dec. 31, 2002",-382.00M
"Sept. 30, 2002",517.07M
"June 30, 2002",973.81M
"March 31, 2002",1.125B
"Dec. 31, 2001",1.270B
"Sept. 30, 2001",405.40M
"June 30, 2001",39.51M
"March 31, 2001",35.96M
"Dec. 31, 2000",-59.47M
"Sept. 30, 2000",116.36M
"June 30, 2000",103.91M
"March 31, 2000",100.89M
"Dec. 31, 1999",206.40M
"Sept. 30, 1999",14.83M
"June 30, 1999",-86.27M
"March 31, 1999",-82.67M
"Dec. 31, 1998",-183.87M
"Sept. 30, 1998",-179.56M
"June 30, 1998",-67.26M
"March 31, 1998",-68.76M
"Dec. 31, 1997",119.84M
"Sept. 30, 1997",109.58M
"June 30, 1997",290.18M
"March 31, 1997",421.58M
"Dec. 31, 1996",326.68M
"Sept. 30, 1996",325.60M
"June 30, 1996",259.40M
"March 31, 1996",317.90M
"Dec. 31, 1995",415.00M
"Sept. 30, 1995",415.40M
"June 30, 1995",599.10M
"March 31, 1995",406.80M
"Dec. 31, 1994",255.00M
"Sept. 30, 1994",261.20M
"June 30, 1994",-66.00M
"March 31, 1994",-55.10M
"Dec. 31, 1993",-10.90M
"Sept. 30, 1993",100.00M
"June 30, 1993",209.90M
"March 31, 1993",197.00M
"Dec. 31, 1992",294.50M
"Sept. 30, 1992",273.80M
"June 30, 1992",374.80M
"March 31, 1992",384.80M
"Dec. 31, 1991",411.20M
"Sept. 30, 1991",383.70M
"June 30, 1991",288.90M
"March 31, 1991",272.30M
"Dec. 31, 1990",144.50M
"Sept. 30, 1990",55.20M
"June 30, 1990",-3.30M
"March 31, 1990",4.20M
"Dec. 31, 1989",29.70M
