date,return_on_invested_capital
"Dec. 31, 2019",17.77%
"Sept. 30, 2019",18.55%
"June 30, 2019",18.06%
"March 31, 2019",17.96%
"Dec. 31, 2018",18.43%
"Sept. 30, 2018",27.15%
"June 30, 2018",27.31%
"March 31, 2018",28.40%
"Dec. 31, 2017",28.02%
"Sept. 30, 2017",17.87%
"June 30, 2017",16.87%
"March 31, 2017",17.80%
"Dec. 31, 2016",19.59%
"Sept. 30, 2016",21.10%
"June 30, 2016",23.59%
"March 31, 2016",22.23%
"Dec. 31, 2015",22.22%
"Sept. 30, 2015",18.84%
"June 30, 2015",16.01%
"March 31, 2015",14.52%
"Dec. 31, 2014",11.35%
"Sept. 30, 2014",11.47%
"June 30, 2014",10.87%
"March 31, 2014",8.52%
"Dec. 31, 2013",7.56%
"Sept. 30, 2013",6.21%
"June 30, 2013",3.76%
"March 31, 2013",3.75%
"Dec. 31, 2012",4.08%
"Sept. 30, 2012",4.74%
"June 30, 2012",3.17%
"March 31, 2012",2.55%
"Dec. 31, 2011",1.70%
"Sept. 30, 2011",1.54%
"June 30, 2011",5.08%
"March 31, 2011",4.82%
"Dec. 31, 2010",4.99%
"Sept. 30, 2010",4.90%
"June 30, 2010",2.51%
"March 31, 2010",2.29%
"Dec. 31, 2009",1.14%
"Sept. 30, 2009",-0.81%
"June 30, 2009",-1.88%
"March 31, 2009",0.57%
"Dec. 31, 2008",1.86%
"Sept. 30, 2008",3.67%
"June 30, 2008",6.89%
"March 31, 2008",6.90%
"Dec. 31, 2007",7.81%
"Sept. 30, 2007",7.24%
"June 30, 2007",5.71%
"March 31, 2007",6.27%
"Dec. 31, 2006",5.83%
"Sept. 30, 2006",5.90%
"June 30, 2006",7.79%
"March 31, 2006",5.69%
"Dec. 31, 2005",5.86%
"Sept. 30, 2005",5.85%
"June 30, 2005",4.95%
"March 31, 2005",4.76%
"Dec. 31, 2004",4.53%
"Sept. 30, 2004",3.77%
"June 30, 2004",3.68%
"March 31, 2004",5.84%
"Dec. 31, 2003",5.91%
"Sept. 30, 2003",6.71%
"June 30, 2003",6.34%
"March 31, 2003",4.05%
"Dec. 31, 2002",4.04%
"Sept. 30, 2002",4.54%
"June 30, 2002",6.14%
"March 31, 2002",7.88%
"Dec. 31, 2001",10.45%
"Sept. 30, 2001",13.79%
"June 30, 2001",15.41%
"March 31, 2001",16.53%
"Dec. 31, 2000",15.99%
"Sept. 30, 2000",14.44%
"June 30, 2000",13.48%
"March 31, 2000",13.11%
"Dec. 31, 1999",14.30%
"Sept. 30, 1999",15.22%
"June 30, 1999",15.86%
"March 31, 1999",15.64%
"Dec. 31, 1998",15.15%
"Sept. 30, 1998",14.85%
"June 30, 1998",13.87%
"March 31, 1998",12.80%
"Dec. 31, 1997",12.48%
"Sept. 30, 1997",10.82%
"June 30, 1997",9.89%
"March 31, 1997",9.88%
"Dec. 31, 1996",9.38%
"Sept. 30, 1996",10.30%
"June 30, 1996",10.89%
"March 31, 1996",9.94%
"Dec. 31, 1995",9.18%
"Sept. 30, 1995",8.27%
"June 30, 1995",8.06%
"March 31, 1995",8.26%
"Dec. 31, 1994",10.19%
"Sept. 30, 1994",11.97%
"June 30, 1994",11.48%
"March 31, 1994",10.80%
"Dec. 31, 1993",10.74%
"Sept. 30, 1993",9.77%
"June 30, 1993",8.86%
"March 31, 1993",7.79%
"Dec. 31, 1992",7.22%
"Sept. 30, 1992",6.31%
"June 30, 1992",5.92%
"March 31, 1992",5.22%
"Dec. 31, 1991",2.49%
"Sept. 30, 1991",1.32%
"June 30, 1991",2.11%
"March 31, 1991",3.49%
"Dec. 31, 1990",4.93%
"Sept. 30, 1990",6.24%
"June 30, 1990",6.42%
"March 31, 1990",6.00%
"Dec. 31, 1989",7.53%
"Sept. 30, 1989",8.37%
"June 30, 1989",8.64%
