date,shares_outstanding
"Jan. 30, 2020",517.30M
"Dec. 31, 2019",519.06M
"Dec. 17, 2019",518.98M
"Nov. 6, 2019",526.28M
"July 26, 2019",537.52M
"April 26, 2019",543.06M
"March 19, 2019",546.65M
"Feb. 1, 2019",552.69M
"Dec. 31, 2018",552.60M
"Oct. 26, 2018",562.31M
"July 30, 2018",573.02M
"April 27, 2018",579.80M
"March 20, 2018",582.01M
"Feb. 28, 2018",588.47M
"Feb. 5, 2018",587.95M
"Dec. 31, 2017",588.55M
"Oct. 30, 2017",593.39M
"Sept. 30, 2017",594.54M
"July 27, 2017",598.57M
"May 1, 2017",604.66M
"March 21, 2017",604.61M
"Feb. 28, 2017",614.35M
"Feb. 3, 2017",615.25M
"Dec. 31, 2016",615.16M
"Oct. 26, 2016",615.60M
"July 25, 2016",620.23M
"April 26, 2016",638.69M
"March 22, 2016",638.64M
"Feb. 29, 2016",638.37M
"Jan. 29, 2016",638.07M
"Dec. 31, 2015",647.60M
"Oct. 27, 2015",650.36M
"July 29, 2015",659.36M
"April 28, 2015",668.30M
"March 17, 2015",669.97M
"Feb. 28, 2015",674.99M
"Feb. 4, 2015",675.99M
"Dec. 31, 2014",675.59M
"Oct. 27, 2014",678.74M
"July 28, 2014",685.14M
"April 28, 2014",691.84M
"March 18, 2014",691.32M
"Feb. 28, 2014",697.52M
"Jan. 30, 2014",701.99M
"Dec. 31, 2013",700.47M
"Oct. 28, 2013",696.72M
"July 29, 2013",706.21M
"April 30, 2013",722.30M
"March 19, 2013",722.10M
"Feb. 28, 2013",721.95M
"Feb. 4, 2013",728.10M
"Dec. 31, 2012",730.32M
"Oct. 24, 2012",737.98M
"July 23, 2012",743.07M
"April 23, 2012",767.68M
"March 20, 2012",767.48M
"Feb. 29, 2012",772.94M
"Feb. 3, 2012",772.91M
"Dec. 31, 2011",772.56M
"Oct. 19, 2011",778.52M
"Aug. 3, 2011",804.00M
"April 20, 2011",747.96M
"March 22, 2011",747.84M
"Feb. 28, 2011",747.71M
"Feb. 2, 2011",747.56M
"Dec. 31, 2010",747.43M
"Oct. 19, 2010",747.10M
"July 27, 2010",745.95M
"April 20, 2010",744.45M
"Feb. 26, 2010",743.80M
"Jan. 26, 2010",743.27M
"Dec. 31, 2009",742.79M
"Oct. 19, 2009",741.94M
"July 20, 2009",741.45M
"April 15, 2009",740.81M
"Jan. 28, 2009",740.15M
"Oct. 15, 2008",739.72M
"Sept. 30, 2008",733.93M
"July 23, 2008",733.93M
"June 30, 2008",733.93M
"April 16, 2008",731.76M
"March 31, 2008",731.76M
"Jan. 30, 2008",735.67M
"Dec. 31, 2007",734.80M
"Sept. 30, 2007",734.04M
"June 30, 2007",747.32M
"March 31, 2007",780.83M
"Jan. 29, 2007",788.43M
"Dec. 31, 2006",783.31M
"Oct. 18, 2006",791.83M
"Sept. 30, 2006",791.83M
"July 18, 2006",786.08M
"June 30, 2006",786.08M
"April 18, 2006",802.57M
"March 31, 2006",802.57M
"Jan. 24, 2006",804.66M
"Dec. 31, 2005",796.44M
"Oct. 19, 2005",792.73M
"Sept. 30, 2005",792.73M
"July 15, 2005",787.27M
"June 30, 2005",787.27M
"April 13, 2005",784.75M
"March 31, 2005",784.75M
"Jan. 31, 2005",783.77M
"Dec. 31, 2004",784.98M
"Oct. 12, 2004",779.58M
"Sept. 30, 2004",779.58M
"July 14, 2004",790.18M
"June 30, 2004",790.18M
"April 14, 2004",790.18M
"March 31, 2004",790.18M
"Dec. 31, 2003",789.39M
"Oct. 17, 2003",787.19M
"Sept. 30, 2003",787.19M
"July 18, 2003",782.93M
"June 30, 2003",782.93M
