date,times_interest_earned
"Dec. 31, 2019",77.61
"Sept. 30, 2019",79.46
"June 30, 2019",69.92
"March 31, 2019",57.68
"Dec. 31, 2018",52.36
"Sept. 30, 2018",49.01
"June 30, 2018",49.01
"March 31, 2018",48.43
"Dec. 31, 2017",44.02
"Sept. 30, 2017",64.57
"June 30, 2017",46.26
"March 31, 2017",36.00
"Dec. 31, 2016",29.27
"Sept. 30, 2016",30.19
"June 30, 2016",31.84
"March 31, 2016",32.56
"Dec. 31, 2015",33.48
"Sept. 30, 2015",31.77
"June 30, 2015",30.44
"March 31, 2015",29.38
"Dec. 31, 2014",28.41
"Sept. 30, 2014",21.12
"June 30, 2014",21.33
"March 31, 2014",21.80
"Dec. 31, 2013",22.24
"Sept. 30, 2013",17.20
"June 30, 2013",16.09
"March 31, 2013",15.29
"Dec. 31, 2012",14.42
"Sept. 30, 2012",11.00
"June 30, 2012",9.859
"March 31, 2012",9.199
"Dec. 31, 2011",8.358
"Sept. 30, 2011",11.58
"June 30, 2011",11.14
"March 31, 2011",9.860
"Dec. 31, 2010",8.859
"Sept. 30, 2010",6.854
"June 30, 2010",6.493
"March 31, 2010",5.878
"Dec. 31, 2009",5.464
"Sept. 30, 2009",8.119
"June 30, 2009",8.968
"March 31, 2009",10.68
"Dec. 31, 2008",12.08
"Sept. 30, 2008",16.12
"June 30, 2008",23.30
"March 31, 2008",43.51
