date,cash_investing_ttm
"Dec. 31, 2019",-533.00M
"Sept. 30, 2019",-528.00M
"June 30, 2019",-921.00M
"March 31, 2019",-576.00M
"Dec. 31, 2018",1.027B
"Sept. 30, 2018",50.00M
"June 30, 2018",-977.00M
"March 31, 2018",-1.976B
"Dec. 31, 2017",-3.574B
"Sept. 30, 2017",-2.257B
"June 30, 2017",-2.792B
"March 31, 2017",-2.75B
"Dec. 31, 2016",-3.342B
"Sept. 30, 2016",-7.206B
"June 30, 2016",-5.511B
"March 31, 2016",-6.79B
"Dec. 31, 2015",-6.514B
"Sept. 30, 2015",-2.821B
"June 30, 2015",-3.216B
"March 31, 2015",-2.451B
"Dec. 31, 2014",-1.876B
"Sept. 30, 2014",-2.044B
"June 30, 2014",-2.301B
"March 31, 2014",-1.993B
"Dec. 31, 2013",-1.959B
"Sept. 30, 2013",-2.117B
"June 30, 2013",-1.748B
"March 31, 2013",-1.617B
"Dec. 31, 2012",-1.428B
"Sept. 30, 2012",-1.589B
"June 30, 2012",-1.08B
"March 31, 2012",-749.00M
"Dec. 31, 2011",-611.00M
"Sept. 30, 2011",-176.00M
"June 30, 2011",-851.00M
"March 31, 2011",-1.872B
"Dec. 31, 2010",-2.269B
"Sept. 30, 2010",-2.263B
"June 30, 2010",-2.341B
"March 31, 2010",-1.388B
"Dec. 31, 2009",-1.133B
"Sept. 30, 2009",-1.203B
"June 30, 2009",-731.00M
"March 31, 2009",-1.96B
"Dec. 31, 2008",-2.023B
"Sept. 30, 2008",-2.547B
"June 30, 2008",-3.101B
"March 31, 2008",-1.88B
"Dec. 31, 2007",-1.782B
"Sept. 30, 2007",-1.087B
"June 30, 2007",-612.00M
"March 31, 2007",-1.039B
"Dec. 31, 2006",-614.00M
"Sept. 30, 2006",-384.00M
"June 30, 2006",-379.00M
"March 31, 2006",-1.905B
"Dec. 31, 2005",-2.01B
"Sept. 30, 2005",-2.502B
"June 30, 2005",-2.558B
"March 31, 2005",-275.00M
"Dec. 31, 2004",-584.00M
"Sept. 30, 2004",-439.00M
"June 30, 2004",-288.00M
"March 31, 2004",-565.00M
"Dec. 31, 2003",-680.00M
"Sept. 30, 2003",-1.078B
"June 30, 2003",-1.074B
"March 31, 2003",-1.013B
"Dec. 31, 2002",-870.00M
"Sept. 30, 2002",-399.00M
"June 30, 2002",-560.00M
"March 31, 2002",-725.00M
"Dec. 31, 2001",-906.00M
"Sept. 30, 2001",-836.00M
"June 30, 2001",-682.00M
"March 31, 2001",-534.00M
"Dec. 31, 2000",-2.714B
"Sept. 30, 2000",-3.169B
"June 30, 2000",-3.621B
"March 31, 2000",-2.578B
"Dec. 31, 1999",-291.00M
"Sept. 30, 1999",-1.255B
"June 30, 1999",-810.00M
"March 31, 1999",-2.109B
"Dec. 31, 1998",-1.593B
"Sept. 30, 1998",-602.00M
"June 30, 1998",-1.138B
"March 31, 1998",-1.375B
"Dec. 31, 1997",-1.996B
"Sept. 30, 1997",-1.997B
"June 30, 1997",-1.38B
"March 31, 1997",152.00M
"Dec. 31, 1996",273.00M
"Sept. 30, 1996",359.00M
"June 30, 1996",168.00M
"March 31, 1996",-1.12B
"Dec. 31, 1995",-1.104B
"Sept. 30, 1995",-1.291B
"June 30, 1995",-1.15B
"March 31, 1995",-878.00M
"Dec. 31, 1994",-872.00M
"Sept. 30, 1994",-558.00M
"June 30, 1994",-691.00M
"March 31, 1994",-809.00M
"Dec. 31, 1993",-819.00M
"Sept. 30, 1993",-160.00M
"June 30, 1993",163.00M
"March 31, 1993",287.00M
"Dec. 31, 1992",273.00M
"Sept. 30, 1992",-238.00M
"June 30, 1992",-508.00M
"March 31, 1992",-630.00M
"Dec. 31, 1991",-722.00M
"Sept. 30, 1991",-737.00M
"June 30, 1991",-704.00M
"March 31, 1991",-789.00M
"Dec. 31, 1990",-728.00M
