date,operating_margin_ttm
"Dec. 31, 2019",18.66%
"Sept. 30, 2019",18.07%
"June 30, 2019",17.11%
"March 31, 2019",16.43%
"Dec. 31, 2018",16.04%
"Sept. 30, 2018",15.85%
"June 30, 2018",15.77%
"March 31, 2018",15.65%
"Dec. 31, 2017",15.54%
"Sept. 30, 2017",14.27%
"June 30, 2017",14.37%
"March 31, 2017",15.02%
"Dec. 31, 2016",15.40%
"Sept. 30, 2016",17.31%
"June 30, 2016",17.96%
"March 31, 2016",17.75%
"Dec. 31, 2015",17.70%
"Sept. 30, 2015",16.30%
"June 30, 2015",15.79%
"March 31, 2015",15.26%
"Dec. 31, 2014",14.47%
"Sept. 30, 2014",14.66%
"June 30, 2014",14.40%
"March 31, 2014",14.10%
"Dec. 31, 2013",14.09%
"Sept. 30, 2013",11.87%
"June 30, 2013",11.53%
"March 31, 2013",11.35%
"Dec. 31, 2012",11.03%
"Sept. 30, 2012",8.52%
"June 30, 2012",7.64%
"March 31, 2012",7.41%
"Dec. 31, 2011",7.05%
"Sept. 30, 2011",10.32%
"June 30, 2011",10.31%
"March 31, 2011",9.70%
"Dec. 31, 2010",9.32%
"Sept. 30, 2010",8.20%
"June 30, 2010",8.41%
"March 31, 2010",8.35%
"Dec. 31, 2009",7.94%
"Sept. 30, 2009",10.59%
"June 30, 2009",8.94%
"March 31, 2009",9.15%
"Dec. 31, 2008",9.65%
"Sept. 30, 2008",9.63%
"June 30, 2008",11.02%
"March 31, 2008",10.98%
"Dec. 31, 2007",10.77%
"Sept. 30, 2007",10.42%
"June 30, 2007",10.24%
"March 31, 2007",10.02%
"Dec. 31, 2006",9.76%
"Sept. 30, 2006",9.65%
"June 30, 2006",9.36%
"March 31, 2006",8.96%
"Dec. 31, 2005",8.76%
"Sept. 30, 2005",7.33%
"June 30, 2005",6.98%
"March 31, 2005",6.18%
"Dec. 31, 2004",5.96%
"Sept. 30, 2004",6.86%
"June 30, 2004",7.20%
"March 31, 2004",7.96%
"Dec. 31, 2003",8.30%
"Sept. 30, 2003",7.47%
"June 30, 2003",8.00%
"March 31, 2003",8.42%
"Dec. 31, 2002",8.54%
"Sept. 30, 2002",8.25%
"June 30, 2002",3.65%
"March 31, 2002",1.84%
"Dec. 31, 2001",0.67%
"Sept. 30, 2001",2.02%
"June 30, 2001",5.89%
"March 31, 2001",8.69%
"Dec. 31, 2000",11.19%
"Sept. 30, 2000",9.19%
"June 30, 2000",10.00%
"March 31, 2000",8.96%
"Dec. 31, 1999",8.53%
"Sept. 30, 1999",11.51%
"June 30, 1999",11.54%
"March 31, 1999",12.20%
"Dec. 31, 1998",12.13%
"Sept. 30, 1998",10.21%
"June 30, 1998",9.88%
"March 31, 1998",9.63%
"Dec. 31, 1997",9.40%
"Sept. 30, 1997",11.24%
"June 30, 1997",11.11%
"March 31, 1997",11.10%
"Dec. 31, 1996",10.80%
"Sept. 30, 1996",9.80%
"June 30, 1996",9.42%
"March 31, 1996",8.92%
"Dec. 31, 1995",8.78%
"Sept. 30, 1995",9.22%
"June 30, 1995",9.13%
"March 31, 1995",9.03%
"Dec. 31, 1994",8.99%
"Sept. 30, 1994",8.77%
"June 30, 1994",8.54%
"March 31, 1994",8.29%
"Dec. 31, 1993",8.07%
"Sept. 30, 1993",4.26%
"June 30, 1993",4.11%
"March 31, 1993",3.81%
"Dec. 31, 1992",3.45%
"Sept. 30, 1992",6.73%
"June 30, 1992",-0.69%
"March 31, 1992",-1.53%
"Dec. 31, 1991",-2.46%
"Sept. 30, 1991",-2.78%
"June 30, 1991",4.17%
"March 31, 1991",4.86%
"Dec. 31, 1990",5.91%
"Sept. 30, 1990",6.71%
"June 30, 1990",7.34%
"March 31, 1990",31.46%
"Dec. 31, 1989",54.51%
"Sept. 30, 1989",-16.07%
"June 30, 1989",6.05%
"March 31, 1989",5.90%
"Dec. 31, 1988",5.90%
"Sept. 30, 1988",12.57%
"June 30, 1988",11.18%
"March 31, 1988",9.24%
"Dec. 31, 1987",6.75%
"Sept. 30, 1987",4.06%
"June 30, 1987",5.98%
"March 31, 1987",6.77%
"Dec. 31, 1986",8.92%
"Sept. 30, 1986",27.73%
"June 30, 1986",18.60%
"March 31, 1986",14.06%
"Dec. 31, 1985",9.82%
"Sept. 30, 1985",7.75%
"June 30, 1985",14.04%
"March 31, 1985",14.22%
"Dec. 31, 1984",14.17%
