date,forward_pe_ratio_1y
"March 19, 2020",12.69
"March 18, 2020",12.76
"March 17, 2020",14.06
"March 16, 2020",14.43
"March 13, 2020",15.93
"March 12, 2020",14.34
"March 11, 2020",16.32
"March 10, 2020",17.20
"March 9, 2020",16.26
"March 6, 2020",17.45
"March 5, 2020",17.54
"March 4, 2020",18.21
"March 3, 2020",17.22
"March 2, 2020",17.47
"Feb. 28, 2020",17.25
"Feb. 27, 2020",16.97
"Feb. 26, 2020",17.78
"Feb. 25, 2020",17.85
"Feb. 24, 2020",18.64
"Feb. 21, 2020",19.13
"Feb. 20, 2020",19.22
"Feb. 19, 2020",19.24
"Feb. 18, 2020",19.09
"Feb. 14, 2020",19.23
"Feb. 13, 2020",19.16
"Feb. 12, 2020",19.27
"Feb. 11, 2020",19.06
"Feb. 10, 2020",18.82
"Feb. 7, 2020",18.65
"Feb. 6, 2020",18.76
"Feb. 5, 2020",18.82
"Feb. 4, 2020",18.64
"Feb. 3, 2020",18.22
"Jan. 31, 2020",18.43
"Jan. 30, 2020",18.97
"Jan. 29, 2020",18.69
"Jan. 28, 2020",18.66
"Jan. 27, 2020",18.46
"Jan. 24, 2020",18.84
"Jan. 23, 2020",19.10
"Jan. 22, 2020",19.15
"Jan. 21, 2020",19.25
"Jan. 17, 2020",19.49
"Jan. 16, 2020",19.39
"Jan. 15, 2020",19.22
"Jan. 14, 2020",19.20
"Jan. 13, 2020",19.28
"Jan. 10, 2020",19.01
"Jan. 9, 2020",19.05
"Jan. 8, 2020",18.91
"Jan. 7, 2020",18.89
"Jan. 6, 2020",18.88
"Jan. 3, 2020",19.03
"Jan. 2, 2020",19.23
"Dec. 31, 2019",18.83
"Dec. 30, 2019",20.28
"Dec. 27, 2019",20.28
"Dec. 26, 2019",20.33
"Dec. 24, 2019",20.26
"Dec. 23, 2019",20.28
"Dec. 20, 2019",20.28
"Dec. 19, 2019",20.29
"Dec. 18, 2019",20.07
"Dec. 17, 2019",20.31
"Dec. 16, 2019",20.27
"Dec. 13, 2019",20.34
"Dec. 12, 2019",20.39
"Dec. 11, 2019",20.23
"Dec. 10, 2019",20.00
"Dec. 9, 2019",20.06
"Dec. 6, 2019",20.17
"Dec. 5, 2019",20.00
"Dec. 4, 2019",19.91
"Dec. 3, 2019",19.83
"Dec. 2, 2019",20.04
"Nov. 29, 2019",20.52
