date,free_cash_flow
"Dec. 31, 2019",2.279B
"Sept. 30, 2019",1.279B
"June 30, 2019",1.507B
"March 31, 2019",993.00M
"Dec. 31, 2018",1.253B
"Sept. 30, 2018",1.695B
"June 30, 2018",1.662B
"March 31, 2018",996.00M
"Dec. 31, 2017",1.754B
"Sept. 30, 2017",1.195B
"June 30, 2017",1.214B
"March 31, 2017",772.00M
"Dec. 31, 2016",1.696B
"Sept. 30, 2016",1.28B
"June 30, 2016",1.302B
"March 31, 2016",125.00M
"Dec. 31, 2015",1.575B
"Sept. 30, 2015",1.45B
"June 30, 2015",1.165B
"March 31, 2015",256.00M
"Dec. 31, 2014",1.404B
"Sept. 30, 2014",974.00M
"June 30, 2014",1.112B
"March 31, 2014",496.00M
"Dec. 31, 2013",1.268B
"Sept. 30, 2013",867.00M
"June 30, 2013",1.06B
"March 31, 2013",193.00M
"Dec. 31, 2012",1.051B
"Sept. 30, 2012",765.00M
"June 30, 2012",773.00M
"March 31, 2012",44.00M
"Dec. 31, 2011",1.145B
"Sept. 30, 2011",484.00M
"June 30, 2011",973.00M
"March 31, 2011",-567.00M
"Dec. 31, 2010",745.00M
"Sept. 30, 2010",1.159B
"June 30, 2010",975.00M
"March 31, 2010",673.00M
"Dec. 31, 2009",1.074B
"Sept. 30, 2009",1.022B
"June 30, 2009",1.009B
"March 31, 2009",232.00M
"Dec. 31, 2008",927.00M
"Sept. 30, 2008",556.00M
"June 30, 2008",853.00M
"March 31, 2008",571.00M
"Dec. 31, 2007",1.13B
"Sept. 30, 2007",736.00M
"June 30, 2007",820.00M
"March 31, 2007",458.00M
"Dec. 31, 2006",941.00M
"Sept. 30, 2006",634.00M
"June 30, 2006",786.00M
"March 31, 2006",117.00M
"Dec. 31, 2005",611.00M
"Sept. 30, 2005",543.00M
"June 30, 2005",410.00M
"March 31, 2005",194.00M
"Dec. 31, 2004",540.00M
"Sept. 30, 2004",525.00M
"June 30, 2004",357.00M
"March 31, 2004",202.00M
"Dec. 31, 2003",255.00M
"Sept. 30, 2003",539.00M
"June 30, 2003",382.00M
"March 31, 2003",368.00M
"Dec. 31, 2002",527.00M
"Sept. 30, 2002",354.00M
"June 30, 2002",570.00M
"March 31, 2002",258.00M
"Dec. 31, 2001",375.00M
"Sept. 30, 2001",353.00M
"June 30, 2001",318.00M
"March 31, 2001",74.00M
"Dec. 31, 2000",361.00M
"Sept. 30, 2000",292.00M
"June 30, 2000",260.00M
"March 31, 2000",223.00M
"Dec. 31, 1999",555.00M
"Sept. 30, 1999",265.00M
"June 30, 1999",435.00M
"March 31, 1999",133.00M
"Dec. 31, 1998",564.00M
"Sept. 30, 1998",155.00M
"June 30, 1998",256.00M
"March 31, 1998",-38.00M
"Dec. 31, 1997",625.00M
"Sept. 30, 1997",139.00M
"June 30, 1997",207.00M
"March 31, 1997",-52.00M
"Dec. 31, 1996",424.00M
"Sept. 30, 1996",117.00M
"June 30, 1996",24.00M
"March 31, 1996",-124.00M
"Dec. 31, 1995",519.00M
"Sept. 30, 1995",-58.00M
"June 30, 1995",54.00M
"March 31, 1995",-45.00M
"Dec. 31, 1994",210.00M
"Sept. 30, 1994",141.00M
"June 30, 1994",98.00M
"March 31, 1994",-45.00M
"Dec. 31, 1993",304.00M
"Sept. 30, 1993",90.00M
"June 30, 1993",171.00M
"March 31, 1993",-103.00M
"Dec. 31, 1992",15.00M
"Sept. 30, 1992",118.00M
"June 30, 1992",158.00M
"March 31, 1992",87.00M
"Dec. 31, 1991",82.00M
"Sept. 30, 1991",134.00M
"June 30, 1991",241.00M
"March 31, 1991",-375.00M
"Dec. 31, 1990",267.00M
"Sept. 30, 1990",114.00M
"June 30, 1990",11.00M
"March 31, 1990",-65.00M
