date,revenues_ttm
"Dec. 31, 2019",36.71B
"Sept. 30, 2019",36.94B
"June 30, 2019",38.62B
"March 31, 2019",40.29B
"Dec. 31, 2018",41.80B
"Sept. 30, 2018",42.92B
"June 30, 2018",42.28B
"March 31, 2018",41.43B
"Dec. 31, 2017",40.53B
"Sept. 30, 2017",39.68B
"June 30, 2017",39.36B
"March 31, 2017",39.27B
"Dec. 31, 2016",39.30B
"Sept. 30, 2016",39.30B
"June 30, 2016",39.11B
"March 31, 2016",38.89B
"Dec. 31, 2015",38.58B
"Sept. 30, 2015",38.86B
"June 30, 2015",39.36B
"March 31, 2015",39.84B
"Dec. 31, 2014",40.31B
"Sept. 30, 2014",40.43B
"June 30, 2014",39.97B
"March 31, 2014",39.41B
"Dec. 31, 2013",39.06B
"Sept. 30, 2013",38.25B
"June 30, 2013",37.94B
"March 31, 2013",37.69B
"Dec. 31, 2012",37.66B
"Sept. 30, 2012",37.56B
"June 30, 2012",37.51B
"March 31, 2012",37.16B
"Dec. 31, 2011",36.53B
"Sept. 30, 2011",35.80B
"June 30, 2011",34.65B
"March 31, 2011",33.49B
"Dec. 31, 2010",32.59B
"Sept. 30, 2010",31.91B
"June 30, 2010",31.47B
"March 31, 2010",31.11B
"Dec. 31, 2009",30.91B
"Sept. 30, 2009",31.55B
"June 30, 2009",33.12B
"March 31, 2009",35.23B
"Dec. 31, 2008",36.56B
"Sept. 30, 2008",37.12B
"June 30, 2008",36.58B
"March 31, 2008",35.44B
"Dec. 31, 2007",34.59B
"Sept. 30, 2007",33.59B
"June 30, 2007",32.81B
"March 31, 2007",32.17B
"Dec. 31, 2006",31.37B
"Sept. 30, 2006",30.37B
"June 30, 2006",29.32B
"March 31, 2006",28.44B
"Dec. 31, 2005",27.65B
"Sept. 30, 2005",27.01B
"June 30, 2005",26.50B
"March 31, 2005",25.86B
"Dec. 31, 2004",25.59B
"Sept. 30, 2004",25.15B
"June 30, 2004",24.52B
"March 31, 2004",23.88B
"Dec. 31, 2003",23.10B
"Sept. 30, 2003",22.77B
"June 30, 2003",22.57B
"March 31, 2003",22.47B
"Dec. 31, 2002",22.27B
"Sept. 30, 2002",22.27B
"June 30, 2002",22.49B
"March 31, 2002",22.91B
"Dec. 31, 2001",23.65B
"Sept. 30, 2001",24.25B
"June 30, 2001",24.68B
"March 31, 2001",24.92B
"Dec. 31, 2000",25.02B
"Sept. 30, 2000",24.73B
"June 30, 2000",24.55B
"March 31, 2000",24.20B
"Dec. 31, 1999",23.74B
"Sept. 30, 1999",29.88B
"June 30, 1999",27.58B
"March 31, 1999",25.49B
"Dec. 31, 1998",23.56B
"Sept. 30, 1998",23.19B
"June 30, 1998",23.11B
"March 31, 1998",22.82B
"Dec. 31, 1997",22.50B
"Sept. 30, 1997",14.06B
"June 30, 1997",13.75B
"March 31, 1997",13.52B
"Dec. 31, 1996",13.97B
"Sept. 30, 1996",14.27B
"June 30, 1996",14.42B
"March 31, 1996",14.70B
"Dec. 31, 1995",14.35B
"Sept. 30, 1995",14.08B
"June 30, 1995",13.69B
"March 31, 1995",13.25B
"Dec. 31, 1994",12.82B
"Sept. 30, 1994",12.33B
"June 30, 1994",12.04B
"March 31, 1994",11.91B
"Dec. 31, 1993",11.83B
"Sept. 30, 1993",11.83B
"June 30, 1993",11.94B
"March 31, 1993",11.96B
"Dec. 31, 1992",12.04B
"Sept. 30, 1992",11.99B
"June 30, 1992",11.94B
"March 31, 1992",11.91B
"Dec. 31, 1991",11.83B
"Sept. 30, 1991",11.97B
"June 30, 1991",12.05B
"March 31, 1991",12.19B
"Dec. 31, 1990",12.34B
"Sept. 30, 1990",12.26B
"June 30, 1990",12.12B
"March 31, 1990",12.06B
"Dec. 31, 1989",11.94B
"Sept. 30, 1989",11.89B
"June 30, 1989",11.93B
"March 31, 1989",11.91B
"Dec. 31, 1988",11.91B
"Sept. 30, 1988",11.86B
"June 30, 1988",11.67B
"March 31, 1988",11.42B
"Dec. 31, 1987",11.12B
"Sept. 30, 1987",11.20B
"June 30, 1987",11.42B
"March 31, 1987",11.52B
"Dec. 31, 1986",11.79B
"Sept. 30, 1986",11.37B
"June 30, 1986",10.10B
"March 31, 1986",9.565B
"Dec. 31, 1985",9.115B
"Sept. 30, 1985",8.803B
"June 30, 1985",9.447B
"March 31, 1985",9.467B
"Dec. 31, 1984",9.462B
