date,long_term_debt
"Dec. 31, 2019",11.11B
"Sept. 30, 2019",11.10B
"June 30, 2019",8.608B
"March 31, 2019",8.598B
"Dec. 31, 2018",9.756B
"Sept. 30, 2018",14.06B
"June 30, 2018",12.50B
"March 31, 2018",12.74B
"Dec. 31, 2017",12.57B
"Sept. 30, 2017",11.45B
"June 30, 2017",11.33B
"March 31, 2017",11.18B
"Dec. 31, 2016",12.18B
"Sept. 30, 2016",9.608B
"June 30, 2016",9.607B
"March 31, 2016",9.70B
"Dec. 31, 2015",5.554B
"Sept. 30, 2015",5.599B
"June 30, 2015",5.562B
"March 31, 2015",5.661B
"Dec. 31, 2014",6.046B
"Sept. 30, 2014",6.76B
"June 30, 2014",6.839B
"March 31, 2014",6.804B
"Dec. 31, 2013",6.801B
"Sept. 30, 2013",5.789B
"June 30, 2013",5.779B
"March 31, 2013",5.787B
"Dec. 31, 2012",6.395B
"Sept. 30, 2012",6.391B
"June 30, 2012",6.342B
"March 31, 2012",6.269B
"Dec. 31, 2011",6.881B
"Sept. 30, 2011",6.88B
"June 30, 2011",6.79B
"March 31, 2011",6.763B
"Dec. 31, 2010",5.755B
"Sept. 30, 2010",6.265B
"June 30, 2010",6.254B
"March 31, 2010",6.246B
"Dec. 31, 2009",6.246B
"Sept. 30, 2009",6.256B
"June 30, 2009",6.251B
"March 31, 2009",6.266B
"Dec. 31, 2008",5.865B
"Sept. 30, 2008",5.963B
"June 30, 2008",6.575B
"March 31, 2008",6.576B
"Dec. 31, 2007",5.419B
"Sept. 30, 2007",5.391B
"June 30, 2007",4.485B
"March 31, 2007",4.704B
"Dec. 31, 2006",3.909B
"Sept. 30, 2006",3.909B
"June 30, 2006",3.911B
"March 31, 2006",3.964B
"Dec. 31, 2005",3.082B
"Sept. 30, 2005",3.972B
"June 30, 2005",4.091B
"March 31, 2005",4.042B
"Dec. 31, 2004",4.069B
"Sept. 30, 2004",4.839B
"June 30, 2004",4.825B
"March 31, 2004",4.954B
"Dec. 31, 2003",4.961B
"Sept. 30, 2003",5.006B
"June 30, 2003",5.042B
"March 31, 2003",4.721B
"Dec. 31, 2002",4.719B
"Sept. 30, 2002",4.708B
"June 30, 2002",4.707B
"March 31, 2002",4.653B
"Dec. 31, 2001",4.731B
"Sept. 30, 2001",3.519B
"June 30, 2001",3.503B
"March 31, 2001",3.906B
"Dec. 31, 2000",3.941B
"Sept. 30, 2000",4.155B
"June 30, 2000",3.444B
"March 31, 2000",3.477B
"Dec. 31, 1999",2.457B
"Sept. 30, 1999",1.287B
"June 30, 1999",1.453B
"March 31, 1999",1.457B
"Dec. 31, 1998",2.776B
"Sept. 30, 1998",1.459B
"June 30, 1998",1.638B
"March 31, 1998",1.592B
"Dec. 31, 1997",1.215B
"Sept. 30, 1997",1.313B
"June 30, 1997",1.263B
"March 31, 1997",1.256B
"Dec. 31, 1996",1.317B
"Sept. 30, 1996",1.317B
"June 30, 1996",1.33B
"March 31, 1996",1.344B
"Dec. 31, 1995",1.366B
"Sept. 30, 1995",1.377B
"June 30, 1995",1.304B
"March 31, 1995",1.317B
"Dec. 31, 1994",1.424B
"Sept. 30, 1994",1.446B
"June 30, 1994",1.531B
"March 31, 1994",1.552B
"Dec. 31, 1993",1.602B
"Sept. 30, 1993",1.573B
"June 30, 1993",1.571B
"March 31, 1993",1.577B
"Dec. 31, 1992",1.777B
"Sept. 30, 1992",1.811B
"June 30, 1992",1.755B
"March 31, 1992",1.716B
"Dec. 31, 1991",1.914B
"Sept. 30, 1991",2.108B
"June 30, 1991",2.068B
"March 31, 1991",2.046B
"Dec. 31, 1990",2.051B
"Sept. 30, 1990",1.809B
"June 30, 1990",1.747B
"March 31, 1990",1.888B
"Dec. 31, 1989",1.903B
"Sept. 30, 1989",2.095B
"Dec. 31, 1988",2.044B
"Dec. 31, 1987",2.017B
"Dec. 31, 1986",2.127B
"Dec. 31, 1985",2.086B
"Dec. 31, 1984",1.53B
