date,three_year_return
"March 19, 2020",-5.40%
"March 18, 2020",-4.88%
"March 17, 2020",4.81%
"March 16, 2020",8.25%
"March 13, 2020",19.22%
"March 12, 2020",7.34%
"March 11, 2020",22.10%
"March 10, 2020",28.71%
"March 9, 2020",22.50%
"March 6, 2020",31.56%
"March 5, 2020",32.14%
"March 4, 2020",37.16%
"March 3, 2020",29.71%
"March 2, 2020",31.47%
"Feb. 28, 2020",31.72%
"Feb. 27, 2020",29.19%
"Feb. 26, 2020",35.22%
"Feb. 25, 2020",35.72%
"Feb. 24, 2020",41.76%
"Feb. 21, 2020",45.86%
"Feb. 20, 2020",46.70%
"Feb. 19, 2020",46.83%
"Feb. 18, 2020",45.66%
"Feb. 14, 2020",47.91%
"Feb. 13, 2020",47.34%
"Feb. 12, 2020",50.36%
"Feb. 11, 2020",48.68%
"Feb. 10, 2020",46.85%
"Feb. 7, 2020",48.05%
"Feb. 6, 2020",49.43%
"Feb. 5, 2020",50.09%
"Feb. 4, 2020",48.65%
"Feb. 3, 2020",45.35%
"Jan. 31, 2020",48.05%
"Jan. 30, 2020",51.41%
"Jan. 29, 2020",50.01%
"Jan. 28, 2020",49.83%
"Jan. 27, 2020",48.19%
"Jan. 24, 2020",51.85%
"Jan. 23, 2020",54.67%
"Jan. 22, 2020",54.54%
"Jan. 21, 2020",55.29%
"Jan. 17, 2020",58.06%
"Jan. 16, 2020",56.10%
"Jan. 15, 2020",54.79%
"Jan. 14, 2020",54.55%
"Jan. 13, 2020",55.25%
"Jan. 10, 2020",53.32%
"Jan. 9, 2020",54.05%
"Jan. 8, 2020",51.66%
"Jan. 7, 2020",51.53%
"Jan. 6, 2020",51.44%
"Jan. 3, 2020",55.68%
"Jan. 2, 2020",57.81%
"Dec. 31, 2019",54.50%
"Dec. 30, 2019",54.00%
"Dec. 27, 2019",52.49%
"Dec. 26, 2019",52.89%
"Dec. 24, 2019",52.40%
"Dec. 23, 2019",52.50%
"Dec. 20, 2019",51.55%
"Dec. 19, 2019",52.17%
"Dec. 18, 2019",51.75%
"Dec. 17, 2019",53.54%
"Dec. 16, 2019",53.28%
"Dec. 13, 2019",51.55%
"Dec. 12, 2019",52.78%
"Dec. 11, 2019",53.14%
"Dec. 10, 2019",51.42%
"Dec. 9, 2019",51.81%
"Dec. 6, 2019",56.92%
"Dec. 5, 2019",55.89%
"Dec. 4, 2019",55.76%
"Dec. 3, 2019",55.17%
"Dec. 2, 2019",56.76%
"Nov. 29, 2019",59.31%
"Nov. 27, 2019",58.92%
"Nov. 26, 2019",58.12%
"Nov. 25, 2019",56.34%
"Nov. 22, 2019",58.89%
"Nov. 21, 2019",59.09%
"Nov. 20, 2019",59.88%
"Nov. 19, 2019",62.50%
"Nov. 18, 2019",62.21%
"Nov. 15, 2019",62.48%
"Nov. 14, 2019",60.71%
"Nov. 13, 2019",62.47%
"Nov. 12, 2019",62.52%
"Nov. 11, 2019",61.47%
"Nov. 8, 2019",65.65%
"Nov. 7, 2019",63.31%
"Nov. 6, 2019",68.91%
"Nov. 5, 2019",68.79%
"Nov. 4, 2019",68.15%
"Nov. 1, 2019",63.17%
"Oct. 31, 2019",59.26%
"Oct. 30, 2019",60.76%
"Oct. 29, 2019",59.43%
"Oct. 28, 2019",58.99%
"Oct. 25, 2019",59.13%
"Oct. 24, 2019",58.69%
"Oct. 23, 2019",57.64%
"Oct. 22, 2019",56.79%
"Oct. 21, 2019",56.79%
"Oct. 18, 2019",55.22%
"Oct. 17, 2019",56.80%
"Oct. 16, 2019",51.81%
"Oct. 15, 2019",51.82%
"Oct. 14, 2019",51.20%
"Oct. 11, 2019",56.33%
"Oct. 10, 2019",52.42%
"Oct. 9, 2019",51.15%
"Oct. 8, 2019",49.99%
"Oct. 7, 2019",54.31%
"Oct. 4, 2019",44.04%
"Oct. 3, 2019",40.75%
"Oct. 2, 2019",40.51%
"Oct. 1, 2019",43.22%
"Sept. 30, 2019",47.59%
"Sept. 27, 2019",47.06%
"Sept. 26, 2019",46.52%
"Sept. 25, 2019",46.38%
"Sept. 24, 2019",45.35%
"Sept. 23, 2019",46.56%
"Sept. 20, 2019",49.01%
"Sept. 19, 2019",48.08%
"Sept. 18, 2019",49.51%
"Sept. 17, 2019",48.16%
"Sept. 16, 2019",47.94%
"Sept. 13, 2019",52.83%
"Sept. 12, 2019",51.11%
"Sept. 11, 2019",55.51%
"Sept. 10, 2019",54.00%
"Sept. 9, 2019",54.04%
"Sept. 6, 2019",50.44%
"Sept. 5, 2019",48.87%
"Sept. 4, 2019",46.04%
"Sept. 3, 2019",42.89%
"Aug. 30, 2019",43.07%
"Aug. 29, 2019",42.00%
"Aug. 28, 2019",38.98%
"Aug. 27, 2019",37.18%
"Aug. 26, 2019",36.68%
"Aug. 23, 2019",36.01%
"Aug. 22, 2019",42.11%
"Aug. 21, 2019",43.46%
"Aug. 20, 2019",43.18%
"Aug. 19, 2019",45.28%
"Aug. 16, 2019",44.40%
"Aug. 15, 2019",41.24%
"Aug. 14, 2019",43.69%
"Aug. 13, 2019",47.15%
