date,cash_dividend_payout_ratio
"Dec. 31, 2019",40.31%
"Sept. 30, 2019",47.71%
"June 30, 2019",43.30%
"March 31, 2019",41.44%
"Dec. 31, 2018",40.53%
"Sept. 30, 2018",36.58%
"June 30, 2018",38.99%
"March 31, 2018",42.10%
"Dec. 31, 2017",42.94%
"Sept. 30, 2017",42.22%
"June 30, 2017",40.45%
"March 31, 2017",38.00%
"Dec. 31, 2016",43.49%
"Sept. 30, 2016",43.79%
"June 30, 2016",41.15%
"March 31, 2016",41.95%
"Dec. 31, 2015",38.82%
"Sept. 30, 2015",39.06%
"June 30, 2015",42.77%
"March 31, 2015",41.70%
"Dec. 31, 2014",37.88%
"Sept. 30, 2014",37.90%
"June 30, 2014",38.04%
"March 31, 2014",37.77%
"Dec. 31, 2013",39.94%
"Sept. 30, 2013",41.82%
"June 30, 2013",42.16%
"March 31, 2013",44.64%
"Dec. 31, 2012",45.99%
"Sept. 30, 2012",43.09%
"June 30, 2012",46.73%
"March 31, 2012",42.25%
"Dec. 31, 2011",53.61%
"Sept. 30, 2011",63.36%
"June 30, 2011",43.72%
"March 31, 2011",42.26%
"Dec. 31, 2010",26.58%
"Sept. 30, 2010",24.17%
"June 30, 2010",24.84%
"March 31, 2010",24.48%
"Dec. 31, 2009",27.51%
"Sept. 30, 2009",27.74%
"June 30, 2009",31.35%
"March 31, 2009",32.36%
"Dec. 31, 2008",27.90%
"Sept. 30, 2008",25.63%
"June 30, 2008",23.83%
"March 31, 2008",23.70%
"Dec. 31, 2007",24.40%
"Sept. 30, 2007",25.85%
"June 30, 2007",26.64%
"March 31, 2007",26.75%
"Dec. 31, 2006",30.02%
"Sept. 30, 2006",34.08%
"June 30, 2006",35.20%
"March 31, 2006",42.42%
"Dec. 31, 2005",39.82%
"Sept. 30, 2005",40.78%
"June 30, 2005",40.32%
"March 31, 2005",40.72%
"Dec. 31, 2004",39.59%
"Sept. 30, 2004",48.17%
"June 30, 2004",47.67%
"March 31, 2004",46.81%
"Dec. 31, 2003",41.77%
"Sept. 30, 2003",35.08%
"June 30, 2003",38.63%
"March 31, 2003",34.19%
"Dec. 31, 2002",35.93%
"Sept. 30, 2002",39.31%
"June 30, 2002",48.97%
"March 31, 2002",46.70%
"Dec. 31, 2001",54.38%
"Sept. 30, 2001",54.97%
"June 30, 2001",43.44%
"March 31, 2001",61.09%
"Dec. 31, 2000",52.73%
"Sept. 30, 2000",43.61%
"June 30, 2000",43.13%
"March 31, 2000",36.94%
"Dec. 31, 1999",37.97%
"Sept. 30, 1999",44.52%
"June 30, 1999",44.60%
"March 31, 1999",47.47%
"Dec. 31, 1998",51.33%
"Sept. 30, 1998",46.79%
"June 30, 1998",46.44%
"March 31, 1998",47.91%
"Dec. 31, 1997",47.23%
"Sept. 30, 1997",39.97%
"June 30, 1997",40.23%
"March 31, 1997",52.44%
"Dec. 31, 1996",59.41%
"Sept. 30, 1996",46.64%
"June 30, 1996",65.93%
"March 31, 1996",58.31%
"Dec. 31, 1995",46.17%
"Sept. 30, 1995",129.8%
"June 30, 1995",56.11%
"March 31, 1995",47.77%
"Dec. 31, 1994",44.55%
"Sept. 30, 1994",34.74%
"June 30, 1994",37.36%
"March 31, 1994",31.15%
"Dec. 31, 1993",35.06%
"Sept. 30, 1993",93.06%
"June 30, 1993",77.11%
"March 31, 1993",79.26%
"Dec. 31, 1992",37.83%
"Sept. 30, 1992",31.24%
"June 30, 1992",36.01%
"March 31, 1992",35.29%
"Dec. 31, 1991",265.9%
"Sept. 30, 1991",91.39%
"June 30, 1991",98.79%
"March 31, 1991",1.44K%
"Dec. 31, 1990",75.84%
