date,ni_per_employee_annual
"Dec. 31, 2019",54123.35
"Dec. 31, 2018",55224.49
"Dec. 31, 2017",11793.89
"Dec. 31, 2016",37015.38
"Dec. 31, 2015",37250.00
"Dec. 31, 2014",32860.47
"Dec. 31, 2013",29840.30
"Dec. 31, 2012",22166.67
"Dec. 31, 2011",15778.63
"Dec. 31, 2010",16047.62
"Dec. 31, 2009",12384.00
"Dec. 31, 2008",22336.00
"Dec. 31, 2007",20366.67
"Dec. 31, 2006",17803.42
"Dec. 31, 2005",14560.00
"Dec. 31, 2004",11483.87
"Dec. 31, 2003",12259.26
"Dec. 31, 2002",-1973.09
"Dec. 31, 2001",-825.00
"Dec. 31, 2000",13542.86
"Dec. 31, 1999",16186.97
"Dec. 31, 1998",27012.07
"Dec. 31, 1997",22311.35
"Dec. 31, 1996",12356.15
"Dec. 31, 1995",9943.18
"Dec. 31, 1994",8729.15
"Dec. 31, 1993",4678.43
"Dec. 31, 1992",-7590.62
"Dec. 31, 1991",-2675.16
"Dec. 31, 1990",4340.07
