date,shares_outstanding
"Feb. 28, 2020",707.29M
"Jan. 25, 2020",712.60M
"Dec. 31, 2019",711.10M
"Sept. 30, 2019",714.53M
"June 30, 2019",719.51M
"March 31, 2019",727.74M
"March 1, 2019",728.37M
"Jan. 25, 2019",729.09M
"Dec. 31, 2018",729.60M
"Sept. 30, 2018",740.70M
"June 30, 2018",742.61M
"March 31, 2018",746.93M
"Feb. 23, 2018",748.38M
"Jan. 26, 2018",752.00M
"Dec. 31, 2017",750.90M
"Nov. 25, 2017",756.81M
"Sept. 30, 2017",761.82M
"June 30, 2017",760.57M
"March 31, 2017",762.34M
"Feb. 24, 2017",760.72M
"Jan. 27, 2017",761.19M
"Dec. 31, 2016",760.80M
"Sept. 30, 2016",762.12M
"June 30, 2016",760.87M
"March 31, 2016",762.12M
"Feb. 26, 2016",761.34M
"Jan. 29, 2016",769.32M
"Sept. 30, 2015",770.69M
"June 30, 2015",781.76M
"March 31, 2015",781.71M
"Feb. 27, 2015",780.63M
"Jan. 23, 2015",782.66M
"Dec. 31, 2014",782.20M
"Sept. 30, 2014",782.81M
"June 30, 2014",782.54M
"March 31, 2014",783.12M
"Feb. 28, 2014",781.99M
"Jan. 24, 2014",784.13M
"Dec. 31, 2013",783.80M
"Sept. 30, 2013",784.67M
"June 30, 2013",784.84M
"March 31, 2013",786.78M
"Feb. 22, 2013",782.52M
"Jan. 25, 2013",783.79M
"Dec. 31, 2012",782.80M
"Sept. 30, 2012",783.37M
"June 30, 2012",780.57M
"March 31, 2012",779.18M
"Feb. 24, 2012",776.28M
"Jan. 31, 2012",775.36M
"Dec. 31, 2011",774.70M
"Sept. 30, 2011",773.50M
"June 30, 2011",782.43M
"March 31, 2011",787.01M
"Feb. 25, 2011",785.08M
"Jan. 31, 2011",784.12M
"Dec. 31, 2010",783.00M
"Sept. 30, 2010",780.17M
"June 30, 2010",772.21M
"March 31, 2010",766.18M
"Feb. 26, 2010",764.98M
"Jan. 31, 2010",764.55M
"Dec. 31, 2009",764.21M
"Sept. 30, 2009",763.04M
"June 30, 2009",752.05M
"March 31, 2009",743.85M
"Jan. 31, 2009",735.18M
"Sept. 30, 2008",726.29M
"June 30, 2008",744.44M
"March 31, 2008",741.52M
"Jan. 31, 2008",744.38M
"Dec. 31, 2007",746.55M
"Sept. 30, 2007",746.77M
"June 30, 2007",748.40M
"March 31, 2007",779.72M
"Jan. 31, 2007",799.93M
"Dec. 31, 2006",800.59M
"Sept. 30, 2006",816.51M
"June 30, 2006",818.94M
"March 31, 2006",827.94M
"Jan. 31, 2006",830.61M
"Dec. 31, 2005",829.48M
"Sept. 30, 2005",842.76M
"June 30, 2005",855.15M
"March 31, 2005",853.03M
"Jan. 31, 2005",850.77M
"Dec. 31, 2004",850.01M
"Sept. 30, 2004",860.17M
"June 30, 2004",859.57M
"March 31, 2004",859.20M
"Feb. 27, 2004",858.79M
"Dec. 31, 2003",862.33M
"Sept. 30, 2003",862.05M
"June 30, 2003",860.05M
"March 31, 2003",857.90M
"Feb. 21, 2003",855.59M
"Dec. 31, 2002",854.49M
"Sept. 30, 2002",821.05M
"June 30, 2002",819.29M
"March 31, 2002",817.61M
"Dec. 31, 2001",814.97M
"Sept. 30, 2001",813.19M
"June 30, 2001",811.62M
"March 31, 2001",809.28M
"Dec. 31, 2000",807.29M
"Sept. 30, 2000",797.49M
"June 30, 2000",801.05M
"March 31, 2000",798.16M
"Dec. 31, 1999",795.13M
"Sept. 30, 1999",552.60M
"June 30, 1999",550.22M
"March 31, 1999",552.69M
"Jan. 31, 1999",557.13M
"Dec. 31, 1998",558.47M
"Sept. 30, 1998",560.05M
"June 30, 1998",561.26M
"March 31, 1998",565.32M
"Jan. 31, 1998",566.02M
"Dec. 31, 1997",558.34M
"Sept. 30, 1997",564.11M
"June 30, 1997",565.97M
"March 31, 1997",566.02M
"Dec. 31, 1996",565.63M
"Sept. 30, 1996",565.60M
"June 30, 1996",565.49M
"March 31, 1996",565.53M
"Dec. 31, 1995",565.54M
"Sept. 30, 1995",565.71M
"June 30, 1995",566.32M
"March 31, 1995",568.60M
"Dec. 31, 1994",566.26M
"Sept. 30, 1994",565.97M
"June 30, 1994",565.59M
"March 31, 1994",569.06M
"Dec. 31, 1993",567.67M
"Sept. 30, 1993",566.71M
"June 30, 1993",564.24M
"March 31, 1993",567.76M
"Dec. 31, 1992",567.53M
"Sept. 30, 1992",566.55M
"June 30, 1992",564.43M
"March 31, 1992",560.83M
"Dec. 31, 1991",552.60M
"Sept. 30, 1991",549.72M
"June 30, 1991",546.23M
"March 31, 1991",542.89M
"Dec. 31, 1990",538.75M
"Sept. 30, 1990",539.18M
"June 30, 1990",553.26M
"March 31, 1990",560.31M
"Dec. 31, 1989",580.01M
"Sept. 30, 1989",600.03M
"June 30, 1989",591.84M
"March 31, 1989",593.38M
"Dec. 31, 1988",591.84M
"Sept. 30, 1988",599.80M
"June 30, 1988",599.80M
"March 31, 1988",599.80M
"Dec. 31, 1987",599.80M
"Sept. 30, 1987",686.66M
"June 30, 1987",693.71M
"March 31, 1987",697.41M
"Dec. 31, 1986",697.41M
"Sept. 30, 1986",700.13M
"June 30, 1986",705.28M
"March 31, 1986",700.78M
"Dec. 31, 1985",700.78M
"Sept. 30, 1985",700.78M
"June 30, 1985",700.78M
"March 31, 1985",700.78M
"Dec. 31, 1984",332.12M
"Sept. 30, 1984",332.12M
"June 30, 1984",332.12M
"March 31, 1984",332.12M
