date,revenue_per_employee_annual
"Dec. 31, 2019",323427.3
"Dec. 31, 2018",341240.8
"Dec. 31, 2017",309419.8
"Dec. 31, 2016",302323.1
"Dec. 31, 2015",301414.1
"Dec. 31, 2014",312449.6
"Dec. 31, 2013",296996.2
"Dec. 31, 2012",285340.9
"Dec. 31, 2011",278847.3
"Dec. 31, 2010",256746.0
"Dec. 31, 2009",247264.0
"Dec. 31, 2008",292448.0
"Dec. 31, 2007",288241.7
"Dec. 31, 2006",268094.0
"Dec. 31, 2005",245804.4
"Dec. 31, 2004",235880.2
"Dec. 31, 2003",213916.7
"Dec. 31, 2002",199766.8
"Dec. 31, 2001",197100.0
"Dec. 31, 2000",204269.4
"Dec. 31, 1999",249317.2
"Dec. 31, 1998",334350.6
"Dec. 31, 1997",305900.7
"Dec. 31, 1996",169242.9
"Dec. 31, 1995",163022.7
"Dec. 31, 1994",147406.6
"Dec. 31, 1993",134627.2
"Dec. 31, 1992",128379.5
"Dec. 31, 1991",115933.4
"Dec. 31, 1990",115951.2
