date,net_income_annual_cs_rev
"Dec. 31, 2019",16.73%
"Dec. 31, 2018",16.18%
"Dec. 31, 2017",3.81%
"Dec. 31, 2016",12.24%
"Dec. 31, 2015",12.36%
"Dec. 31, 2014",10.52%
"Dec. 31, 2013",10.05%
"Dec. 31, 2012",7.77%
"Dec. 31, 2011",5.66%
"Dec. 31, 2010",6.25%
"Dec. 31, 2009",5.01%
"Dec. 31, 2008",7.64%
"Dec. 31, 2007",7.07%
"Dec. 31, 2006",6.64%
"Dec. 31, 2005",5.92%
"Dec. 31, 2004",4.87%
"Dec. 31, 2003",5.73%
"Dec. 31, 2002",-0.99%
"Dec. 31, 2001",-0.42%
"Dec. 31, 2000",6.63%
"Dec. 31, 1999",6.49%
"Dec. 31, 1998",8.08%
"Dec. 31, 1997",7.29%
"Dec. 31, 1996",7.30%
"Dec. 31, 1995",6.10%
"Dec. 31, 1994",5.92%
"Dec. 31, 1993",3.48%
"Dec. 31, 1992",-5.91%
"Dec. 31, 1991",-2.31%
"Dec. 31, 1990",3.74%
"Dec. 31, 1989",4.42%
"Dec. 31, 1988",3.89%
"Dec. 31, 1987",4.66%
"Dec. 31, 1986",5.13%
"Dec. 31, 1985",-3.06%
"Dec. 31, 1984",5.16%
