date,cash_on_hand
"Dec. 31, 2019",10.42B
"Sept. 30, 2019",12.36B
"June 30, 2019",9.943B
"March 31, 2019",10.68B
"Dec. 31, 2018",10.91B
"Sept. 30, 2018",11.65B
"June 30, 2018",9.85B
"March 31, 2018",10.28B
"Dec. 31, 2017",10.82B
"Sept. 30, 2017",10.17B
"June 30, 2017",9.821B
"March 31, 2017",9.595B
"Dec. 31, 2016",9.363B
"Sept. 30, 2016",6.431B
"June 30, 2016",5.045B
"March 31, 2016",4.473B
"Dec. 31, 2015",5.455B
"Sept. 30, 2015",6.563B
"June 30, 2015",5.954B
"March 31, 2015",6.575B
"Dec. 31, 2014",6.959B
"Sept. 30, 2014",6.428B
"June 30, 2014",6.582B
"March 31, 2014",6.672B
"Dec. 31, 2013",6.422B
"Sept. 30, 2013",5.499B
"June 30, 2013",4.549B
"March 31, 2013",4.539B
"Dec. 31, 2012",4.634B
"Sept. 30, 2012",4.76B
"June 30, 2012",4.221B
"March 31, 2012",3.988B
"Dec. 31, 2011",3.698B
"Sept. 30, 2011",3.885B
"June 30, 2011",3.548B
"March 31, 2011",3.076B
"Dec. 31, 2010",2.65B
"Sept. 30, 2010",3.233B
"June 30, 2010",3.911B
"March 31, 2010",3.557B
"Dec. 31, 2009",2.801B
"Sept. 30, 2009",2.604B
"June 30, 2009",2.606B
"March 31, 2009",2.052B
"Dec. 31, 2008",2.065B
"Sept. 30, 2008",2.292B
"June 30, 2008",2.204B
"March 31, 2008",2.234B
"Dec. 31, 2007",1.829B
"Sept. 30, 2007",1.787B
"June 30, 2007",1.633B
"March 31, 2007",1.378B
"Dec. 31, 2006",1.224B
"Sept. 30, 2006",1.415B
"June 30, 2006",1.424B
"March 31, 2006",1.442B
"Dec. 31, 2005",1.234B
"Sept. 30, 2005",1.452B
"June 30, 2005",1.929B
"March 31, 2005",4.096B
"Dec. 31, 2004",3.586B
"Sept. 30, 2004",3.433B
"June 30, 2004",3.232B
"March 31, 2004",3.20B
"Dec. 31, 2003",2.95B
"Sept. 30, 2003",2.87B
"June 30, 2003",2.626B
"March 31, 2003",2.29B
"Dec. 31, 2002",2.021B
"Sept. 30, 2002",2.002B
"June 30, 2002",1.976B
"March 31, 2002",1.592B
"Dec. 31, 2001",1.393B
"Sept. 30, 2001",1.324B
"June 30, 2001",1.23B
"March 31, 2001",1.074B
"Dec. 31, 2000",1.196B
"Sept. 30, 2000",2.065B
"June 30, 2000",959.00M
"March 31, 2000",1.00B
"Dec. 31, 1999",1.991B
"Sept. 30, 1999",981.00M
"June 30, 1999",648.00M
"March 31, 1999",795.00M
"Dec. 31, 1998",1.018B
"Sept. 30, 1998",566.00M
"June 30, 1998",529.00M
"March 31, 1998",537.00M
"Dec. 31, 1997",1.041B
"Sept. 30, 1997",959.00M
"June 30, 1997",1.465B
"March 31, 1997",1.665B
"Dec. 31, 1996",1.766B
"Sept. 30, 1996",1.801B
"June 30, 1996",1.714B
"March 31, 1996",558.00M
"Dec. 31, 1995",540.00M
"Sept. 30, 1995",545.00M
"June 30, 1995",575.00M
"March 31, 1995",512.00M
"Dec. 31, 1994",508.00M
"Sept. 30, 1994",790.00M
"June 30, 1994",688.00M
"March 31, 1994",811.00M
"Dec. 31, 1993",892.00M
"Sept. 30, 1993",802.00M
"June 30, 1993",877.00M
"March 31, 1993",802.00M
"Dec. 31, 1992",931.00M
"Sept. 30, 1992",539.00M
"June 30, 1992",400.00M
"March 31, 1992",316.00M
"Dec. 31, 1991",238.00M
"Sept. 30, 1991",335.00M
"June 30, 1991",286.00M
"March 31, 1991",270.00M
"Dec. 31, 1990",382.00M
"Sept. 30, 1990",276.00M
"June 30, 1990",292.00M
"March 31, 1990",335.00M
"Dec. 31, 1989",525.00M
"Sept. 30, 1989",512.00M
"Dec. 31, 1988",397.00M
"Dec. 31, 1987",349.00M
"Dec. 31, 1986",193.00M
"Dec. 31, 1985",1.125B
"Dec. 31, 1984",136.00M
