date,beneish_m_score
"Dec. 31, 2019",-2.561
"Dec. 31, 2018",-2.548
"Dec. 31, 2017",-2.787
"Dec. 31, 2016",-2.551
"Dec. 31, 2015",-2.481
"Dec. 31, 2014",-2.561
"Dec. 31, 2013",-2.519
"Dec. 31, 2012",-2.592
"Dec. 31, 2011",-3.368
"Dec. 31, 2010",-3.655
"Dec. 31, 2009",-3.821
"Dec. 31, 2008",-3.462
"Dec. 31, 2007",-2.617
"Dec. 31, 2006",-2.700
"Dec. 31, 2005",-2.521
"Dec. 31, 2004",-2.441
"Dec. 31, 2003",-2.526
"Dec. 31, 2002",-3.049
"Dec. 31, 2001",-2.691
"Dec. 31, 2000",-2.344
"Dec. 31, 1999",-2.614
"Dec. 31, 1998",-1.527
"Dec. 31, 1997",-2.397
"Dec. 31, 1996",-2.526
"Dec. 31, 1995",-2.543
"Dec. 31, 1994",-2.301
"Dec. 31, 1993",-3.472
"Dec. 31, 1992",-3.699
"Dec. 31, 1991",-4.002
"Dec. 31, 1990",-3.609
