date,historical_daily_var_1_all
"Feb. 29, 2020",4.88%
"Jan. 31, 2020",4.89%
"Dec. 31, 2019",4.90%
"Nov. 30, 2019",4.91%
"Oct. 31, 2019",4.92%
"Sept. 30, 2019",4.93%
"Aug. 31, 2019",4.94%
"July 31, 2019",4.95%
"June 30, 2019",4.96%
"May 31, 2019",4.97%
"April 30, 2019",4.98%
"March 31, 2019",4.98%
"Feb. 28, 2019",4.99%
"Jan. 31, 2019",5.00%
"Dec. 31, 2018",5.00%
"Nov. 30, 2018",5.00%
"Oct. 31, 2018",5.01%
"Sept. 30, 2018",5.01%
"Aug. 31, 2018",5.01%
"July 31, 2018",5.02%
"June 30, 2018",5.02%
"May 31, 2018",5.03%
"April 30, 2018",5.04%
"March 31, 2018",5.04%
"Feb. 28, 2018",5.04%
"Jan. 31, 2018",5.04%
"Dec. 31, 2017",5.04%
"Nov. 30, 2017",5.04%
"Oct. 31, 2017",5.05%
"Sept. 30, 2017",5.05%
"Aug. 31, 2017",5.06%
"July 31, 2017",5.06%
"June 30, 2017",5.06%
"May 31, 2017",5.07%
"April 30, 2017",5.07%
"March 31, 2017",5.07%
"Feb. 28, 2017",5.07%
"Jan. 31, 2017",5.07%
"Dec. 31, 2016",5.07%
"Nov. 30, 2016",5.07%
"Oct. 31, 2016",5.07%
"Sept. 30, 2016",5.07%
"Aug. 31, 2016",5.07%
"July 31, 2016",5.07%
"June 30, 2016",5.07%
"May 31, 2016",5.07%
"April 30, 2016",5.08%
"March 31, 2016",5.10%
"Feb. 29, 2016",5.11%
"Jan. 31, 2016",5.12%
"Dec. 31, 2015",5.14%
"Nov. 30, 2015",5.14%
"Oct. 31, 2015",5.14%
"Sept. 30, 2015",5.15%
"Aug. 31, 2015",5.15%
"July 31, 2015",5.15%
"June 30, 2015",5.16%
"May 31, 2015",5.17%
"April 30, 2015",5.17%
"March 31, 2015",5.18%
"Feb. 28, 2015",5.19%
"Jan. 31, 2015",5.20%
"Dec. 31, 2014",5.21%
"Nov. 30, 2014",5.22%
"Oct. 31, 2014",5.22%
"Sept. 30, 2014",5.23%
"Aug. 31, 2014",5.23%
"July 31, 2014",5.23%
"June 30, 2014",5.23%
"May 31, 2014",5.23%
"April 30, 2014",5.24%
"March 31, 2014",5.24%
"Feb. 28, 2014",5.24%
"Jan. 31, 2014",5.24%
"Dec. 31, 2013",5.24%
"Nov. 30, 2013",5.25%
"Oct. 31, 2013",5.25%
"Sept. 30, 2013",5.25%
"Aug. 31, 2013",5.25%
"July 31, 2013",5.25%
"June 30, 2013",5.25%
"May 31, 2013",5.25%
"April 30, 2013",5.26%
"March 31, 2013",5.26%
"Feb. 28, 2013",5.27%
"Jan. 31, 2013",5.27%
"Dec. 31, 2012",5.28%
"Nov. 30, 2012",5.28%
"Oct. 31, 2012",5.29%
"Sept. 30, 2012",5.30%
"Aug. 31, 2012",5.31%
"July 31, 2012",5.31%
"June 30, 2012",5.32%
"May 31, 2012",5.32%
"April 30, 2012",5.33%
"March 31, 2012",5.33%
"Feb. 29, 2012",5.34%
"Jan. 31, 2012",5.34%
"Dec. 31, 2011",5.34%
"Nov. 30, 2011",5.34%
"Oct. 31, 2011",5.35%
"Sept. 30, 2011",5.35%
"Aug. 31, 2011",5.34%
"July 31, 2011",5.25%
"June 30, 2011",5.25%
"May 31, 2011",5.26%
"April 30, 2011",5.26%
"March 31, 2011",5.27%
"Feb. 28, 2011",5.27%
"Jan. 31, 2011",5.28%
"Dec. 31, 2010",5.28%
"Nov. 30, 2010",5.29%
"Oct. 31, 2010",5.30%
"Sept. 30, 2010",5.31%
"Aug. 31, 2010",5.31%
"July 31, 2010",5.32%
"June 30, 2010",5.32%
"May 31, 2010",5.33%
"April 30, 2010",5.33%
"March 31, 2010",5.34%
"Feb. 28, 2010",5.34%
"Jan. 31, 2010",5.34%
"Dec. 31, 2009",5.34%
"Nov. 30, 2009",5.35%
"Oct. 31, 2009",5.35%
"Sept. 30, 2009",5.35%
"Aug. 31, 2009",5.35%
"July 31, 2009",5.35%
"June 30, 2009",5.36%
"May 31, 2009",5.36%
"April 30, 2009",5.37%
"March 31, 2009",5.35%
"Feb. 28, 2009",5.33%
"Jan. 31, 2009",5.32%
"Dec. 31, 2008",5.29%
"Nov. 30, 2008",5.27%
"Oct. 31, 2008",5.21%
"Sept. 30, 2008",5.13%
"Aug. 31, 2008",5.08%
"July 31, 2008",5.09%
"June 30, 2008",5.11%
"May 31, 2008",5.07%
"April 30, 2008",5.07%
"March 31, 2008",5.09%
"Feb. 29, 2008",5.10%
"Jan. 31, 2008",5.11%
"Dec. 31, 2007",5.13%
"Nov. 30, 2007",5.14%
"Oct. 31, 2007",5.14%
"Sept. 30, 2007",5.15%
"Aug. 31, 2007",5.15%
"July 31, 2007",5.15%
"June 30, 2007",5.16%
"May 31, 2007",5.16%
"April 30, 2007",5.17%
"March 31, 2007",5.18%
"Feb. 28, 2007",5.18%
"Jan. 31, 2007",5.19%
"Dec. 31, 2006",5.20%
"Nov. 30, 2006",5.21%
"Oct. 31, 2006",5.22%
"Sept. 30, 2006",5.23%
"Aug. 31, 2006",5.23%
"July 31, 2006",5.23%
"June 30, 2006",5.23%
"May 31, 2006",5.23%
"April 30, 2006",5.23%
"March 31, 2006",5.24%
"Feb. 28, 2006",5.24%
"Jan. 31, 2006",5.24%
"Dec. 31, 2005",5.24%
"Nov. 30, 2005",5.25%
"Oct. 31, 2005",5.25%
"Sept. 30, 2005",5.25%
"Aug. 31, 2005",5.25%
"July 31, 2005",5.26%
"June 30, 2005",5.26%
"May 31, 2005",5.27%
"April 30, 2005",5.28%
"March 31, 2005",5.28%
"Feb. 28, 2005",5.29%
"Jan. 31, 2005",5.30%
"Dec. 31, 2004",5.31%
"Nov. 30, 2004",5.31%
"Oct. 31, 2004",5.32%
"Sept. 30, 2004",5.32%
"Aug. 31, 2004",5.33%
"July 31, 2004",5.33%
"June 30, 2004",5.34%
"May 31, 2004",5.34%
"April 30, 2004",5.35%
"March 31, 2004",5.35%
"Feb. 29, 2004",5.35%
"Jan. 31, 2004",5.37%
"Dec. 31, 2003",5.39%
"Nov. 30, 2003",5.42%
"Oct. 31, 2003",5.44%
"Sept. 30, 2003",5.46%
"Aug. 31, 2003",5.47%
"July 31, 2003",5.48%
"June 30, 2003",5.49%
"May 31, 2003",5.49%
"April 30, 2003",5.50%
"March 31, 2003",5.50%
"Feb. 28, 2003",5.48%
"Jan. 31, 2003",5.49%
"Dec. 31, 2002",5.50%
"Nov. 30, 2002",5.50%
"Oct. 31, 2002",5.48%
"Sept. 30, 2002",5.42%
"Aug. 31, 2002",5.33%
"July 31, 2002",5.32%
"June 30, 2002",5.29%
"May 31, 2002",5.30%
"April 30, 2002",5.30%
"March 31, 2002",5.28%
"Feb. 28, 2002",5.29%
"Jan. 31, 2002",5.29%
"Dec. 31, 2001",5.27%
"Nov. 30, 2001",5.27%
"Oct. 31, 2001",5.28%
"Sept. 30, 2001",5.29%
"Aug. 31, 2001",5.16%
"July 31, 2001",5.17%
"June 30, 2001",5.18%
"May 31, 2001",5.14%
"April 30, 2001",5.14%
"March 31, 2001",5.10%
"Feb. 28, 2001",5.03%
"Jan. 31, 2001",5.04%
"Dec. 31, 2000",5.01%
"Nov. 30, 2000",4.71%
"Oct. 31, 2000",4.69%
"Sept. 30, 2000",4.70%
"Aug. 31, 2000",4.67%
"July 31, 2000",4.67%
"June 30, 2000",4.67%
"May 31, 2000",4.63%
"April 30, 2000",4.64%
"March 31, 2000",4.63%
"Feb. 29, 2000",4.39%
"Jan. 31, 2000",4.32%
"Dec. 31, 1999",4.26%
"Nov. 30, 1999",4.19%
"Oct. 31, 1999",4.20%
"Sept. 30, 1999",4.19%
"Aug. 31, 1999",4.18%
"July 31, 1999",4.16%
"June 30, 1999",4.17%
"May 31, 1999",4.17%
"April 30, 1999",4.18%
"March 31, 1999",4.18%
"Feb. 28, 1999",4.19%
"Jan. 31, 1999",4.19%
"Dec. 31, 1998",4.13%
"Nov. 30, 1998",4.14%
"Oct. 31, 1998",4.15%
"Sept. 30, 1998",4.09%
"Aug. 31, 1998",4.06%
"July 31, 1998",4.03%
"June 30, 1998",4.02%
"May 31, 1998",4.01%
"April 30, 1998",3.97%
"March 31, 1998",3.98%
"Feb. 28, 1998",3.99%
"Jan. 31, 1998",4.00%
"Dec. 31, 1997",4.01%
"Nov. 30, 1997",4.02%
"Oct. 31, 1997",4.02%
"Sept. 30, 1997",3.96%
"Aug. 31, 1997",3.96%
"July 31, 1997",3.96%
"June 30, 1997",3.96%
"May 31, 1997",3.96%
"April 30, 1997",3.96%
"March 31, 1997",3.96%
"Feb. 28, 1997",3.97%
"Jan. 31, 1997",3.96%
"Dec. 31, 1996",3.96%
"Nov. 30, 1996",3.95%
"Oct. 31, 1996",3.95%
"Sept. 30, 1996",3.95%
"Aug. 31, 1996",3.95%
"July 31, 1996",3.95%
"June 30, 1996",3.95%
"May 31, 1996",3.96%
"April 30, 1996",3.96%
"March 31, 1996",3.96%
"Feb. 29, 1996",3.96%
"Jan. 31, 1996",3.96%
"Dec. 31, 1995",3.96%
"Nov. 30, 1995",3.96%
"Oct. 31, 1995",3.96%
"Sept. 30, 1995",3.96%
"Aug. 31, 1995",3.96%
"July 31, 1995",3.98%
"June 30, 1995",3.99%
"May 31, 1995",4.00%
"April 30, 1995",4.01%
"March 31, 1995",4.02%
"Feb. 28, 1995",4.02%
"Jan. 31, 1995",4.03%
"Dec. 31, 1994",4.03%
"Nov. 30, 1994",4.04%
"Oct. 31, 1994",4.05%
"Sept. 30, 1994",4.06%
"Aug. 31, 1994",4.03%
"July 31, 1994",4.04%
"June 30, 1994",4.04%
"May 31, 1994",4.05%
"April 30, 1994",4.07%
"March 31, 1994",4.08%
"Feb. 28, 1994",4.04%
"Jan. 31, 1994",4.05%
"Dec. 31, 1993",4.06%
"Nov. 30, 1993",4.07%
"Oct. 31, 1993",4.08%
"Sept. 30, 1993",4.09%
"Aug. 31, 1993",4.09%
"July 31, 1993",4.10%
"June 30, 1993",4.10%
"May 31, 1993",4.11%
"April 30, 1993",4.12%
"March 31, 1993",4.13%
"Feb. 28, 1993",4.14%
"Jan. 31, 1993",4.15%
"Dec. 31, 1992",4.17%
"Nov. 30, 1992",4.19%
"Oct. 31, 1992",4.21%
"Sept. 30, 1992",4.24%
"Aug. 31, 1992",4.26%
"July 31, 1992",4.28%
"June 30, 1992",4.29%
"May 31, 1992",4.31%
"April 30, 1992",4.32%
"March 31, 1992",4.33%
"Feb. 29, 1992",4.34%
"Jan. 31, 1992",4.35%
"Dec. 31, 1991",4.36%
"Nov. 30, 1991",4.37%
"Oct. 31, 1991",4.34%
"Sept. 30, 1991",4.22%
"Aug. 31, 1991",4.27%
"July 31, 1991",4.32%
"June 30, 1991",4.36%
"May 31, 1991",4.39%
"April 30, 1991",4.40%
"March 31, 1991",4.41%
"Feb. 28, 1991",4.42%
"Jan. 31, 1991",4.42%
"Dec. 31, 1990",4.60%
"Nov. 30, 1990",4.78%
"Oct. 31, 1990",4.96%
"Sept. 30, 1990",4.42%
"Aug. 31, 1990",4.49%
"July 31, 1990",4.39%
"June 30, 1990",4.40%
"May 31, 1990",4.41%
"April 30, 1990",4.42%
"March 31, 1990",4.59%
"Feb. 28, 1990",4.80%
"Jan. 31, 1990",4.98%
"Dec. 31, 1989",5.20%
"Nov. 30, 1989",5.36%
