date,kz_index
"Dec. 31, 2018",-15.91
"Dec. 31, 2017",-13.79
"Dec. 31, 2016",-13.49
"Dec. 31, 2015",
"Dec. 31, 2014",-11.73
"Dec. 31, 2013",-11.15
"Dec. 31, 2012",-9.796
"Dec. 31, 2011",-8.106
"Dec. 31, 2010",-6.722
"Dec. 31, 2009",
"Dec. 31, 2008",-5.112
"Dec. 31, 2007",-4.694
"Dec. 31, 2006",-5.151
"Dec. 31, 2005",-5.451
"Dec. 31, 2004",-5.690
"Dec. 31, 2003",-5.956
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",-2.729
"Dec. 31, 1999",-1.988
"Dec. 31, 1998",-3.494
"Dec. 31, 1997",-2.646
"Dec. 31, 1996",
"Dec. 31, 1995",-0.3049
"Dec. 31, 1994",-0.2239
"Dec. 31, 1993",
"Dec. 31, 1992",0.3511
"Dec. 31, 1991",
"Dec. 31, 1990",-1.719
"Dec. 31, 1989",-2.152
"Dec. 31, 1988",1.349
"Dec. 31, 1987",
"Dec. 31, 1986",1.62
