date,cash_financing_ttm
"Dec. 31, 2019",-6.60B
"Sept. 30, 2019",-4.121B
"June 30, 2019",-5.109B
"March 31, 2019",-4.819B
"Dec. 31, 2018",-5.032B
"Sept. 30, 2018",-4.531B
"June 30, 2018",-5.419B
"March 31, 2018",-4.346B
"Dec. 31, 2017",-3.516B
"Sept. 30, 2017",-2.749B
"June 30, 2017",-416.00M
"March 31, 2017",-49.00M
"Dec. 31, 2016",346.00M
"Sept. 30, 2016",1.658B
"June 30, 2016",-714.00M
"March 31, 2016",-553.00M
"Dec. 31, 2015",37.00M
"Sept. 30, 2015",-1.738B
"June 30, 2015",-1.704B
"March 31, 2015",-1.913B
"Dec. 31, 2014",-2.328B
"Sept. 30, 2014",-1.803B
"June 30, 2014",-477.00M
"March 31, 2014",-423.00M
"Dec. 31, 2013",-433.00M
"Sept. 30, 2013",-1.071B
"June 30, 2013",-1.808B
"March 31, 2013",-1.433B
"Dec. 31, 2012",-1.206B
"Sept. 30, 2012",-1.187B
"June 30, 2012",-1.352B
"March 31, 2012",-1.731B
"Dec. 31, 2011",-1.114B
"Sept. 30, 2011",-941.00M
"June 30, 2011",-1.313B
"March 31, 2011",-1.012B
"Dec. 31, 2010",-2.047B
"Sept. 30, 2010",-2.125B
"June 30, 2010",-2.022B
"March 31, 2010",-2.251B
"Dec. 31, 2009",-2.152B
"Sept. 30, 2009",-2.335B
"June 30, 2009",-2.192B
"March 31, 2009",-1.332B
"Dec. 31, 2008",-1.37B
"Sept. 30, 2008",-892.00M
"June 30, 2008",-516.00M
"March 31, 2008",-1.425B
"Dec. 31, 2007",-1.574B
"Sept. 30, 2007",-2.314B
"June 30, 2007",-2.818B
"March 31, 2007",-2.622B
"Dec. 31, 2006",-2.649B
"Sept. 30, 2006",-2.487B
"June 30, 2006",-2.862B
"March 31, 2006",-3.079B
"Dec. 31, 2005",-2.716B
"Sept. 30, 2005",-1.94B
"June 30, 2005",-1.197B
"March 31, 2005",-1.208B
"Dec. 31, 2004",-1.223B
"Sept. 30, 2004",-1.142B
"June 30, 2004",-1.22B
"March 31, 2004",-902.00M
"Dec. 31, 2003",-895.00M
"Sept. 30, 2003",-733.00M
"June 30, 2003",-788.00M
"March 31, 2003",-787.00M
"Dec. 31, 2002",-932.00M
"Sept. 30, 2002",-1.179B
"June 30, 2002",-1.031B
"March 31, 2002",-902.00M
"Dec. 31, 2001",-884.00M
"Sept. 30, 2001",-1.898B
"June 30, 2001",-975.00M
"March 31, 2001",-1.241B
"Dec. 31, 2000",-70.00M
"Sept. 30, 2000",1.899B
"June 30, 2000",1.57B
"March 31, 2000",285.00M
"Dec. 31, 1999",-1.11B
"Sept. 30, 1999",-993.00M
"June 30, 1999",-1.509B
"March 31, 1999",136.00M
"Dec. 31, 1998",-108.00M
"Sept. 30, 1998",-1.297B
"June 30, 1998",-1.316B
"March 31, 1998",-1.326B
"Dec. 31, 1997",-785.00M
"Sept. 30, 1997",-766.00M
"June 30, 1997",-748.00M
"March 31, 1997",-679.00M
"Dec. 31, 1996",-544.00M
"Sept. 30, 1996",-370.00M
"June 30, 1996",-162.00M
"March 31, 1996",-6.00M
"Dec. 31, 1995",-80.00M
"Sept. 30, 1995",132.00M
"June 30, 1995",-27.00M
"March 31, 1995",-498.00M
"Dec. 31, 1994",-555.00M
"Sept. 30, 1994",-627.00M
"June 30, 1994",-635.00M
"March 31, 1994",-412.00M
"Dec. 31, 1993",-400.00M
"Sept. 30, 1993",-490.00M
"June 30, 1993",-617.00M
"March 31, 1993",-688.00M
"Dec. 31, 1992",-649.00M
"Sept. 30, 1992",-637.00M
"June 30, 1992",-472.00M
"March 31, 1992",-509.00M
"Dec. 31, 1991",-172.00M
"Sept. 30, 1991",-174.00M
"June 30, 1991",-253.00M
"March 31, 1991",12.00M
"Dec. 31, 1990",-417.00M
