date,gross_profit_margin
"Dec. 31, 2019",33.36%
"Sept. 30, 2019",33.55%
"June 30, 2019",34.07%
"March 31, 2019",33.82%
"Dec. 31, 2018",31.29%
"Sept. 30, 2018",29.79%
"June 30, 2018",30.27%
"March 31, 2018",30.80%
"Dec. 31, 2017",30.46%
"Sept. 30, 2017",30.30%
"June 30, 2017",30.30%
"March 31, 2017",31.22%
"Dec. 31, 2016",25.83%
"Sept. 30, 2016",29.59%
"June 30, 2016",31.73%
"March 31, 2016",31.24%
"Dec. 31, 2015",30.71%
"Sept. 30, 2015",30.77%
"June 30, 2015",30.29%
"March 31, 2015",30.95%
"Dec. 31, 2014",26.30%
"Sept. 30, 2014",29.48%
"June 30, 2014",28.84%
"March 31, 2014",28.02%
"Dec. 31, 2013",26.72%
"Sept. 30, 2013",28.04%
"June 30, 2013",27.50%
"March 31, 2013",27.28%
"Dec. 31, 2012",19.83%
"Sept. 30, 2012",27.12%
"June 30, 2012",26.63%
"March 31, 2012",26.08%
"Dec. 31, 2011",10.96%
"Sept. 30, 2011",24.36%
"June 30, 2011",26.66%
"March 31, 2011",25.92%
"Dec. 31, 2010",20.94%
"Sept. 30, 2010",24.19%
"June 30, 2010",24.72%
"March 31, 2010",24.67%
"Dec. 31, 2009",16.04%
"Sept. 30, 2009",24.71%
"June 30, 2009",24.90%
"March 31, 2009",23.96%
"Dec. 31, 2008",25.13%
"Sept. 30, 2008",19.40%
"June 30, 2008",24.30%
"March 31, 2008",24.99%
"Dec. 31, 2007",24.39%
"Sept. 30, 2007",23.92%
"June 30, 2007",23.98%
"March 31, 2007",23.52%
"Dec. 31, 2006",23.18%
"Sept. 30, 2006",23.15%
"June 30, 2006",23.69%
"March 31, 2006",22.66%
"Dec. 31, 2005",22.53%
"Sept. 30, 2005",23.16%
"June 30, 2005",21.70%
"March 31, 2005",21.20%
"Dec. 31, 2004",16.96%
"Sept. 30, 2004",20.45%
"June 30, 2004",18.16%
"March 31, 2004",20.20%
"Dec. 31, 2003",19.64%
"Sept. 30, 2003",21.83%
"June 30, 2003",21.48%
"March 31, 2003",21.47%
"Dec. 31, 2002",17.47%
"Sept. 30, 2002",23.94%
"June 30, 2002",21.59%
"March 31, 2002",20.83%
"Dec. 31, 2001",14.21%
"Sept. 30, 2001",7.27%
"June 30, 2001",16.47%
"March 31, 2001",16.34%
"Dec. 31, 2000",20.61%
"Sept. 30, 2000",22.06%
"June 30, 2000",25.96%
"March 31, 2000",26.37%
"Dec. 31, 1999",17.13%
"Sept. 30, 1999",24.22%
"June 30, 1999",22.37%
"March 31, 1999",24.90%
"Dec. 31, 1998",26.07%
"Sept. 30, 1998",24.14%
"June 30, 1998",23.78%
"March 31, 1998",22.96%
"Dec. 31, 1997",22.64%
"Sept. 30, 1997",22.34%
"June 30, 1997",22.75%
"March 31, 1997",21.70%
"Dec. 31, 1996",21.07%
"Sept. 30, 1996",22.40%
"June 30, 1996",3.35%
"March 31, 1996",20.28%
"Dec. 31, 1995",18.64%
"Sept. 30, 1995",19.98%
"June 30, 1995",20.06%
"March 31, 1995",19.65%
"Dec. 31, 1994",19.27%
"Sept. 30, 1994",19.52%
"June 30, 1994",20.27%
"March 31, 1994",19.56%
"Dec. 31, 1993",5.81%
"Sept. 30, 1993",24.31%
"June 30, 1993",23.90%
"March 31, 1993",23.54%
"Dec. 31, 1992",20.94%
"Sept. 30, 1992",22.68%
"June 30, 1992",22.50%
"March 31, 1992",21.85%
"Dec. 31, 1991",21.44%
"Sept. 30, 1991",20.92%
"June 30, 1991",20.38%
"March 31, 1991",19.15%
"Dec. 31, 1990",19.28%
"Sept. 30, 1990",20.70%
"June 30, 1990",21.20%
"March 31, 1990",22.36%
"Dec. 31, 1989",21.71%
"Sept. 30, 1989",23.35%
