date,total_employee_number
"Dec. 31, 2019",113000
"Dec. 31, 2018",114000
"Dec. 31, 2017",131000
"Dec. 31, 2016",131000
"Dec. 31, 2015",129000
"Dec. 31, 2014",127000
"Dec. 31, 2013",131000
"Dec. 31, 2012",132000
"Dec. 31, 2011",132000
"Dec. 31, 2010",130000
"Dec. 31, 2009",122000
"Dec. 31, 2008",128000
"Dec. 31, 2007",122000
"Dec. 31, 2006",118000
"Dec. 31, 2005",116000
"Dec. 31, 2004",109000
"Dec. 31, 2003",108000
"Dec. 31, 2002",108000
"Dec. 31, 2001",115000
"Dec. 31, 2000",125000
"Dec. 31, 1999",120000
"March 4, 1999",70400
"Dec. 31, 1998",70400
"Feb. 26, 1998",70500
"Dec. 31, 1997",70500
"Dec. 31, 1996",76600
"Dec. 31, 1995",88500
"Dec. 31, 1994",87500
"Dec. 31, 1993",86400
"Dec. 31, 1992",89300
"Dec. 31, 1991",98300
"Dec. 31, 1990",105800
"Dec. 31, 1989",107100
