date,fulmer_h_score
"Dec. 31, 2019",9.260
"Sept. 30, 2019",8.980
"June 30, 2019",8.892
"March 31, 2019",8.651
"Dec. 31, 2018",8.545
"Sept. 30, 2018",8.09
"June 30, 2018",7.999
"March 31, 2018",7.811
"Dec. 31, 2017",7.642
"Sept. 30, 2017",8.436
"June 30, 2017",8.110
"March 31, 2017",7.879
"Dec. 31, 2016",7.590
"Sept. 30, 2016",7.450
"June 30, 2016",7.672
"March 31, 2016",7.574
"Dec. 31, 2015",7.665
"Sept. 30, 2015",8.357
"June 30, 2015",8.304
"March 31, 2015",8.148
"Dec. 31, 2014",8.270
"Sept. 30, 2014",7.914
"June 30, 2014",7.698
"March 31, 2014",7.533
"Dec. 31, 2013",7.495
"Sept. 30, 2013",6.961
"June 30, 2013",6.983
"March 31, 2013",6.834
"Dec. 31, 2012",6.694
"Sept. 30, 2012",6.506
"June 30, 2012",6.16
"March 31, 2012",6.036
"Dec. 31, 2011",5.820
"Sept. 30, 2011",6.151
"June 30, 2011",6.299
"March 31, 2011",5.981
"Dec. 31, 2010",6.110
"Sept. 30, 2010",6.272
"June 30, 2010",6.326
"March 31, 2010",6.081
"Dec. 31, 2009",5.320
"Sept. 30, 2009",6.058
"June 30, 2009",6.022
"March 31, 2009",6.100
"Dec. 31, 2008",6.157
"Sept. 30, 2008",6.337
"June 30, 2008",6.860
"March 31, 2008",7.496
