date,ohlson_score
"Dec. 31, 2019",0.4479
"Sept. 30, 2019",0.4846
"June 30, 2019",0.5292
"March 31, 2019",0.5814
"Dec. 31, 2018",0.6588
"Sept. 30, 2018",0.3067
"June 30, 2018",0.7469
"March 31, 2018",-0.7311
"Dec. 31, 2017",-0.0318
"Sept. 30, 2017",0.1523
"June 30, 2017",0.159
"March 31, 2017",0.0314
"Dec. 31, 2016",0.2975
"Sept. 30, 2016",0.3987
"June 30, 2016",0.2234
"March 31, 2016",0.3265
"Dec. 31, 2015",0.4714
"Sept. 30, 2015",0.0459
"June 30, 2015",-0.088
"March 31, 2015",-0.0141
"Dec. 31, 2014",0.1297
"Sept. 30, 2014",-0.2074
"June 30, 2014",-0.1415
"March 31, 2014",-0.0258
"Dec. 31, 2013",0.0866
"Sept. 30, 2013",0.5276
"June 30, 2013",0.5682
"March 31, 2013",0.2293
"Dec. 31, 2012",2.14
"Sept. 30, 2012",0.5915
"June 30, 2012",0.7891
"March 31, 2012",0.1591
"Dec. 31, 2011",-0.9698
"Sept. 30, 2011",0.7877
"June 30, 2011",0.6258
"March 31, 2011",0.5467
"Dec. 31, 2010",1.317
"Sept. 30, 2010",1.011
"June 30, 2010",1.054
"March 31, 2010",0.794
"Dec. 31, 2009",4.163
"Sept. 30, 2009",1.003
"June 30, 2009",1.238
"March 31, 2009",1.932
"Dec. 31, 2008",1.681
"Sept. 30, 2008",1.315
"June 30, 2008",0.9688
"March 31, 2008",1.077
"Dec. 31, 2007",1.166
"Sept. 30, 2007",1.377
"June 30, 2007",1.442
"March 31, 2007",1.132
"Dec. 31, 2006",0.9343
"Sept. 30, 2006",0.722
"June 30, 2006",0.7565
"March 31, 2006",0.9162
"Dec. 31, 2005",0.8533
"Sept. 30, 2005",0.5149
"June 30, 2005",0.7638
"March 31, 2005",0.596
"Dec. 31, 2004",0.9051
"Sept. 30, 2004",0.3333
"June 30, 2004",0.2991
"March 31, 2004",0.6462
"Dec. 31, 2003",0.3373
"Sept. 30, 2003",0.5918
"June 30, 2003",0.5809
"March 31, 2003",-2.723
"Dec. 31, 2002",0.2116
"Sept. 30, 2002",0.1487
"June 30, 2002",0.1806
"March 31, 2002",0.0907
"Dec. 31, 2001",-1.322
"Sept. 30, 2001",0.2219
"June 30, 2001",0.5543
"March 31, 2001",3.232
"Dec. 31, 2000",0.5467
"Sept. 30, 2000",1.332
"June 30, 2000",0.6061
"March 31, 2000",0.3472
"Dec. 31, 1999",41.48
"Sept. 30, 1999",0.959
"June 30, 1999",0.884
"March 31, 1999",1.803
"Dec. 31, 1998",0.4953
"Sept. 30, 1998",0.9938
"June 30, 1998",0.9379
"March 31, 1998",1.786
"Dec. 31, 1997",0.9237
"Sept. 30, 1997",1.155
"June 30, 1997",0.9171
"March 31, 1997",1.031
"Dec. 31, 1996",1.026
"Sept. 30, 1996",1.177
"June 30, 1996",1.172
"March 31, 1996",1.511
"Dec. 31, 1995",1.494
"Sept. 30, 1995",1.518
"June 30, 1995",1.518
"March 31, 1995",1.619
"Dec. 31, 1994",1.635
"Sept. 30, 1994",1.734
"June 30, 1994",1.758
"March 31, 1994",1.178
"Dec. 31, 1993",0.3627
"Sept. 30, 1993",2.028
"June 30, 1993",2.075
"March 31, 1993",-2.254
"Dec. 31, 1992",1.632
"Sept. 30, 1992",1.271
"June 30, 1992",1.598
"March 31, 1992",1.753
"Dec. 31, 1991",-1.073
"Sept. 30, 1991",1.341
"June 30, 1991",1.334
"March 31, 1991",1.862
"Dec. 31, 1990",1.477
"Sept. 30, 1990",1.707
"June 30, 1990",1.663
