date,sales_est_0q
"March 13, 2020",17.94B
"March 10, 2020",18.03B
"March 9, 2020",18.06B
"Feb. 27, 2020",18.04B
"Feb. 3, 2020",18.06B
"Jan. 31, 2020",18.06B
"Jan. 30, 2020",18.01B
"Jan. 28, 2020",18.09B
"Jan. 21, 2020",18.07B
"Jan. 16, 2020",18.09B
"Jan. 15, 2020",18.09B
"Jan. 14, 2020",18.07B
"Jan. 1, 2020",18.11B
"Dec. 31, 2019",20.66B
"Dec. 17, 2019",20.63B
"Dec. 15, 2019",20.62B
"Dec. 10, 2019",20.62B
"Oct. 28, 2019",20.60B
"Oct. 23, 2019",20.61B
"Oct. 22, 2019",20.62B
"Oct. 11, 2019",20.74B
"Oct. 4, 2019",20.76B
"Sept. 30, 2019",18.35B
"Aug. 22, 2019",18.38B
"Aug. 21, 2019",18.36B
"July 25, 2019",18.38B
"July 24, 2019",18.35B
"July 22, 2019",18.42B
"July 15, 2019",18.43B
"July 10, 2019",18.43B
"June 30, 2019",17.98B
"June 17, 2019",17.96B
"June 12, 2019",17.98B
"April 29, 2019",17.99B
"April 26, 2019",17.99B
"April 25, 2019",18.08B
"April 17, 2019",18.32B
"April 15, 2019",18.32B
"April 8, 2019",18.32B
"March 31, 2019",17.79B
"March 26, 2019",17.79B
"March 15, 2019",17.80B
"March 14, 2019",17.80B
"March 13, 2019",17.81B
"March 5, 2019",17.82B
"Feb. 1, 2019",17.81B
"Jan. 31, 2019",17.87B
"Jan. 29, 2019",17.91B
"Jan. 25, 2019",17.95B
"Jan. 16, 2019",17.96B
"Jan. 15, 2019",17.98B
"Jan. 8, 2019",18.00B
"Jan. 4, 2019",18.01B
"Dec. 31, 2018",19.99B
"Dec. 17, 2018",20.06B
"Dec. 14, 2018",20.06B
"Nov. 8, 2018",20.08B
"Nov. 6, 2018",20.10B
"Oct. 26, 2018",20.09B
"Oct. 25, 2018",20.09B
"Oct. 24, 2018",20.02B
"Oct. 12, 2018",19.99B
"Oct. 10, 2018",20.00B
"Oct. 1, 2018",19.97B
"Sept. 30, 2018",17.48B
"Sept. 27, 2018",17.45B
"Sept. 17, 2018",17.46B
"Sept. 14, 2018",17.46B
"Aug. 15, 2018",17.47B
"Aug. 14, 2018",17.49B
"July 26, 2018",17.47B
"July 25, 2018",17.45B
"July 23, 2018",17.44B
"July 22, 2018",17.44B
"July 12, 2018",17.45B
"July 11, 2018",17.45B
"June 30, 2018",17.34B
"June 27, 2018",17.33B
"June 22, 2018",17.32B
"June 14, 2018",17.33B
"May 30, 2018",17.33B
"May 22, 2018",17.32B
"May 4, 2018",17.30B
"May 1, 2018",17.31B
"April 30, 2018",17.33B
"April 27, 2018",17.34B
"April 26, 2018",17.34B
"April 24, 2018",16.83B
"April 13, 2018",16.81B
"April 2, 2018",16.85B
"April 1, 2018",16.85B
"March 31, 2018",16.49B
"March 16, 2018",16.47B
"March 6, 2018",16.46B
"Feb. 2, 2018",16.46B
"Feb. 1, 2018",16.40B
"Jan. 18, 2018",16.25B
"Jan. 17, 2018",16.25B
"Jan. 11, 2018",16.25B
"Jan. 9, 2018",16.25B
"Jan. 8, 2018",16.26B
"Jan. 4, 2018",16.26B
