date,cash_dividend_payout_ratio
"Dec. 31, 2019",141.4%
"Sept. 30, 2019",110.3%
"June 30, 2019",90.65%
"March 31, 2019",65.57%
"Dec. 31, 2018",46.84%
"Sept. 30, 2018",621.5%
"June 30, 2018",-32.10K%
"March 31, 2018",-545.3%
"Dec. 31, 2017",-73.93%
"Sept. 30, 2017",396.1%
"June 30, 2017",693.6%
"March 31, 2017",472.1%
"Dec. 31, 2016",75.34%
"Sept. 30, 2016",68.58%
"June 30, 2016",46.95%
"March 31, 2016",52.06%
"Dec. 31, 2015",49.99%
"Sept. 30, 2015",45.87%
"June 30, 2015",43.18%
"March 31, 2015",62.67%
"Dec. 31, 2014",69.63%
"Sept. 30, 2014",51.60%
"June 30, 2014",60.57%
"March 31, 2014",38.85%
"Dec. 31, 2013",43.14%
"Sept. 30, 2013",44.48%
"June 30, 2013",47.84%
"March 31, 2013",48.01%
"Dec. 31, 2012",42.07%
"Sept. 30, 2012",44.03%
"June 30, 2012",36.71%
"March 31, 2012",33.57%
"Dec. 31, 2011",39.40%
"Sept. 30, 2011",58.55%
"June 30, 2011",77.77%
"March 31, 2011",90.58%
"Dec. 31, 2010",74.33%
"Sept. 30, 2010",50.78%
"June 30, 2010",50.35%
"March 31, 2010",56.43%
"Dec. 31, 2009",47.54%
"Sept. 30, 2009",43.80%
"June 30, 2009",37.95%
"March 31, 2009",35.71%
"Dec. 31, 2008",38.32%
"Sept. 30, 2008",-1.36K%
"June 30, 2008",-397.8%
"March 31, 2008",-200.3%
"Dec. 31, 2007",-100.4%
"Sept. 30, 2007",42.66%
"June 30, 2007",70.20%
"March 31, 2007",68.59%
"Dec. 31, 2006",62.98%
"Sept. 30, 2006",64.16%
"June 30, 2006",49.53%
"March 31, 2006",39.79%
"Dec. 31, 2005",38.57%
"Sept. 30, 2005",42.62%
"June 30, 2005",35.17%
"March 31, 2005",37.59%
"Dec. 31, 2004",37.70%
"Sept. 30, 2004",49.63%
"June 30, 2004",39.25%
"March 31, 2004",39.34%
"Dec. 31, 2003",36.36%
"Sept. 30, 2003",27.71%
"June 30, 2003",25.42%
"March 31, 2003",22.54%
"Dec. 31, 2002",20.84%
"Sept. 30, 2002",26.19%
"June 30, 2002",39.18%
"March 31, 2002",41.44%
"Dec. 31, 2001",39.67%
"Sept. 30, 2001",80.00%
"June 30, 2001",117.2%
"March 31, 2001",99.00%
"Dec. 31, 2000",119.6%
