date,accruals
"Dec. 31, 2019",-3.052B
"Sept. 30, 2019",264.00M
"June 30, 2019",-245.00M
"March 31, 2019",-1.166B
"Dec. 31, 2018",-2.836B
"Sept. 30, 2018",-714.00M
"June 30, 2018",-1.648B
"March 31, 2018",-2.722B
"Dec. 31, 2017",4.035B
"Sept. 30, 2017",-538.00M
"June 30, 2017",-998.00M
"March 31, 2017",927.00M
"Dec. 31, 2016",-1.358B
"Sept. 30, 2016",600.00M
"June 30, 2016",-754.00M
"March 31, 2016",-1.539B
"Dec. 31, 2015",316.00M
"Sept. 30, 2015",-919.00M
"June 30, 2015",-258.00M
"March 31, 2015",-1.725B
"Dec. 31, 2014",-1.082B
"Sept. 30, 2014",-1.145B
"June 30, 2014",889.00M
"March 31, 2014",-1.356B
"Dec. 31, 2013",-1.077B
"Sept. 30, 2013",-532.00M
"June 30, 2013",-602.00M
"March 31, 2013",-721.00M
"Dec. 31, 2012",-3.861B
"Sept. 30, 2012",-784.00M
"June 30, 2012",-454.00M
"March 31, 2012",-1.31B
"Dec. 31, 2011",-986.00M
"Sept. 30, 2011",-976.00M
"June 30, 2011",-941.00M
"March 31, 2011",-366.00M
"Dec. 31, 2010",1.057B
"Sept. 30, 2010",80.00M
"June 30, 2010",-618.00M
"March 31, 2010",-1.016B
"Dec. 31, 2009",-295.00M
"Sept. 30, 2009",-529.00M
"June 30, 2009",-514.00M
"March 31, 2009",-1.795B
"Dec. 31, 2008",-1.224B
"Sept. 30, 2008",-950.00M
"June 30, 2008",-850.00M
"March 31, 2008",-2.399B
"Dec. 31, 2007",1.504B
"Sept. 30, 2007",-596.00M
"June 30, 2007",1.00M
"March 31, 2007",-1.65B
"Dec. 31, 2006",-385.00M
"Sept. 30, 2006",926.00M
"June 30, 2006",-375.00M
"March 31, 2006",-1.553B
"Dec. 31, 2005",-193.00M
"Sept. 30, 2005",478.00M
"June 30, 2005",-764.00M
"March 31, 2005",-1.444B
"Dec. 31, 2004",-71.00M
"Sept. 30, 2004",-82.00M
"June 30, 2004",-499.00M
"March 31, 2004",-1.346B
"Dec. 31, 2003",440.00M
"Sept. 30, 2003",-842.00M
"June 30, 2003",-412.00M
"March 31, 2003",-864.00M
"Dec. 31, 2002",325.00M
"Sept. 30, 2002",-911.00M
"June 30, 2002",-693.00M
"March 31, 2002",-1.227B
"Dec. 31, 2001",224.00M
"Sept. 30, 2001",-246.00M
"June 30, 2001",-959.00M
"March 31, 2001",-1.15B
"Dec. 31, 2000",957.00M
"Sept. 30, 2000",343.00M
"June 30, 2000",-623.00M
"March 31, 2000",-547.00M
