date,gross_profit_margin
"Dec. 31, 2019",19.25%
"Sept. 30, 2019",19.12%
"June 30, 2019",19.51%
"March 31, 2019",15.93%
"Dec. 31, 2018",17.93%
"Sept. 30, 2018",17.56%
"June 30, 2018",17.67%
"March 31, 2018",16.26%
"Dec. 31, 2017",18.89%
"Sept. 30, 2017",18.64%
"June 30, 2017",20.06%
"March 31, 2017",17.99%
"Dec. 31, 2016",17.80%
"Sept. 30, 2016",20.97%
"June 30, 2016",21.42%
"March 31, 2016",20.15%
"Dec. 31, 2015",20.89%
"Sept. 30, 2015",21.82%
"June 30, 2015",21.85%
"March 31, 2015",19.78%
"Dec. 31, 2014",13.32%
"Sept. 30, 2014",20.85%
"June 30, 2014",13.11%
"March 31, 2014",18.43%
"Dec. 31, 2013",20.36%
"Sept. 30, 2013",20.82%
"June 30, 2013",20.75%
"March 31, 2013",19.68%
"Dec. 31, 2012",-11.26%
"Sept. 30, 2012",13.71%
"June 30, 2012",21.57%
"March 31, 2012",19.50%
"Dec. 31, 2011",-138.0%
"Sept. 30, 2011",76.19%
"June 30, 2011",76.23%
"March 31, 2011",77.18%
"Dec. 31, 2010",-140.7%
"Sept. 30, 2010",78.17%
"June 30, 2010",78.61%
"March 31, 2010",79.08%
"Dec. 31, 2009",78.69%
"Sept. 30, 2009",80.29%
"June 30, 2009",84.05%
"March 31, 2009",81.86%
"Dec. 31, 2008",78.67%
"Sept. 30, 2008",75.76%
"June 30, 2008",75.78%
"March 31, 2008",77.57%
"Dec. 31, 2007",78.21%
"Sept. 30, 2007",79.68%
"June 30, 2007",80.45%
"March 31, 2007",83.66%
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",56.71%
"Sept. 30, 2004",80.45%
"June 30, 2004",72.02%
"March 31, 2004",71.59%
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",70.53%
"Dec. 31, 2002",75.03%
"Sept. 30, 2002",75.35%
"June 30, 2002",75.83%
"March 31, 2002",75.83%
"Dec. 31, 2001",
"Sept. 30, 2001",87.85%
"June 30, 2001",
"March 31, 2001",73.41%
"Dec. 31, 2000",72.07%
"Sept. 30, 2000",75.02%
"June 30, 2000",75.41%
"March 31, 2000",75.36%
