date,cash_on_hand
"Dec. 31, 2019",5.741B
"Sept. 30, 2019",4.538B
"June 30, 2019",4.797B
"March 31, 2019",5.111B
"Dec. 31, 2018",5.035B
"Sept. 30, 2018",4.841B
"June 30, 2018",4.934B
"March 31, 2018",4.209B
"Dec. 31, 2017",4.069B
"Sept. 30, 2017",4.461B
"June 30, 2017",4.604B
"March 31, 2017",3.718B
"Dec. 31, 2016",4.567B
"Sept. 30, 2016",5.358B
"June 30, 2016",5.672B
"March 31, 2016",6.267B
"Dec. 31, 2015",4.726B
"Sept. 30, 2015",5.689B
"June 30, 2015",6.222B
"March 31, 2015",6.417B
"Dec. 31, 2014",3.283B
"Sept. 30, 2014",5.571B
"June 30, 2014",4.599B
"March 31, 2014",7.035B
"Dec. 31, 2013",5.245B
"Sept. 30, 2013",6.649B
"June 30, 2013",6.192B
"March 31, 2013",7.332B
"Dec. 31, 2012",7.924B
"Sept. 30, 2012",9.016B
"June 30, 2012",7.322B
"March 31, 2012",6.08B
"Dec. 31, 2011",4.275B
"Sept. 30, 2011",5.453B
"June 30, 2011",5.637B
"March 31, 2011",5.444B
"Dec. 31, 2010",4.081B
"Sept. 30, 2010",3.752B
"June 30, 2010",4.007B
"March 31, 2010",3.115B
"Dec. 31, 2009",2.10B
"Sept. 30, 2009",2.788B
"June 30, 2009",3.347B
"March 31, 2009",4.346B
"Dec. 31, 2008",1.049B
"Sept. 30, 2008",1.762B
"June 30, 2008",1.689B
"March 31, 2008",1.484B
"Dec. 31, 2007",2.604B
"Sept. 30, 2007",1.999B
"June 30, 2007",2.121B
"March 31, 2007",2.398B
"Dec. 31, 2006",1.983B
"Sept. 30, 2006",2.241B
"June 30, 2006",2.85B
"March 31, 2006",3.131B
"Dec. 31, 2005",3.041B
"Sept. 30, 2005",3.906B
"June 30, 2005",5.504B
"March 31, 2005",5.229B
"Dec. 31, 2004",5.197B
"Sept. 30, 2004",4.571B
"June 30, 2004",4.937B
"March 31, 2004",4.612B
"Dec. 31, 2003",3.952B
"Sept. 30, 2003",4.136B
"June 30, 2003",3.373B
"March 31, 2003",3.015B
"Dec. 31, 2002",3.014B
"Sept. 30, 2002",2.651B
"June 30, 2002",2.429B
"March 31, 2002",2.027B
"Dec. 31, 2001",1.616B
"Sept. 30, 2001",2.494B
"June 30, 2001",3.143B
"March 31, 2001",2.625B
"Dec. 31, 2000",1.952B
"Sept. 30, 2000",3.592B
"June 30, 2000",4.658B
"March 31, 2000",4.178B
"Dec. 31, 1999",4.204B
