date,ebitda_margin_ttm
"Dec. 31, 2019",11.69%
"Sept. 30, 2019",12.68%
"June 30, 2019",12.30%
"March 31, 2019",11.96%
"Dec. 31, 2018",12.29%
"Sept. 30, 2018",13.65%
"June 30, 2018",13.97%
"March 31, 2018",14.54%
"Dec. 31, 2017",14.83%
"Sept. 30, 2017",12.12%
"June 30, 2017",12.33%
"March 31, 2017",12.28%
"Dec. 31, 2016",12.54%
"Sept. 30, 2016",16.97%
"June 30, 2016",17.03%
"March 31, 2016",16.96%
"Dec. 31, 2015",16.73%
"Sept. 30, 2015",14.46%
"June 30, 2015",14.32%
"March 31, 2015",12.18%
"Dec. 31, 2014",11.87%
"Sept. 30, 2014",14.05%
"June 30, 2014",13.93%
"March 31, 2014",15.85%
"Dec. 31, 2013",16.09%
"Sept. 30, 2013",7.70%
"June 30, 2013",5.87%
"March 31, 2013",5.97%
"Dec. 31, 2012",5.96%
"Sept. 30, 2012",13.37%
"June 30, 2012",15.00%
"March 31, 2012",14.94%
"Dec. 31, 2011",14.89%
"Sept. 30, 2011",15.82%
"June 30, 2011",16.03%
"March 31, 2011",15.62%
"Dec. 31, 2010",15.01%
"Sept. 30, 2010",14.69%
"June 30, 2010",13.53%
"March 31, 2010",12.77%
"Dec. 31, 2009",12.27%
"Sept. 30, 2009",11.20%
"June 30, 2009",12.21%
"March 31, 2009",12.92%
"Dec. 31, 2008",14.12%
"Sept. 30, 2008",4.27%
"June 30, 2008",4.51%
"March 31, 2008",5.18%
"Dec. 31, 2007",4.85%
"Sept. 30, 2007",17.38%
"June 30, 2007",17.28%
"March 31, 2007",17.25%
"Dec. 31, 2006",17.81%
"Sept. 30, 2006",27.91%
"June 30, 2006",28.35%
"March 31, 2006",28.94%
"Dec. 31, 2005",29.55%
"Sept. 30, 2005",7.36%
"June 30, 2005",2.47%
"March 31, 2005",-4.74%
"Dec. 31, 2004",-12.28%
"Sept. 30, 2004",-23.64%
"June 30, 2004",-19.40%
"March 31, 2004",-13.19%
"Dec. 31, 2003",-13.84%
"Sept. 30, 2003",7.94%
"June 30, 2003",7.43%
"March 31, 2003",1.44%
"Dec. 31, 2002",8.91%
"Sept. 30, 2002",11.50%
"June 30, 2002",11.57%
"March 31, 2002",24.86%
"Dec. 31, 2001",24.80%
"Sept. 30, 2001",18.01%
"June 30, 2001",12.40%
"March 31, 2001",-0.60%
"Dec. 31, 2000",-6.29%
"Sept. 30, 2000",-80.09%
"June 30, 2000",-57.14%
"March 31, 2000",-33.93%
"Dec. 31, 1999",-10.11%
