date,free_cash_flow
"Dec. 31, 2019",902.00M
"Sept. 30, 2019",11.00M
"June 30, 2019",583.00M
"March 31, 2019",763.00M
"Dec. 31, 2018",1.496B
"Sept. 30, 2018",581.00M
"June 30, 2018",1.821B
"March 31, 2018",2.53B
"Dec. 31, 2017",-4.458B
"Sept. 30, 2017",98.00M
"June 30, 2017",1.311B
"March 31, 2017",-699.00M
"Dec. 31, 2016",-18.00M
"Sept. 30, 2016",-204.00M
"June 30, 2016",1.487B
"March 31, 2016",2.243B
"Dec. 31, 2015",284.00M
"Sept. 30, 2015",1.486B
"June 30, 2015",895.00M
"March 31, 2015",2.386B
"Dec. 31, 2014",651.00M
"Sept. 30, 2014",1.728B
"June 30, 2014",-926.00M
"March 31, 2014",1.945B
"Dec. 31, 2013",1.784B
"Sept. 30, 2013",1.014B
"June 30, 2013",1.136B
"March 31, 2013",1.305B
"Dec. 31, 2012",1.563B
"Sept. 30, 2012",599.00M
"June 30, 2012",1.049B
"March 31, 2012",1.852B
"Dec. 31, 2011",1.263B
"Sept. 30, 2011",1.442B
"June 30, 2011",1.484B
"March 31, 2011",879.00M
"Dec. 31, 2010",-466.00M
"Sept. 30, 2010",564.00M
"June 30, 2010",1.082B
"March 31, 2010",1.266B
"Dec. 31, 2009",635.00M
"Sept. 30, 2009",564.00M
"June 30, 2009",670.00M
"March 31, 2009",1.814B
"Dec. 31, 2008",950.00M
"Sept. 30, 2008",1.199B
"June 30, 2008",997.00M
"March 31, 2008",2.644B
"Dec. 31, 2007",-4.971B
"Sept. 30, 2007",884.00M
"June 30, 2007",565.00M
"March 31, 2007",1.825B
"Dec. 31, 2006",725.00M
"Sept. 30, 2006",-729.00M
"June 30, 2006",576.00M
"March 31, 2006",1.932B
"Dec. 31, 2005",665.00M
"Sept. 30, 2005",-92.00M
"June 30, 2005",1.222B
"March 31, 2005",1.811B
"Dec. 31, 2004",323.00M
"Sept. 30, 2004",448.00M
"June 30, 2004",847.00M
"March 31, 2004",1.586B
"Dec. 31, 2003",-16.00M
"Sept. 30, 2003",1.117B
"June 30, 2003",653.00M
"March 31, 2003",875.00M
"Dec. 31, 2002",765.00M
"Sept. 30, 2002",1.197B
"June 30, 2002",974.00M
"March 31, 2002",1.094B
"Dec. 31, 2001",-20.00M
"Sept. 30, 2001",124.00M
"June 30, 2001",863.00M
"March 31, 2001",1.191B
"Dec. 31, 2000",-1.133B
"Sept. 30, 2000",-225.00M
"June 30, 2000",970.00M
"March 31, 2000",1.045B
