date,revenue_per_employee_annual
"Dec. 31, 2019",107072.3
"Dec. 31, 2018",153713.4
"Dec. 31, 2017",149966.2
"Dec. 31, 2016",140341.7
"Dec. 31, 2015",132794.1
"Dec. 31, 2014",140318.1
"Dec. 31, 2013",139642.3
"Dec. 31, 2012",135826.9
"Dec. 31, 2011",132995.2
"Dec. 31, 2010",122545.1
"Dec. 31, 2009",108625.9
"Dec. 31, 2008",120958.5
"Dec. 31, 2007",116470.2
"Dec. 31, 2006",113885.0
"Dec. 31, 2005",107663.7
"Dec. 31, 2004",99004.06
"Dec. 31, 2003",93664.34
"Dec. 31, 2002",85559.51
"Dec. 31, 2001",83071.23
"Dec. 31, 2000",83920.34
"Dec. 31, 1999",80511.90
