date,debt_equity_ratio
"Dec. 31, 2019",7.725
"Sept. 30, 2019",4.300
"June 30, 2019",5.307
"March 31, 2019",6.682
"Dec. 31, 2018",7.526
"Sept. 30, 2018",7.521
"June 30, 2018",9.756
"March 31, 2018",17.18
"Dec. 31, 2017",24.44
"Sept. 30, 2017",12.53
"June 30, 2017",14.53
"March 31, 2017",32.22
"Dec. 31, 2016",39.69
"Sept. 30, 2016",5.587
"June 30, 2016",5.471
"March 31, 2016",6.283
"Dec. 31, 2015",5.803
"Sept. 30, 2015",7.569
"June 30, 2015",6.745
"March 31, 2015",7.165
"Dec. 31, 2014",5.035
"Sept. 30, 2014",2.177
"June 30, 2014",2.127
"March 31, 2014",1.934
"Dec. 31, 2013",1.679
"Sept. 30, 2013",3.460
"June 30, 2013",3.296
"March 31, 2013",3.144
"Dec. 31, 2012",2.766
"Sept. 30, 2012",1.993
"June 30, 2012",1.704
"March 31, 2012",1.616
"Dec. 31, 2011",1.582
"Sept. 30, 2011",1.590
"June 30, 2011",1.473
"March 31, 2011",1.477
"Dec. 31, 2010",1.359
"Sept. 30, 2010",1.140
"June 30, 2010",1.303
"March 31, 2010",1.319
"Dec. 31, 2009",1.248
"Sept. 30, 2009",1.476
"June 30, 2009",1.602
"March 31, 2009",1.782
"Dec. 31, 2008",1.456
"Sept. 30, 2008",0.9871
"June 30, 2008",0.9849
"March 31, 2008",0.8455
"Dec. 31, 2007",0.9044
"Sept. 30, 2007",0.2994
"June 30, 2007",0.301
"March 31, 2007",0.2688
"Dec. 31, 2006",0.2659
"Sept. 30, 2006",0.2773
"June 30, 2006",0.2129
"March 31, 2006",0.2237
"Dec. 31, 2005",0.2357
"Sept. 30, 2005",0.3028
"June 30, 2005",0.2507
"March 31, 2005",0.2477
"Dec. 31, 2004",0.2715
"Sept. 30, 2004",0.2428
"June 30, 2004",0.2627
"March 31, 2004",0.2647
"Dec. 31, 2003",0.2574
"Sept. 30, 2003",0.2964
"June 30, 2003",0.3056
"March 31, 2003",0.3173
"Dec. 31, 2002",0.3695
"Sept. 30, 2002",0.4426
"June 30, 2002",0.4544
"March 31, 2002",0.4853
"Dec. 31, 2001",0.5041
"Sept. 30, 2001",0.5064
"June 30, 2001",0.4563
"March 31, 2001",0.4313
"Dec. 31, 2000",0.3702
"Sept. 30, 2000",0.3529
"June 30, 2000",0.3452
"March 31, 2000",0.3557
"Dec. 31, 1999",0.1943
